iter	Logloss
0	0.6898007112
1	0.6858949661
2	0.6821796754
3	0.6789513756
4	0.6756293353
5	0.672470205
6	0.6697661456
7	0.6666038738
8	0.6638752432
9	0.6600014743
10	0.6569987465
11	0.6542561475
12	0.6515054142
13	0.6479255452
14	0.644867897
15	0.6417728873
16	0.6385578268
17	0.635645642
18	0.6320844538
19	0.6294761546
20	0.6273869907
21	0.6241731083
22	0.6215115715
23	0.6183116015
24	0.6148921742
25	0.6123999427
26	0.6095465492
27	0.6064492394
28	0.6036601908
29	0.601305625
30	0.5991099302
31	0.5954174715
32	0.5938986049
33	0.5916914098
34	0.5888637094
35	0.5857900732
36	0.5832925123
37	0.5808289472
38	0.5778894424
39	0.5751599705
40	0.5727217057
41	0.5698926589
42	0.5675486396
43	0.5650519203
44	0.5620578317
45	0.5598870446
46	0.5579672982
47	0.5560987697
48	0.553914014
49	0.5521943709
50	0.5502193675
51	0.5476792279
52	0.5446488437
53	0.5432027368
54	0.5409559362
55	0.5393440022
56	0.5373701208
57	0.5344899121
58	0.5328844856
59	0.5304866118
60	0.5287679784
61	0.526600445
62	0.5246104072
63	0.5223931144
64	0.5208375594
65	0.5183962654
66	0.5164241791
67	0.5148066352
68	0.5132016575
69	0.5111296598
70	0.509387409
71	0.5075937159
72	0.5061366698
73	0.5044793522
74	0.5024922876
75	0.5007015677
76	0.4979641858
77	0.4953062955
78	0.4939598757
79	0.4926035264
80	0.4905600828
81	0.4888206931
82	0.4872023639
83	0.4859612409
84	0.4839416953
85	0.4822009031
86	0.4800931706
87	0.4783987718
88	0.4766417672
89	0.4751031539
90	0.473543672
91	0.4718925813
92	0.469939316
93	0.4674044497
94	0.4656030991
95	0.4643330574
96	0.4623129508
97	0.4602391299
98	0.4586110676
99	0.4573683458
100	0.4558514707
101	0.45464353
102	0.4530523805
103	0.4516109579
104	0.4502788432
105	0.448797254
106	0.4469908546
107	0.4452136545
108	0.44395688
109	0.4423543706
110	0.4407578637
111	0.4386960759
112	0.4372229296
113	0.4356817358
114	0.4347360835
115	0.433312949
116	0.4323785165
117	0.4310126024
118	0.4290340367
119	0.428281756
120	0.4271285955
121	0.4256278206
122	0.4241768052
123	0.4230417925
124	0.422128453
125	0.4214011922
126	0.4201161441
127	0.4185513889
128	0.4174003882
129	0.4161977768
130	0.4148615669
131	0.4137848686
132	0.4129702344
133	0.4117284102
134	0.4106651194
135	0.4095885333
136	0.4081117406
137	0.4068106203
138	0.4054880142
139	0.4046324001
140	0.4034594087
141	0.4019696572
142	0.4007159401
143	0.3994260676
144	0.3982148451
145	0.3972478754
146	0.3956885899
147	0.395041017
148	0.3933948068
149	0.3921330396
150	0.3911174325
151	0.3899979311
152	0.3889654945
153	0.38804245
154	0.3866795372
155	0.3854682586
156	0.3839000253
157	0.3825125133
158	0.3817789414
159	0.3803533666
160	0.3794657763
161	0.3782624637
162	0.3772741767
163	0.3760190571
164	0.3751018749
165	0.3743850484
166	0.3729241035
167	0.3715838264
168	0.3705382908
169	0.3693990988
170	0.3681155934
171	0.3673356561
172	0.3661424973
173	0.3651357819
174	0.3641121808
175	0.3632296394
176	0.3620638567
177	0.3612589556
178	0.3597014371
179	0.3589337573
180	0.357905444
181	0.3569079567
182	0.35560319
183	0.354608648
184	0.3533710592
185	0.3526753257
186	0.3515739441
187	0.3506451214
188	0.3500114329
189	0.3494001837
190	0.3486447334
191	0.3474859069
192	0.3466670934
193	0.3454777213
194	0.3447328455
195	0.3438308379
196	0.3428675988
197	0.3417156163
198	0.3408754573
199	0.3403884102
200	0.3395086457
201	0.338660128
202	0.3372771319
203	0.3365006166
204	0.335759191
205	0.3349290455
206	0.3340001387
207	0.3332221648
208	0.3327384556
209	0.3320486405
210	0.3308667576
211	0.3301682472
212	0.3293584655
213	0.3284002192
214	0.3278477052
215	0.3269953447
216	0.3264433075
217	0.3256149292
218	0.3248495214
219	0.324103131
220	0.3232677404
221	0.3224430645
222	0.3214903439
223	0.3205554906
