,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,총자본증가율(IFRS),유형자산증가율(IFRS),비유동생물자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),정상영업이익증가율(IFRS),순이익증가율(IFRS),총포괄이익증가율(IFRS),종업원1인당 부가가치증가율(IFRS),종업원수증가율(IFRS),종업원1인당 매출액증가율(IFRS),종업원1인당 인건비증가율(IFRS),매출액총이익률(IFRS),매출액정상영업이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본정상영업이익률(IFRS),총자본순이익률(IFRS),자기자본정상영업이익률(IFRS),자기자본순이익률(IFRS),경영자본정상영업이익률(IFRS),경영자본순이익률(IFRS),자본금정상영업이익률(IFRS),자본금순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),기타손익비률(IFRS),금융손익비율(IFRS),금융비용부담률(IFRS),외환이익 대 매출액비율(IFRS),광고선전비 대 매출액비율(IFRS),세금과공과 대 세금과공과 차감전순이익률(IFRS),기업순이익률(IFRS),수지비율(관계기업투자손익 제외)(IFRS),인건비 대 총비용비율(IFRS),R & D 투자효율(IFRS),세금과공과 대 총비용비율(IFRS),금융비용 대 총비용비율(IFRS),감가상각비 대 총비용비율(IFRS),감가상각률(IFRS),누적감가상각률(IFRS),이자부담률(IFRS),지급이자율(IFRS),차입금평균이자율(IFRS),유보율(IFRS),사내유보율(IFRS),사내유보 대 자기자본비율(IFRS),적립금비율(재정비율)(IFRS),평균배당률(IFRS),자기자본배당률(IFRS),배당성향(IFRS),1주당매출액(IFRS)(원),1주당순이익(IFRS)(원),1주당 CASH FLOW(IFRS)(원),1주당순자산(IFRS)(원),1주당정상영업이익(IFRS)(원),유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),비유동장기적합률(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매출채권비율(IFRS),재고자산 대 순운전자본비율(IFRS),매출채권 대 매입채무비율(IFRS),"매출채권 대 상,제품비율(IFRS)",매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),비유동부채비율(IFRS),비유동부채 대 순운전자본비율(IFRS),순운전자본비율(IFRS),차입금의존도(IFRS),차입금비율(IFRS),이자보상배율(이자비용)(IFRS),이자보상배율(순금융비용)(IFRS),유보액대비율(IFRS),유보액 대 납입자본배율(IFRS),유동자산집중도(IFRS),비유동자산집중도(IFRS),투자집중도(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS),정상영업이익대비이자보상배율(IFRS),총자본회전률(IFRS),경영자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),재고자산회전기간(IFRS),"상품,제품회전률(IFRS)","원,부재료회전률(IFRS)",재공품회전률(IFRS),매출채권회전률(IFRS),매출채권회전기간(IFRS),비유동자산회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS),운전자본회전률(IFRS),1회전기간(IFRS),부가가치(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원),종업원1인당 매출액(IFRS)(백만원),종업원1인당 정상영업이익(IFRS)(백만원),종업원1인당 순이익(IFRS)(백만원),종업원1인당 인건비(IFRS)(백만원),노동장비율(IFRS),기계장비율(IFRS),자본집약도(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS),label
count,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0
mean,63965.57432432433,2015.527027027027,3.554054054054054,35.810810810810814,56392.16891891892,5.159695945945946,22.75891891891892,0.0,17.37476351351351,7.462060810810809,10.747060810810812,77.61057432432433,7.05608108108108,8.222027027027027,395.598108108108,-13.231824324324322,-104.78689189189187,-1.880709459459492,4.905101351351353,19.12635135135135,10.237668918918919,23.430641891891888,-4.315472972972973,-22.374864864864865,0.5692567567567566,0.18074324324324362,-7.428648648648649,-1.6766216216216212,-21.651655405405407,-0.3884797297297298,-10.575304054054055,40.51834459459459,-22.33368243243243,74.54233108108107,104.31547297297297,-16.28108108108108,-5.736081081081081,3.105439189189189,-0.029222972972972945,0.8778040540540542,14.775304054054054,-6.1426013513513515,114.05439189189191,16.516756756756756,0.9810135135135135,0.20168918918918916,1.9966554054054053,4.566722972972973,12.303851351351351,69.49956081081082,1.8658108108108111,6.842500000000001,5.465878378378378,662.8602702702702,9.797297297297296,-56.223412162162155,53.374797297297306,7.193412162162162,0.752668918918919,27.702804054054056,15901.757702702704,-231.6705743243243,591.1341216216217,7928.225608108108,653.2524999999999,50.2277027027027,22.08581081081081,223.61631756756753,39.50743243243244,49.60317567567567,47.88820945945946,52.62851351351352,739.1229391891891,146.98682432432432,89.15307432432432,193.40824324324322,151.69452702702702,35.61280405405405,12630.620304054055,69.97273648648648,750.5613513513514,17501.726858108108,9895.508952702703,184.55787162162162,131.74246621621623,52.00655405405406,50.026250000000005,94.32165540540541,10.978074324324325,28.944493243243244,104.2568581081081,30405313.57287162,216216240.12003377,33.69537162162162,7.082533783783785,101.99878378378378,127.0970945945946,190.88777027027027,2.2767905405405404,-3.7143581081081107,-0.38344594594594633,-4.411722972972973,24.737331081081077,0.6949324324324325,0.8073310810810812,1.7780405405405408,10.984594594594594,1.6269256756756756,38.888040540540544,46.13679054054054,1.5138851351351352,2.0715202702702706,3086.908074324325,74.31216216216217,1606.2324324324322,117.30709459459457,91.11148648648648,6.585439189189189,102.28418918918919,2.0168243243243245,28.836283783783788,0.7927702702702702,0.49949324324324335,0.058479729729729736,153035.10077702702,47.267533783783776,765.3805067567566,34.120979729729726,-64.08486486486487,67.10152027027029,191.88648648648652,41.97358108108108,1631.893141891892,8.61581081081081,415.32429054054063,-9220885.915405408,8.380304054054053,167.86760135135134,-90.5027364864865,-253.46604729729734,21385.399054054054,99157.75016891894,8469.897972972973,1815.6931418918916,485.0856756756757,21835.436047297295,790.1824324324324,1.0
std,54043.45581362469,2.129521139602247,1.8695917574275713,18.346144970335356,40874.21265004623,27.054911874138618,166.52430193751434,0.0,169.08314024726403,40.978804866431084,55.020862894948905,957.5930941345844,51.703564688899036,49.736726647138234,6748.926293862056,329.8111306928015,865.2110321321546,3223.9436509845937,68.9571268817539,129.9330314295512,75.32373288614663,22.62553722767296,28.54377592720203,65.06357200994687,9.812443092610366,9.858306561437223,20.9225173048333,25.08400204746765,60.38600033874871,12.642612771138081,32.03546240391515,128.3506632692528,158.42317007270518,24.816746621036472,28.543775927202024,45.497090234917785,22.05415884174983,5.858966861812323,1.5722527520141962,1.9372647786226818,69.36930476296469,20.205381066871507,50.27315603039128,9.919648176936088,2.788502116559008,0.8166453816316825,3.148565123209194,3.7544150377306766,6.717533246171687,70.71548596594441,3.5010571795181535,14.65688342366532,4.200666683012138,839.4940759241788,29.778153625579318,207.7553423968187,118.97831258846905,16.09658696887311,1.5319310861542137,148.97993103352815,31266.006963518626,3573.7459536760975,2023.8703298966157,14380.71453480619,2185.939284685809,19.94762979317473,16.318731381961914,718.8240749198371,19.52883191839988,19.899828873709737,21.50510427002047,23.53668360391929,821.9397406011387,183.5765229812377,50.844625178080925,201.28833671101359,165.76709010887947,59.03908854461107,95854.8546971249,234.5965006175026,1934.9599659549383,143508.61837802664,73967.78207654605,289.4926725887431,203.66772947330762,35.693175698934894,120.74337976219775,298.4265430218338,29.39669115488125,20.274741313652996,185.68435392022946,171990864.82345375,412360542.3203565,32.19859186094216,8.848710257387449,109.05308043523628,188.15454484213336,184.90904407695186,36.90852720594402,493.2296223350126,11.60971987357279,27.854062066985325,335.48690505446257,0.3938364052029927,0.46552245682711463,1.6275730747358566,12.019796291366035,1.2311610922763663,136.65974053191087,56.75004423058123,0.8900189144716365,1.3466100764114344,47825.231386505366,95.73588997803,13555.017481943907,777.9879477021715,476.1821885874696,8.296032693434062,75.10654747249846,2.5969669498330097,277.48631434942456,0.4097544877920064,5.703807774825296,0.6022376800869684,529009.7873887457,470.5565285254949,2521.74112755979,386.1632421035414,499.25343059138794,96.6704877864355,299.63790660687266,91.70717290401898,6076.113858958727,26.54516015163499,4814.411270705673,147028376.1210055,55.70924620553212,1660.6111197505895,1658.8433376782739,3075.219283294233,306361.5498664021,310568.0589017999,48815.350578797705,9093.306626661299,2720.2351514839775,65192.13353240295,1979.3950558048216,0.0
min,720.0,2012.0,1.0,10.0,31201.0,-61.1,-99.52,0.0,-92.31,-99.47,-86.86,-98.69,-92.94,-85.28,-1542.64,-5320.5,-13024.3,-35017.12,-96.84,-79.67,-191.83,-54.47,-166.56,-494.69,-44.09,-44.15,-122.02,-170.73,-610.96,-71.15,-324.74,-433.4,-774.0,0.0,53.02,-347.26,-216.09,-34.53,-9.86,0.0,-222.12,-118.89,-6.56,-13.74,0.0,0.0,-16.2,0.0,0.0,0.0,-23.87,0.0,0.0,-92.35,0.0,-1874.36,-1440.79,0.0,0.0,0.0,54.24,-50181.0,-6258.97,-277.58,-11009.7,6.72,0.0,7.2,5.09,0.9,0.0,7.54,0.0,0.0,0.0,4.79,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-189.96,0.0,0.0,-17384.23,-2147.13,-242.94,-0.92,19.36,5.56,12.13,-272.43,-7054.94,-83.34,-182.79,-1992.63,0.04,0.07,0.0,0.12,0.09,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.77,4.28,0.05,0.12,0.06,0.0,0.0,-1124114.66,-2215.9,0.0,-944.9,-2404.3,-45.52,0.0,0.0,0.0,-179.02,-7119.06,-2525267510.0,-346.29,0.0,-28477.69,-50846.42,-3124361.44,-23863.64,-54363.0,-194.64,0.0,0.0,0.0,1.0
25%,27580.0,2014.0,1.0,24.0,32401.0,-4.5625,-5.6225000000000005,0.0,0.0,-5.955,-8.18,-10.3575,-7.640000000000001,-9.345,-0.985,0.0,-9.57,-22.532500000000002,-7.0425,-15.4575,-2.9475,9.125,-6.4350000000000005,-22.384999999999998,-2.9825,-3.3274999999999997,-12.0175,-8.955,-26.96,-4.04,-14.39,-22.86,-84.3575,59.9375,92.605,-13.55,-4.255,0.13,-0.26,0.01,0.0,-10.0875,93.7825,8.977500000000001,0.0,0.0,0.1175,2.0175,8.41,19.765,0.185,3.12,3.1825,117.01249999999999,0.0,-52.395,48.084999999999994,0.0,0.0,0.0,1418.6200000000001,-493.25,-184.7475,842.3,-122.39,35.295,8.0125,55.2875,25.962500000000002,34.49,31.4375,36.31,213.9775,63.3925,54.13249999999999,83.26,62.934999999999995,5.6925,61.095,0.0,113.97,105.11,12.43,54.0925,35.9925,16.4525,6.4,0.0,-6.4825,12.83,20.13,-1.7175,-4.6425,16.4975,1.1675,51.3125,38.010000000000005,96.2675,-6.3325000000000005,-11.3025,-3.9274999999999998,-6.9725,-1.4100000000000001,0.42,0.48,0.73,3.6375,0.8,6.65,17.435000000000002,0.8474999999999999,1.0675000000000001,3.5775,22.375,5.5725,5.4225,0.0,2.6325000000000003,50.7575,0.7975000000000001,1.1875,0.4975,0.0,0.0,1552.2150000000001,-10.93,194.82,-21.9825,-103.485,41.99,13.555,0.0,307.7675,1.8,5.7275,0.0,3.39,27.7875,0.0,-13.4175,-10744.5825,5047.375,103.13250000000001,0.0,0.0,1271.7424999999998,79.5,1.0
50%,49180.0,2015.5,4.5,29.0,32902.0,2.205,0.0,0.0,0.0,1.5499999999999998,1.85,0.0,0.935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215,19.41,2.33,-1.09,1.935,1.6949999999999998,-0.8500000000000001,3.385,-1.12,1.94,-0.9299999999999999,15.46,-6.82,78.645,97.67,-3.005,-1.66,1.5550000000000002,0.0,0.13,0.0,0.84,99.92,16.15,0.0,0.0,1.455,3.5199999999999996,11.3,49.620000000000005,1.8450000000000002,4.575,4.62,466.99,0.0,3.57,84.375,0.0,0.0,0.0,4292.3099999999995,-4.5,74.03999999999999,3140.3500000000004,77.125,50.010000000000005,20.975,100.045,37.31,49.82,46.595,53.405,543.11,108.14500000000001,85.995,123.305,95.925,15.735,119.81,4.25,222.61,272.67499999999995,44.120000000000005,112.765,78.395,60.43000000000001,19.85,7.619999999999999,8.525,29.855,61.019999999999996,1.1,1.355,31.955,4.955,71.44,75.88,137.61,3.2800000000000002,4.33,1.67,2.23,0.0,0.64,0.75,1.4249999999999998,7.725,1.2650000000000001,10.870000000000001,32.87,1.4,1.7850000000000001,5.695,52.275,13.985,20.055,11.035,4.7,77.60499999999999,1.32,2.65,0.74,0.0,0.01,17540.75,63.21,309.025,9.265,-1.495,54.2,93.235,10.49,542.81,12.25,45.985,127.03999999999999,20.535,58.96,24.7,0.0,-363.52,12481.365,1096.5149999999999,0.0,0.0,2982.665,182.0,1.0
75%,86250.0,2017.0,5.0,46.0,74605.0,10.1725,9.2125,0.0,0.0,15.605,15.1175,18.05,8.7,14.425,0.0,0.0,0.0,6.45,6.6925,13.24,10.79,36.1125,7.395,4.9875,5.5125,5.14,3.5149999999999997,12.0175,6.62,6.1975,3.8,88.5025,54.5075,89.8325,106.435,-0.18,0.0,3.9525,0.3325,0.61,22.4925,4.015,117.4675,21.415,0.375,0.0,3.0275,6.17,15.1575,101.63250000000001,3.465,6.715,6.4425,887.5074999999999,0.0,26.3575,93.35,8.1275,0.9975,10.35,12508.7775,397.5,769.7025000000001,7489.2525,740.7875,65.38,33.93,188.82500000000002,48.535,64.4,63.69,68.5625,974.0025,161.665,111.175,206.77,158.1325,31.6575,253.9825,59.1875,459.8225,704.595,110.3175,215.9775,160.6275,83.335,47.9825,59.9725,28.685,44.8625,125.4675,10.03,83.8425,55.2575,9.41,118.26,125.44999999999999,205.125,13.01,26.5975,6.1175,9.4725,2.34,0.9125000000000001,1.0350000000000001,2.2275,14.9975,2.1225,19.8575,52.629999999999995,1.9525,2.6325,11.06,87.2875,43.135000000000005,56.745,41.2625,7.19,138.7475,2.63,4.93,1.02,0.1625,0.02,57184.5525,111.49000000000001,626.4475,31.715,20.962500000000002,77.4075,229.5925,43.504999999999995,1327.785,22.9525,118.9975,486.1275,33.4925,76.4525,42.99,18.8525,8362.195,33109.8925,2795.255,143.9525,0.0,8139.3775000000005,379.0,1.0
max,275630.0,2021.0,6.0,91.0,189102.0,173.29,2085.18,0.0,2133.95,267.46,657.79,16282.8,499.4,485.07,116066.34,1155.41,772.16,41675.45,1029.17,1286.77,1126.72,100.0,46.98,55.25,28.76,28.72,31.38,67.37,74.59,29.83,32.59,729.43,540.27,154.47,266.56,85.69,44.46,34.09,10.3,13.42,868.66,34.2,445.4,54.8,28.81,9.13,22.94,21.28,50.07,337.03,17.37,214.08,31.53,6013.71,100.0,124.64,160.59,109.49,8.26,1816.46,182561.04,9592.0,10844.1,147570.68,10698.57,99.1,60.83,10973.89,95.17,93.28,92.46,199.5,5978.96,1947.29,321.3,1319.8,1191.31,366.53,981343.84,2593.82,21540.67,2050106.72,775093.38,2950.77,2480.19,100.0,1432.52,2512.6,80.65,136.54,1911.76,999999999.0,999999999.0,90.99,60.14,1478.78,2009.22,1726.04,109.4,2653.37,23.58,45.03,4484.69,2.19,2.7,11.67,94.41,7.57,1642.17,534.05,5.16,7.31,822286.77,858.75,154393.52,10296.09,7242.58,85.23,476.98,18.0,4314.18,2.14,97.8,10.02,3041385.78,5653.16,39526.99,5617.69,5570.38,1609.25,2018.18,593.28,70461.4,62.64,80789.49,476161.3,71.2,28577.69,92.53,77.6,1571030.13,2055868.0,459499.0,97066.0,35824.0,550894.0,13602.0,1.0
