,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,총자본증가율(IFRS),유형자산증가율(IFRS),비유동생물자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),정상영업이익증가율(IFRS),순이익증가율(IFRS),총포괄이익증가율(IFRS),종업원1인당 부가가치증가율(IFRS),종업원수증가율(IFRS),종업원1인당 매출액증가율(IFRS),종업원1인당 인건비증가율(IFRS),매출액총이익률(IFRS),매출액정상영업이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본정상영업이익률(IFRS),총자본순이익률(IFRS),자기자본정상영업이익률(IFRS),자기자본순이익률(IFRS),경영자본정상영업이익률(IFRS),경영자본순이익률(IFRS),자본금정상영업이익률(IFRS),자본금순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),기타손익비률(IFRS),금융손익비율(IFRS),금융비용부담률(IFRS),외환이익 대 매출액비율(IFRS),광고선전비 대 매출액비율(IFRS),세금과공과 대 세금과공과 차감전순이익률(IFRS),기업순이익률(IFRS),수지비율(관계기업투자손익 제외)(IFRS),인건비 대 총비용비율(IFRS),R & D 투자효율(IFRS),세금과공과 대 총비용비율(IFRS),금융비용 대 총비용비율(IFRS),감가상각비 대 총비용비율(IFRS),감가상각률(IFRS),누적감가상각률(IFRS),이자부담률(IFRS),지급이자율(IFRS),차입금평균이자율(IFRS),유보율(IFRS),사내유보율(IFRS),사내유보 대 자기자본비율(IFRS),적립금비율(재정비율)(IFRS),평균배당률(IFRS),자기자본배당률(IFRS),배당성향(IFRS),1주당매출액(IFRS)(원),1주당순이익(IFRS)(원),1주당 CASH FLOW(IFRS)(원),1주당순자산(IFRS)(원),1주당정상영업이익(IFRS)(원),유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),비유동장기적합률(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매출채권비율(IFRS),재고자산 대 순운전자본비율(IFRS),매출채권 대 매입채무비율(IFRS),"매출채권 대 상,제품비율(IFRS)",매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),비유동부채비율(IFRS),비유동부채 대 순운전자본비율(IFRS),순운전자본비율(IFRS),차입금의존도(IFRS),차입금비율(IFRS),이자보상배율(이자비용)(IFRS),이자보상배율(순금융비용)(IFRS),유보액대비율(IFRS),유보액 대 납입자본배율(IFRS),유동자산집중도(IFRS),비유동자산집중도(IFRS),투자집중도(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS),정상영업이익대비이자보상배율(IFRS),총자본회전률(IFRS),경영자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),재고자산회전기간(IFRS),"상품,제품회전률(IFRS)","원,부재료회전률(IFRS)",재공품회전률(IFRS),매출채권회전률(IFRS),매출채권회전기간(IFRS),비유동자산회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS),운전자본회전률(IFRS),1회전기간(IFRS),부가가치(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원),종업원1인당 매출액(IFRS)(백만원),종업원1인당 정상영업이익(IFRS)(백만원),종업원1인당 순이익(IFRS)(백만원),종업원1인당 인건비(IFRS)(백만원),노동장비율(IFRS),기계장비율(IFRS),자본집약도(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS),label
count,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0
mean,63965.57432432433,2015.527027027027,3.554054054054054,35.810810810810814,56392.16891891892,4.910263513513514,18.51967297297298,0.0,4.557672972972994,7.323597297297297,9.192855405405407,21.065991891891898,5.443150000000001,7.533901351351351,6.957897297297311,4.571729729729734,-73.95147162162161,-40.001794594594585,1.625548648648653,11.136298648648658,6.574959459459464,23.449966216216215,-3.859795945945946,-21.01812972972973,0.584356756756757,0.18801216216216246,-7.249943243243243,-1.3183770270270265,-19.974244594594595,-0.31295405405405435,-9.83322837837838,40.57532432432432,-21.755727027027028,74.40576486486486,103.85979594594595,-15.555097297297296,-4.682260810810811,3.145837837837838,-0.05560675675675669,0.8445486486486486,10.89293648648649,-5.9918162162162165,113.08649054054055,16.479574324324325,0.9217283783783785,0.14666486486486494,2.0004067567567567,4.561841891891892,12.264841891891894,69.3716554054054,1.9479405405405408,5.905844594594596,5.353718918918919,660.2609891891892,9.797297297297296,-47.02855135135135,59.90324459459459,7.073241891891891,0.7416905405405406,20.00925405405406,15719.98646891892,-78.4376013513513,596.4559878378379,7420.661604054054,680.5056351351351,50.22647162162162,22.085572972972972,185.15975405405408,39.52996891891892,49.60440675675675,47.91583108108108,52.08416891891892,736.8379432432432,141.62107297297297,88.99706081081081,191.53082162162164,148.57574054054055,35.116781081081086,8310.339089189196,58.41103783783785,687.1875337837839,9301.245960810817,6585.4673594594615,175.1093162162162,124.40207297297299,52.00497702702703,45.23141486486487,90.76586216216216,11.427237837837838,28.64938243243243,98.48577837837837,30405427.65404459,216216247.94781756,34.49458378378378,7.059625675675675,98.19226756756757,121.37491486486485,186.64055135135135,3.3111743243243246,19.65184054054054,-0.07962972972972994,-3.9836689189189194,10.154598648648655,0.6943337837837839,0.8069959459459459,1.7660135135135135,10.966318918918917,1.6197675675675676,35.12236621621622,44.5613891891892,1.5112986486486486,2.0698621621621625,347.84206621621627,72.77501486486487,534.6607567567585,82.030022972973,69.41933378378381,6.349437837837837,101.49738648648649,1.9907351351351352,8.339043243243243,0.7918864864864866,0.15553378378378382,0.017143243243243244,157935.97693783784,24.93844324324326,638.6219608108108,10.813022972973004,-88.66668108108105,62.0188,185.33706081081084,41.835835135135135,1294.6157459459462,9.388244594594592,131.8169567567568,-52636.364695945995,9.449995945945945,72.08796081081084,5.258014864864865,-40.236443243243244,26883.99555270271,94987.37047702703,5752.532521621625,1816.3507094594597,457.10608108108124,20652.654745945947,740.786756756757,1.0
std,54043.45581362469,2.129521139602247,1.8695917574275713,18.346144970335356,40874.21265004623,25.583826361761577,122.2941052936244,0.0,39.981651741531614,38.91356773414109,40.80208229525363,107.62971386501576,39.184255585260935,43.667456985093,94.81276271478748,74.44547857985249,471.84803479255305,229.17092094687257,31.913217163722546,66.77622936134576,30.322419268939203,21.933878997842758,25.812448012564396,56.949035264060285,9.44549600184318,9.5199796549199,19.681076890173042,21.88492440992075,47.8770130820213,11.91088815846982,26.521318019976896,125.62928966130046,155.9218398338636,24.466661287686037,25.8124480125644,40.096362681334035,13.863832888782458,5.1217007133708154,1.2133940164433936,1.760350510108384,27.70816135323611,19.012216212780103,42.79858548371144,9.531596382267619,2.3425312175563056,0.40290984193419577,2.74748297891212,3.7321769547492196,6.508443947053242,70.24113106905746,2.9133654004584084,5.974428612875343,3.647959265297242,821.8726587700876,29.778153625579318,149.06833387540686,62.74934884724294,15.414032457340104,1.481806937599153,80.88594105624347,30370.009847281155,1764.1372481147125,1982.8326501201682,11175.404223210135,2032.7017732846314,19.833153136404547,16.318165292660485,309.7525506521406,19.45723613796128,19.78508620112261,21.385953691551858,21.38595369155185,806.9906009587324,144.41928059282827,49.813176896972095,191.81180732051362,150.41129938325415,56.48955471501726,58482.853828795225,136.5068518727104,1449.220069175375,58624.2661471287,45493.83387215486,220.22522515683207,144.38200765741738,35.691052993589274,80.37574871184476,272.11936788633784,26.853811085213334,19.267058387007815,142.84812411940493,171990844.5817096,412360538.202021,27.7379214724818,8.69363570334788,74.99864724133451,146.98660937525457,158.67483919193563,30.551902136242273,166.95024592515566,9.965759921933785,25.542759577649527,58.80123889915875,0.38996184003732404,0.46298818843203415,1.5641144090387147,11.889265595972404,1.200132081330837,102.91288719157829,46.9847624474309,0.876373385325366,1.3360515574850993,2218.7768351623226,85.82689472987515,3271.228653740216,383.3176899133295,222.43996438972798,6.606685447747511,72.00882048189925,2.446117338340667,22.94751233138514,0.4056332164128623,0.3902314465873235,0.03170970051472985,506331.3931242482,251.55664896241672,1060.2303761944386,115.37383010985087,311.5856907173193,32.98366436383163,266.7906177430884,90.90297869758254,3213.6139050769893,21.523512094839834,582.1943780891628,536178.3115339025,49.72185759344848,101.16473692539905,93.34719328496809,168.67590160851356,225655.5340010991,285981.297330266,25250.51004812331,9093.167796397933,2376.376370647914,56542.487848829434,1692.091370027333,0.0
min,720.0,2012.0,1.0,10.0,31201.0,-59.593199999999996,-84.97919999999999,0.0,-73.292,-67.9124,-62.248799999999996,-90.8052,-76.9496,-73.27680000000001,-281.76360000000005,-267.8088,-4236.7572,-2017.1408000000001,-71.49480000000001,-75.6212,-57.6436,-27.4816,-118.8156,-285.9448,-32.622,-33.8528,-100.29,-97.7492,-226.1856,-51.3472,-130.2296,-339.622,-650.6684,0.0,65.0824,-229.6972,-90.7304,-2.42,-4.7712,0.0,-64.8888,-96.97840000000001,62.958,0.0,0.0,0.0,-2.1824,0.017599999999999998,0.3252,0.0,-5.952,0.0,0.0,-63.8604,0.0,-756.0148,-255.5984,0.0,0.0,0.0,174.0684,-7996.68,-4650.5716,0.0,-2927.6684,10.350800000000001,0.0,11.5444,8.6852,5.3744,3.9311999999999996,10.0672,9.3992,6.342,6.2036,23.0508,16.293200000000002,0.0588,0.0,0.0,0.0,0.0,0.0,9.867199999999999,6.434799999999999,0.0,0.0,0.0,-46.870000000000005,0.0,0.0,-70.68320000000001,-64.48400000000001,-40.344,-0.5696000000000001,21.444,6.652,39.0912,-107.8448,-774.8044,-37.876000000000005,-99.5376,-36.62880000000001,0.08639999999999999,0.1088,0.0,0.3088,0.14,0.0,0.0,0.23759999999999998,0.2552,0.0,0.0,0.0,0.0,0.0,1.1776,8.9604,0.11879999999999999,0.29159999999999997,0.1288,0.0,0.0,-118457.07160000001,-1278.8963999999999,67.5444,-309.0904,-1788.5356000000002,0.0,0.0,0.0,0.0,-90.4504,-1717.1404000000002,-5340576.2364000045,-235.912,0.0,-697.6932,-1229.5268,-860158.3332,222.03279999999998,-40951.3012,0.0,0.0,36.158,2.0,1.0
25%,27580.0,2014.0,1.0,24.0,32401.0,-4.5625,-5.6225000000000005,0.0,0.0,-5.955,-8.18,-10.3575,-7.640000000000001,-9.345,-0.985,0.0,-9.57,-22.532500000000002,-7.0425,-15.4575,-2.9475,9.125,-6.4350000000000005,-22.384999999999998,-2.9825,-3.3274999999999997,-12.0175,-8.955,-26.96,-4.04,-14.39,-22.86,-84.3575,59.9375,92.605,-13.55,-4.255,0.13,-0.26,0.01,0.0,-10.0875,93.7825,8.977500000000001,0.0,0.0,0.1175,2.0175,8.41,19.765,0.185,3.12,3.1825,117.01249999999999,0.0,-52.395,48.084999999999994,0.0,0.0,0.0,1418.6200000000001,-493.25,-184.7475,842.3,-122.39,35.295,8.0125,55.2875,25.962500000000002,34.49,31.4375,36.31,213.9775,63.3925,54.13249999999999,83.26,62.934999999999995,5.6925,61.095,0.0,113.97,105.11,12.43,54.0925,35.9925,16.4525,6.4,0.0,-6.4825,12.83,20.13,-1.7175,-4.6425,16.4975,1.1675,51.3125,38.010000000000005,96.2675,-6.3325000000000005,-11.3025,-3.9274999999999998,-6.9725,-1.4100000000000001,0.42,0.48,0.73,3.6375,0.8,6.65,17.435000000000002,0.8474999999999999,1.0675000000000001,3.5775,22.375,5.5725,5.4225,0.0,2.6325000000000003,50.7575,0.7975000000000001,1.1875,0.4975,0.0,0.0,1552.2150000000001,-10.93,194.82,-21.9825,-103.485,41.99,13.555,0.0,307.7675,1.8,5.7275,0.0,3.39,27.7875,0.0,-13.4175,-10744.5825,5047.375,103.13250000000001,0.0,0.0,1271.7424999999998,79.5,1.0
50%,49180.0,2015.5,4.5,29.0,32902.0,2.205,0.0,0.0,0.0,1.5499999999999998,1.85,0.0,0.935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215,19.41,2.33,-1.09,1.935,1.6949999999999998,-0.8500000000000001,3.385,-1.12,1.94,-0.9299999999999999,15.46,-6.82,78.645,97.67,-3.005,-1.66,1.5550000000000002,0.0,0.13,0.0,0.84,99.92,16.15,0.0,0.0,1.455,3.5199999999999996,11.3,49.620000000000005,1.8450000000000002,4.575,4.62,466.99,0.0,3.57,84.375,0.0,0.0,0.0,4292.3099999999995,-4.5,74.03999999999999,3140.3500000000004,77.125,50.010000000000005,20.975,100.045,37.31,49.82,46.595,53.405,543.11,108.14500000000001,85.995,123.305,95.925,15.735,119.81,4.25,222.61,272.67499999999995,44.120000000000005,112.765,78.395,60.43000000000001,19.85,7.619999999999999,8.525,29.855,61.019999999999996,1.1,1.355,31.955,4.955,71.44,75.88,137.61,3.2800000000000002,4.33,1.67,2.23,0.0,0.64,0.75,1.4249999999999998,7.725,1.2650000000000001,10.870000000000001,32.87,1.4,1.7850000000000001,5.695,52.275,13.985,20.055,11.035,4.7,77.60499999999999,1.32,2.65,0.74,0.0,0.01,17540.75,63.21,309.025,9.265,-1.495,54.2,93.235,10.49,542.81,12.25,45.985,127.03999999999999,20.535,58.96,24.7,0.0,-363.52,12481.365,1096.5149999999999,0.0,0.0,2982.665,182.0,1.0
75%,86250.0,2017.0,5.0,46.0,74605.0,10.1725,9.2125,0.0,0.0,15.605,15.1175,18.05,8.7,14.425,0.0,0.0,0.0,6.45,6.6925,13.24,10.79,36.1125,7.395,4.9875,5.5125,5.14,3.5149999999999997,12.0175,6.62,6.1975,3.8,88.5025,54.5075,89.8325,106.435,-0.18,0.0,3.9525,0.3325,0.61,22.4925,4.015,117.4675,21.415,0.375,0.0,3.0275,6.17,15.1575,101.63250000000001,3.465,6.715,6.4425,887.5074999999999,0.0,26.3575,93.35,8.1275,0.9975,10.35,12508.7775,397.5,769.7025000000001,7489.2525,740.7875,65.38,33.93,188.82500000000002,48.535,64.4,63.69,68.5625,974.0025,161.665,111.175,206.77,158.1325,31.6575,253.9825,59.1875,459.8225,704.595,110.3175,215.9775,160.6275,83.335,47.9825,59.9725,28.685,44.8625,125.4675,10.03,83.8425,55.2575,9.41,118.26,125.44999999999999,205.125,13.01,26.5975,6.1175,9.4725,2.34,0.9125000000000001,1.0350000000000001,2.2275,14.9975,2.1225,19.8575,52.629999999999995,1.9525,2.6325,11.06,87.2875,43.135000000000005,56.745,41.2625,7.19,138.7475,2.63,4.93,1.02,0.1625,0.02,57184.5525,111.49000000000001,626.4475,31.715,20.962500000000002,77.4075,229.5925,43.504999999999995,1327.785,22.9525,118.9975,486.1275,33.4925,76.4525,42.99,18.8525,8362.195,33109.8925,2795.255,143.9525,0.0,8139.3775000000005,379.0,1.0
max,275630.0,2021.0,6.0,91.0,189102.0,134.77920000000003,1020.2404000000012,0.0,275.08240000000205,213.97600000000003,192.85720000000003,909.759600000001,195.22360000000015,260.8984000000001,523.9880000000011,513.5036000000007,561.2960000000004,368.43040000000065,206.34400000000045,413.23200000000077,180.32560000000035,71.8816,34.91760000000002,32.602800000000116,18.725200000000005,18.630000000000006,16.1968,38.51600000000001,27.418000000000053,20.434800000000003,19.61280000000002,640.5500000000001,540.27,127.48160000000001,218.8156000000002,51.150000000000176,36.33120000000002,23.382000000000005,3.6188000000000033,8.991600000000005,168.2036000000002,15.858000000000002,337.30080000000027,43.71600000000001,12.880800000000008,2.0232000000000037,11.2584,20.0024,37.51240000000006,323.6,9.969600000000002,38.13000000000005,19.975200000000022,5505.037200000002,100.0,90.334,140.992,86.8532,7.117600000000001,614.3048000000007,156676.36320000008,6518.000000000004,9880.007200000005,49774.831600000005,9795.1312,94.6256,60.7596,1761.6424000000002,94.03,89.64920000000001,89.9328,96.06880000000001,5605.037200000002,952.0824000000002,271.56520000000006,1007.74,741.4316000000001,307.73800000000006,455120.35760000045,1009.2124000000017,8671.380000000006,454940.24360000045,349674.9496000002,1443.2172000000005,912.7736000000002,99.8208,538.5696000000004,1962.3284000000003,68.06560000000002,68.6568,967.4376000000003,999999999.0,999999999.0,85.0276,55.89880000000002,424.49640000000016,860.1456000000002,922.6652000000001,97.00560000000003,633.1408000000001,19.653600000000008,37.58720000000001,485.7488000000007,2.0212,2.5344000000000007,9.3,88.73400000000002,5.905600000000002,697.8768000000002,266.7404000000004,4.6672,6.553600000000001,17000.167200000007,527.4648000000003,27557.818000000174,3810.178400000004,1700.7964000000045,40.7336,309.32840000000004,15.042800000000003,150.17600000000002,1.8836,2.672000000000003,0.24720000000000025,2722251.0000000005,624.1596000000011,6781.876800000002,590.4216000000022,486.3248000000028,212.7616000000001,1335.3700000000013,555.8336,23068.485200000017,44.014,3024.560000000005,68751.29640000002,68.43680000000002,797.693200000003,86.93880000000001,61.66880000000001,1168025.4508000007,1617072.9600000002,174328.01040000035,97066.0,27542.04000000004,404277.6176000001,9563.720000000016,1.0
