Statistics,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),label
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,75100.9462978627,-26.254193808139917,-25.28576886904609,-26.714190405742073,-6043.01014938685,-222702479.9429009,-133297561.73383918,-311563224.4270177,-338049.4120803146,11860508.17905742,1814537.7719483376,-9230634.805010978,-8077367.14739947,-4188069.6145723164,-1868927.114922922,-80514964.80363098,-82816297.99563918,-150286806.07342988,-78189174.93420368,-43604825.45787513,1370321.2412323635,275689.791563645,578846.9999060205,-13.75,-223479029.65800333,3088047.1296433955,-3213345.311799988,993703.8763171732,-21583888.02540033,-482043.44200241566,-126808336.45856361,-1130340.8125830293,-31650878.002988964,24669269.736598376,-1574947.8048130888,-79961481.46839356,-94900476.1376311,-993866271.8829584,-433994181.4205577,-77980508.16963124,-99640004.81168547,-32996694.144208085,-2240248.401241244,-2552906.8617638964,68056.6171598041,-1677464.458665243,-20976.564336743206,61072.09537114977,-4408008.056864099,-34294526.58970584,-736602.0923109315,-16169057.921947788,866808.0106057301,-840187.793864144,-2501462.9692150196,-3898025.9307490177,132228.87430188805,-35630606.638528496,-26.125
std,218340.14413996617,43.310597381975526,-71.76536640547754,-67.91155627309841,-12945.79842743501,-541123839.1730608,-324768684.23231965,-699533230.9119511,-822296.4939020424,-1010766.3298368454,-280079.67132115364,-20363014.379512213,-32120802.965050668,-12093763.114219487,-1735524.9206501134,-186566755.09435862,-182896861.65067548,-372741520.93238425,-177728518.4307909,-59400307.411810815,-106173.17543552816,133994.71232700348,486251.825028406,-38.890872965260115,-521523608.7566219,-9923481.440401763,282721.7183331847,-22950680.85409087,-46702437.693191245,-22767007.856829166,-303446138.36506605,-667157.3872563243,-77298037.73685151,-83142134.85436964,-8911553.532943785,-189161096.18038929,-205490674.82362533,-2384595650.7584095,-980592703.3839811,-317460842.9458561,-245100621.60541713,-75871505.26234373,-5099766.151735164,-6547862.7051046565,-20377.60863943235,-3600387.278913123,-11324.429244456813,-16285.75075125543,-10101304.867352944,-81091883.999332,-1782851.1634951408,-35744511.80795093,-276714.9570180774,-486041.8950438686,-6320121.5137295965,-8779541.757355116,7988.057808846235,-71774284.74724442,-71.46887925487411
min,-203.0,-0.3398567714246101,0.0,5.1638626427364915,-203.0,-203.0,0.0,-203.0,0.0,-203.0,0.0,0.0,0.0,-203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-203.0,0.0,227502857.92000002,0.0,0.0,7815610.440000057,-203.0,0.0,0.0,-203.0,-203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912301.1600000001,0.0,0.0,0.0,0.0,0.0,0.0
25%,-5097.5,-50.75,-0.045040415671470546,1.4134637574161637,352.25,800187.9375,-179721.5,4265885.249999999,0.0,2304851.4375,-21694.4375,-18004.25,43038.4375,22545.0,-152.25,-152.25,-123288.875,2118216.25,1297340.5,622462.0,-13219.8125,-265138.8125,-152.25,0.0,748188.625,363705.4375,-55495.25,30324.25,73972.6875,15762.0625,113111.25,1578698.25,-974568.5,2371140.337177057,23751.875,-152.25,2245683.75,24222057.562499996,-152.25,-152.25,1338091.65,536813.8125,40808.5,50906.5,14120.5,-17269.8125,16357.375,45881.875,11208.0625,-2667.5,37052.3125,8013.75,16238.25,-152.25,22838.25,-2414.0,-589.0625,8436.125,-1.0
50%,-7758.87844444676,-1.25,0.3869514675966288,1.2343795408311564,-3999.138933786875,15613152.718118276,9330176.625,10634696.875,-61.5,-771770.5,1040205.5,969426.875,6517426.5,2186738.5,-206219.375,-1387958.875,27249.75,12002994.375,14349696.125,-3261385.375,147634.5,-1096521.0,656913.7613680628,0.0,8023783.75,11885044.5,1153334.875,8411713.25,859376.625,7498014.25,2349573.375,7591269.5,-2726011.25,-555911.5,-20889.5,-66737.5,7600027.793010753,161021206.0,-17591810.581989244,53670803.5,3033441.0,1618310.4722042996,196163.75,546759.625,109411.0873655914,-328586.01747311826,140378.25,128295.69301583839,49498.11559139774,-205093.0,18514.62634408602,-969274.9220430106,357232.375,-454350.25,1041182.75,281038.0,-14460.125,1266975.813763441,-1.0
75%,-5575.705344213391,-1.14527027027043,0.0,-5.0,333.89750435919996,-84725947.1998609,-49954271.6623178,-183933003.0100851,-108834.11542078812,25800220.820189863,4726241.918769538,-5165157.597634574,9827549.048288584,-778636.7657587007,-3714026.469096776,-35726242.5486096,-48313511.031666294,-51571967.51811664,-51859130.8938905,-63148720.98661387,3914506.38347461,1853214.4039940387,781096.2891279939,0.0,-100271288.62558007,13003623.295758769,-10545776.273224339,22260083.29253967,-15216451.83428077,17860495.724575423,-49552924.566745,-13919072.693881571,-8160756.584301934,-50.75,7862673.105336325,-31238535.42805058,-7441655.558997199,-492019338.79073524,-216985107.39768308,89834493.47827554,-32515473.894098893,-16942222.671883166,-1309146.2629409283,-1015245.0954945106,165983.6923260016,-854084.8612966288,-200135.26417188812,96943.09423438029,-2063367.968821191,-13471151.136255622,-268450.1227939053,-8807296.053144276,2211386.7655314244,-1884053.3169356245,-1329579.619538535,-2426386.5269113993,179399.11055815127,-14412645.43218195,-1.0
max,624470.0,-2.0,-203.0,-203.0,-41593.0,-1549624964.4,-930508872.7600007,-2009497799.5600033,-2356500.300000015,0.0,0.0,-58115560.0,-88304256.00000203,-33770350.68000126,-5406701.400000051,-536779088.48000026,-526429399.20000005,-1065177641.24,-507824920.0,-173389376.5600009,0.0,0.0,1634335.3200000618,-110.0,-1495223780.3600006,-22934080.00000012,0.0,-59522160.00000191,-134356821.31999996,-60067028.8800025,-870463454.9200003,0.0,-223959109.28000247,-37898437.875921264,-29516918.880001158,-542794000.0,-734624201.4800005,-6788824363.719999,-2830271086.960021,-878680592.7600336,-703146960.0000002,-217797520.00000012,-14614360.0,-18668355.000000022,0.0,-10480800.000000004,0.0,0.0,-29035000.000000007,-232801262.00000003,-5109560.000000004,-103289366.80000028,0.0,-1747097.2800000682,-17811400.000000194,-25220594.00000012,0.0,-244224760.48000008,-203.0
