Statistics,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,총자본증가율(IFRS),유형자산증가율(IFRS),비유동생물자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),정상영업이익증가율(IFRS),순이익증가율(IFRS),총포괄이익증가율(IFRS),종업원1인당 부가가치증가율(IFRS),종업원수증가율(IFRS),종업원1인당 매출액증가율(IFRS),종업원1인당 인건비증가율(IFRS),매출액총이익률(IFRS),매출액정상영업이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본정상영업이익률(IFRS),총자본순이익률(IFRS),자기자본정상영업이익률(IFRS),자기자본순이익률(IFRS),경영자본정상영업이익률(IFRS),경영자본순이익률(IFRS),자본금정상영업이익률(IFRS),자본금순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),기타손익비률(IFRS),금융손익비율(IFRS),금융비용부담률(IFRS),외환이익 대 매출액비율(IFRS),광고선전비 대 매출액비율(IFRS),세금과공과 대 세금과공과 차감전순이익률(IFRS),기업순이익률(IFRS),수지비율(관계기업투자손익 제외)(IFRS),인건비 대 총비용비율(IFRS),R & D 투자효율(IFRS),세금과공과 대 총비용비율(IFRS),금융비용 대 총비용비율(IFRS),감가상각비 대 총비용비율(IFRS),감가상각률(IFRS),누적감가상각률(IFRS),이자부담률(IFRS),지급이자율(IFRS),차입금평균이자율(IFRS),유보율(IFRS),사내유보율(IFRS),사내유보 대 자기자본비율(IFRS),적립금비율(재정비율)(IFRS),평균배당률(IFRS),자기자본배당률(IFRS),배당성향(IFRS),1주당매출액(IFRS)(원),1주당순이익(IFRS)(원),1주당 CASH FLOW(IFRS)(원),1주당순자산(IFRS)(원),1주당정상영업이익(IFRS)(원),유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),비유동장기적합률(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매출채권비율(IFRS),재고자산 대 순운전자본비율(IFRS),매출채권 대 매입채무비율(IFRS),"매출채권 대 상,제품비율(IFRS)",매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),비유동부채비율(IFRS),비유동부채 대 순운전자본비율(IFRS),순운전자본비율(IFRS),차입금의존도(IFRS),차입금비율(IFRS),이자보상배율(이자비용)(IFRS),이자보상배율(순금융비용)(IFRS),유보액대비율(IFRS),유보액 대 납입자본배율(IFRS),유동자산집중도(IFRS),비유동자산집중도(IFRS),투자집중도(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS),정상영업이익대비이자보상배율(IFRS),총자본회전률(IFRS),경영자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),재고자산회전기간(IFRS),"상품,제품회전률(IFRS)","원,부재료회전률(IFRS)",재공품회전률(IFRS),매출채권회전률(IFRS),매출채권회전기간(IFRS),비유동자산회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS),운전자본회전률(IFRS),1회전기간(IFRS),부가가치(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원),종업원1인당 매출액(IFRS)(백만원),종업원1인당 정상영업이익(IFRS)(백만원),종업원1인당 순이익(IFRS)(백만원),종업원1인당 인건비(IFRS)(백만원),노동장비율(IFRS),기계장비율(IFRS),자본집약도(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),부가가치(IFRS)(백만원).1,법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원).1,총자본투자효율(IFRS).1,기계투자효율(IFRS).1,부가가치율(IFRS).1,종업원수(IFRS),label
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,75100.9462978627,-26.254193808139917,-25.28576886904609,-26.714190405742073,-6043.01014938685,-23.947236334067554,-17.824684323611507,-25.375,-25.87255693472543,-22.877797676008093,-25.213422001438545,-21.762944087434278,-23.68511610092326,-21.563310648113962,-27.679067063259644,-4.130098072211311,-9.182155379900337,-13.813538898454738,-23.119240014441274,-31.848936684242446,-25.589024680938223,-30.139532918344855,-24.752378610984298,-14.054551029150637,-24.88383535390689,-24.871348616595043,-20.15062240842647,-23.767873567893922,-15.681309363519839,-24.85917356633442,-19.04009584023772,-0.6420254850230975,21.046841114288284,-22.900392030776544,-27.64079103833103,-8.01399377247229,-24.816423393022085,-26.917894765669836,-25.24216011403633,-25.99954109246813,-28.389841948670494,-20.261979112698924,-38.298662966772085,-29.29315720669644,-25.532087032502538,-25.50770874167097,-25.467166306051457,-25.712978756355614,-25.57250834138018,-26.155658838000164,-25.457291683787272,-27.15685655498033,-25.306182715144924,92.10466508481636,-23.68340199856374,-12.971492654528916,-10.956442143312344,-23.53169778367169,-25.655518791407008,-105.65472634669672,469.677443231918,-257.245967650491,129.8483514185316,-202.5071328050999,-653.5160943289502,-26.6722791336016,-27.47485548189695,-185.74151209085068,-25.16763301758421,-24.68576657705333,-27.442556335383586,-23.90528001672621,88.05022599776703,-17.032411642852765,-20.496956347750995,-97.426464449404,-64.41013469056975,-28.348423074519232,-38734.42740404846,-24.48865290132096,-90.18142973444083,-38396.15767505493,-43536.8057705541,-74.44542017833311,-12.856092706363597,-17.823064898387145,-21.61900619909767,-24.238302570075916,-28.58412048830029,-25.344529218663816,-55.67809356027254,-4380386.109024584,-7148435.350758046,-28.009022460833783,-24.011379758470945,-35.66610794033659,-34.45174631026907,-107.39166086066206,-20.284659509789932,51.643252549249695,-23.81849051542196,-18.60737049501735,-23.760034752576885,-25.307684287746852,-25.26311596324483,-25.087217182082476,-21.77546351122939,-25.35613736787817,-29.07716348914029,-28.117692139584932,-25.192036868179144,-25.184862131423777,-96.64100645447797,-37.52016386327851,-87.78981897180574,8.707496910506393,-9.732518821086842,-24.795427949740986,-42.29302280553247,-25.36278091096878,-23.962139743627397,-25.30410848305786,-25.511576859984633,-25.368112709208496,-94802.13499950309,-19.917126758605946,-382.9162869432928,-72.72272457249345,-31.006314211353256,-23.2635096170429,-45.75752050106388,-19.27643267806164,-1438.791506259529,-20.397894947286087,-37.15500328722851,2216.5365848276997,-12.342083032413747,-23.25217036716694,-16.764031798081746,-18.883609053228056,-94802.13499950309,-83218.8968909956,-99665.35361631215,6335.064773048482,6361.4132710618105,404.5852803895659,2783.58739832243,-19.917126758605946,-20.397894947286087,2216.5365848276997,-12.342083032413747,-91.89461273757661,-26.125
std,218340.14413996617,43.310597381975526,-71.76536640547754,-67.91155627309841,-12945.79842743501,-52.39901258204347,-3.9005914936300883,-71.77133829043458,-33.25863880444959,-40.312210640382034,-42.644190954305216,-4.203431913155498,-43.290116726204374,-34.890230928961415,-91.41332569740612,-40.11162346811204,4.643599043545919,-4.047484844604469,-41.81010144824194,-35.17564702655224,-52.86143107513904,-65.64534440711364,-60.0489552103032,-71.368190721046,-69.77789017304758,-69.6968840977388,-71.33389358113959,-60.464280489589065,-68.62091358550549,-67.81609725370126,-69.97945106941607,-8.040417349083668,4.25838570263312,-49.80184611033556,-33.302912360153584,-90.48356298718042,-63.77388794717392,-71.07008022252018,-71.79999008272407,-71.50295153929258,-77.35099938698147,-71.22789268724546,-36.891062687982355,-69.42399918944507,-71.49726391590266,-71.7180491993138,-71.57281036529201,-71.20617984271867,-70.24093043159654,-23.302647877459208,-71.58604601181324,-70.86562958729827,-71.43687881336731,17.31617100764538,-60.82548013222985,-38.37460626852152,-81.31530175007586,-64.05053438991625,-71.64715722396826,-187.48154660333387,-521.4031932740327,-537.7457333137941,20.792422415261626,-67.32464757974594,-1572.8522782092718,-62.940570513441955,-66.59131719647843,-341.6818364009222,-63.9516089984929,-63.45560895459691,-62.29015297171423,-61.3330755800573,12.223255737910904,-3.475052129362325,-29.62572654038904,-118.3610909884512,-60.58783446860744,-28.111550955903894,-92462.63930489196,-0.04476147066009162,24.581044037984157,-92516.08223200889,-105336.45744645936,-153.67203052368484,-6.4105664006283405,-58.999703589139685,-14.11752997895664,4.658078978052686,-64.828234007603,-66.27922269681247,-90.35544961708476,329735.8030397296,-1912580.7239195108,-59.08946719957642,-68.66441729114104,-10.794836831514488,2.707822685779263,-139.30613882426368,-65.46912529769193,-173.07014021909097,-71.31047943973007,-75.84639529710961,-18.57078922340807,-71.79517299455641,-71.8111433708819,-71.80489354010913,-64.74451916869032,-71.7467712539935,-6.707757996812518,-31.446117986252503,-71.8271472291629,-71.8117152863023,21.69851627344542,-6.207512169990224,20.860363484545815,1.4136648038722797,0.6334816188749528,-70.23491397054693,-19.392287506967293,-71.53428597129115,-52.48921466788094,-71.79696823786222,-71.71406754169273,-71.77405686023211,-238990.13705971627,-21.751719685945773,-1068.834206804199,-111.22710767850816,-27.32429150555663,-41.544028882929034,-55.39274395800072,-12.192336978817195,-3335.596512438309,-70.14407090107508,-1.3907762902006198,1520.7065732285846,-82.43051207744944,-3.4328662990434964,-19.773232905812563,-14.653093050361463,-238990.13705971627,-153091.10128016083,-245087.8826875204,-4222.5245513152695,8994.72247324988,-43.73425543842495,-712.5162309447769,-21.751719685945773,-70.14407090107508,1520.7065732285846,-82.43051207744944,-143.8845393737529,-71.46887925487411
min,-203.0,-0.3398567714246101,0.0,5.1638626427364915,-203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696000000000026,0.0,141.55360000000005,121.67880000000002,0.0,0.0,0.0,0.0,7.833599999999997,9.0716,4.815600000000003,81.94479999999999,0.0,0.0,32.75,0.0,63.455600000000004,0.03719999999999857,38.39960000000001,0.0,0.0,0.0,-6.572678597261248,139.6972,5.420400000000001,0.0,1.5812000000000004,0.0,48.1788,31.288399999999996,-13.55194867750664,1.57,0.0,0.0,0.0,0.11240000000000011,0.02479999999999999,0.0,0.3019999999999996,0.0,0.0,28.510399999999997,0.0,45.244800000000055,155.9684,0.0,0.0,0.0,-81.0684,0.0,0.0,93.0,0.0,3.039200000000001,0.0,3.925600000000001,0.03480000000000061,6.4556000000000004,5.2288,0.6528000000000009,49.4208,13.488,10.346400000000001,13.499199999999998,3.8267999999999986,0.0011999999999999997,0.0,0.0,0.0,0.0,0.0,2.1427999999999994,4.775200000000002,0.0,0.0,0.0,9.620000000000005,0.0,0.0,52.70320000000001,28.98400000000001,2.7240000000000038,0.21960000000000013,0.0,0.04800000000000004,0.0,49.08480000000001,691.5244,12.786000000000005,60.9576,16.228800000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82148.6716,0.0,0.0,1.0104000000000042,0.0,21.9,0.0,0.0,0.0,36.2104,0.0,0.0,120.67200000000001,0.0,0.0,0.0,82148.6716,0.0,-129.0328,35762.3312,0.0,0.0,1.6920000000000002,0.0,36.2104,0.0,120.67200000000001,0.0,0.0
25%,-5097.5,-50.75,-0.045040415671470546,1.4134637574161637,352.25,1.0818749999999997,-1.049375,0.0,0.0,-1.5537499999999997,-1.4825000000000008,-2.2031250000000004,4.654504838709679,1.02875,0.24625,0.0,-25.024280481691363,-12.306333340598666,0.5506249999999999,0.49187499999999984,-0.799375,-4.723750000000001,3.2497872820401046,14.137495684394075,1.2335122711421098,1.2506820074106364,4.789980819529207,2.765248899302528,8.603635058849171,1.3968510244115087,6.4636180579773335,4.449999999999999,36.661170270270276,12.45404774606095,-0.20624999999999716,9.763613034001748,0.18473778334786406,-0.06875000000000009,0.03751151918047074,-0.060000000000000005,10.747499999999999,4.888285549258937,-2.4468750000000057,-2.5009743997896994,0.0,0.0,0.016874999999999973,-0.5018750000000001,-0.4298172312927582,2.40625,0.11749999999999994,-0.32589410169881816,-0.19932366654207012,-166.43312500000002,0.0,14.91167964254577,-11.664626708312738,0.0,0.0,0.0,1183.6245999999999,110.77231391673928,13.476875000000007,233.5400000000002,16.816249999999997,1.188525229600053,-1.2742489694953605,-4.050624999999997,-0.08311359038490806,3.3882642340072593,-1.2784613521097974,3.2421636478901945,-137.22437499999998,-6.02687499999999,13.324074550211463,-23.50125,-6.092956426378791,-1.2318749999999987,-20.878749999999997,-2.8425,-86.95500000000001,-149.76874999999995,11.6175,-10.659374999999997,17.980625000000003,15.297677748134081,10.807500000000001,-1.5525000000000002,-3.1106249999999998,0.3506448052335571,17.655,0.5293749999999999,2.129375,-2.1222461207132497,-1.0981249999999996,-11.338124999999998,-10.069999999999993,-45.55139645005552,-0.6468749999999996,-0.694375,0.8150714908456849,4.36337668918919,0.07749999999999996,0.08798610701138421,0.12170792021188637,0.3516113978064146,1.1768750000000008,0.00942324260022609,-0.6524999999999999,-0.5233165293993949,0.25663331916270926,0.23561496211126842,2.716875,-18.387499999999996,3.495625000000002,4.638124999999999,0.65625,1.1180231528398563,-19.283091323168662,0.20562499999999995,0.22812500000000036,0.06428099959192274,0.0075,0.010000000000000002,4549.03375,41.12321272885788,-10.439999999999998,-3.477560483870967,33.16597371403658,1.615115980967964,-5.872500000000002,-2.1075,48.716875000000016,3.9874778443766363,16.876875,-476.12396042211367,6.517503040540543,-7.759375000000006,4.945521109415865,-0.13205128596338156,4549.03375,471.5755991935516,1319.6037500000002,133.08937500000002,0.0,0.0,81.87062500000025,41.12321272885788,3.9874778443766363,-476.12396042211367,6.517503040540543,-51.375,-1.0
50%,-7758.87844444676,-1.25,0.3869514675966288,1.2343795408311564,-3999.138933786875,3.02375802818948,11.843599535018896,0.0,0.002133405986632475,5.906075544899741,5.445835200523103,1.1581545916884721,5.643425,6.493622442603897,6.6040621040395155,11.91659319965127,0.57,7.290000000000001,4.091321912234816,-0.1036396469049734,5.88273532403371,-7.9093816733794196,0.5175000000000001,2.75125,1.36625,1.3425000000000002,2.2075,4.72875,6.029999999999999,1.321250000000001,2.9650000000000003,23.95993730020342,52.70510806451614,8.209886384771877,-5.8098979729729905,1.1524999999999999,-0.20000000000000007,-0.7472287059939284,-0.09625,-0.4234033565823888,-0.4078871180637904,2.3275,-11.533245270270285,-5.59177640947399,-0.42066741499564064,0.035000900900900855,-0.2586652242058052,0.045634974577550835,-0.5440489029351951,-5.213885352000673,-0.12786673514908653,-0.30433015212206804,0.3898072072072072,47.30162583551294,3.1658674803836098,19.92625,-7.371884101040834,5.517925828247604,0.11262830317155337,-5.740379715199074,3647.65824784946,-57.25,-42.27105843504796,251.82538937082154,-100.22747778262124,-0.6279669936065204,-2.849089281257573,-72.30791873625684,1.6432951104330158,0.45720522377217065,-6.3488026373147335,6.3488026373147335,59.599277840744094,-17.715282592916424,3.633969594594589,-84.12242016320735,-55.163519961897336,-3.637248067422263,-30.36624999999998,-9.080707628596329,-60.64625000000001,518.8275,-30.193749999999994,-24.006021360722627,-0.9418643738413266,14.649231916594019,9.493309234234225,10.875818918918924,-7.0518685475470875,0.1381851278698072,-12.719219834350454,-102.78999999999999,-118.82124999999999,-5.1036757628596305,3.9615822137140277,-14.143181761346312,-28.50366388404531,-72.0576952716435,1.7235289668700968,5.497699622202848,0.08125000000000027,-0.7675166666666673,0.8976942240627741,0.12954063498982837,0.18162030659691963,0.4204736731324883,8.893145955082439,0.08375170008718458,-1.980272893054348,-8.310224205406818,0.293462503632665,0.3705581662307469,-97.205,-22.273509636079687,-94.88749999999999,16.697488513513505,24.389083108108082,0.2487727658094787,-23.57878034001743,-0.03097364387513757,2.6847988084859065,0.15250406858471355,-0.06030721447253709,0.011613324614937501,8177.34375,4.0,112.3961712670893,17.260988513513503,24.496250000000003,1.3194795698924722,-60.08064062045918,8.08661038942168,-32.59126006974702,-2.8255150187287796,-25.342017625690218,-41.235000000000014,-5.478405359957797,2.2967932505085855,18.825000000000003,10.98875,8177.34375,-391.9375,3033.44125,2250.9400000000005,55.48375000000004,-46.205,5636.768750000001,4.0,-2.8255150187287796,-41.235000000000014,-5.478405359957797,-33.0,-1.0
75%,-5575.705344213384,-1.14527027027043,0.0,-5.0,333.89750435919996,-7.341980046689585,-55.168846061544656,0.0,-48.509141717333094,-21.69364937339818,-26.486084809415956,-49.21669740322069,-28.998438944249287,-29.231147552589604,-69.74094553561638,-35.360932034174425,-129.8880086981383,-90.26995492974714,-21.16529795499992,-56.52478563509648,-19.28002607167973,-14.029775,-4.9295089479459335,-6.089659227267774,-0.6121493945834615,-0.6412737069809076,-1.999076825001536,-0.06311530666606657,-2.9410637466560736,-0.5066674224180225,-1.7221310331345627,2.581335549201839,-31.854098477370172,-7.647275000000008,-33.276340322580694,-16.61677431748415,-0.5647085468857824,-3.611775535028112,-0.2725972033984121,-1.4663415199352214,-22.812021014927176,-2.0693521190624224,-58.16317338709682,-7.330250000000003,-0.3115210725217743,-0.37215380137713533,-0.25312499999999893,-1.3049999999999997,-0.028125000000002842,-54.711875000000006,-0.16365000000000052,-3.0037500000000126,0.24682499999999408,419.5327128668325,3.6507867880421543,-14.017083468851709,-11.172999999999988,2.782924555598477,-0.6682552031993687,-112.39418850738119,794.4900280796428,401.4172933934392,580.4991070545864,-786.9837692817619,313.1343502334107,-6.016400000000004,-4.590000000000003,-163.53144411464814,2.688749999999999,-2.2523000000000053,-4.0031999999999925,-0.6265750000000025,411.8196875957958,-32.73762096774192,-50.1647661290323,-90.17830645161291,-75.31147177419358,-60.903941345981956,-13998.40482500323,-65.24287792469912,-206.73167340378484,-13033.757887504411,-14469.569789923891,-36.73956402891437,-44.04183467741933,-0.3139499999999913,-56.381501045937455,-142.30073940299513,-7.309745108481067,-1.7685749999999985,-62.80403161010928,-13210749.905461505,-31007087.109879196,-5.765625,3.4115231286032603,-75.20749999999998,-70.20098203554647,-86.61437580645165,-8.352625509044742,-115.02220913780604,-1.0811395833774817,-8.93077465929328,-54.81084985155561,0.09562500000000007,0.22875000000000023,0.5943749999999994,6.864375000000003,-0.03187500000000032,-69.61007159526018,-45.775100000000116,0.32812500000000044,0.23812500000000014,-208.57386080201013,-64.29071872555156,-181.5832192789801,-68.17944640348594,-87.87162967066178,1.0725000000000016,-93.40812500000001,-0.020700000000000607,-10.108411674493233,0.12749999999999995,-0.3255003381989884,0.00890375782664049,-62745.246966043225,-80.46374890803926,-13.074190463169316,-69.51561972135835,-165.73737799405134,-34.94102500000004,-29.457529563442108,-40.93015989962534,-468.9142074841802,0.620625000000004,-156.53837276161192,1411.4193750000013,-13.096393195086364,-49.87073082228767,-0.08679832124204268,-18.918975402128368,-62745.246966043225,-24592.65489140689,-32515.473726782948,4994.745090931308,9007.087699490661,1196.3707729267635,3976.684236037472,-80.46374890803926,0.620625000000004,1411.4193750000013,-13.096393195086364,-64.2781414879363,-1.0
max,624470.0,-2.0,-203.0,-203.0,-41593.0,-161.22079999999997,0.0,-203.0,-20.917599999997947,-82.02399999999997,-103.14279999999997,0.0,-100.77639999999988,-35.101599999999905,-148.85800000000108,0.0,108.4519136801157,0.0,-89.65599999999955,-42.23200000000082,-136.64,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,0.0,61.90400000000034,-177.59,-82.0,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,-63.050800000000265,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,0.0,-203.0,-203.0,-203.0,0.0,-196.0,-159.47981355088552,-155.008,-203.0,-203.0,-521.3048000000007,0.0,-2798.0000000000036,0.0,0.0,-5060.1012,-203.0,-203.0,-1016.5724000000001,-203.0,-203.0,-203.0,-203.0,0.0,-7.022400000000289,-24.43479999999994,-369.48,-185.09160000000008,-1.2180000000000746,-265247.6876000004,0.0,0.0,-265080.80360000045,-301941.2496000002,-451.9872000000005,-6.063600000000179,-196.29000000000002,0.0,0.0,-203.0,-203.0,-255.7276000000004,0.0,0.0,-203.0,-203.0,0.0,0.0,-438.1852,-198.99439999999996,0.0,-203.0,-203.0,0.0,-203.0,-203.0,-203.0,-203.0,-203.0,0.0,-29.25959999999958,-203.0,-203.0,0.0,0.0,0.0,0.0,0.0,-203.0,0.0,-203.0,-145.82399999999998,-203.0,-203.0,-203.0,-664261.7200000004,-84.43960000000106,-3056.9568000000017,-377.83160000000214,-102.24480000000284,-83.2383999999999,-180.15000000000123,0.0,-9608.285200000017,-203.0,0.0,17970.98602031113,-203.0,0.0,-178.00908924557365,-92.38726567345739,-664261.7200000004,-583625.0408000007,-703146.9600000002,0.0,26269.960000000006,0.0,0.0,-84.43960000000106,-203.0,17970.98602031113,-203.0,-438.7200000000157,-203.0
