Statistics,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,총자본증가율(IFRS),유형자산증가율(IFRS),비유동생물자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),정상영업이익증가율(IFRS),순이익증가율(IFRS),총포괄이익증가율(IFRS),종업원1인당 부가가치증가율(IFRS),종업원수증가율(IFRS),종업원1인당 매출액증가율(IFRS),종업원1인당 인건비증가율(IFRS),매출액총이익률(IFRS),매출액정상영업이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본정상영업이익률(IFRS),총자본순이익률(IFRS),자기자본정상영업이익률(IFRS),자기자본순이익률(IFRS),경영자본정상영업이익률(IFRS),경영자본순이익률(IFRS),자본금정상영업이익률(IFRS),자본금순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),기타손익비률(IFRS),금융손익비율(IFRS),금융비용부담률(IFRS),외환이익 대 매출액비율(IFRS),광고선전비 대 매출액비율(IFRS),세금과공과 대 세금과공과 차감전순이익률(IFRS),기업순이익률(IFRS),수지비율(관계기업투자손익 제외)(IFRS),인건비 대 총비용비율(IFRS),R & D 투자효율(IFRS),세금과공과 대 총비용비율(IFRS),금융비용 대 총비용비율(IFRS),감가상각비 대 총비용비율(IFRS),감가상각률(IFRS),누적감가상각률(IFRS),이자부담률(IFRS),지급이자율(IFRS),차입금평균이자율(IFRS),유보율(IFRS),사내유보율(IFRS),사내유보 대 자기자본비율(IFRS),적립금비율(재정비율)(IFRS),평균배당률(IFRS),자기자본배당률(IFRS),배당성향(IFRS),1주당매출액(IFRS)(원),1주당순이익(IFRS)(원),1주당 CASH FLOW(IFRS)(원),1주당순자산(IFRS)(원),1주당정상영업이익(IFRS)(원),유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),비유동장기적합률(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매출채권비율(IFRS),재고자산 대 순운전자본비율(IFRS),매출채권 대 매입채무비율(IFRS),"매출채권 대 상,제품비율(IFRS)",매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),비유동부채비율(IFRS),비유동부채 대 순운전자본비율(IFRS),순운전자본비율(IFRS),차입금의존도(IFRS),차입금비율(IFRS),이자보상배율(이자비용)(IFRS),이자보상배율(순금융비용)(IFRS),유보액대비율(IFRS),유보액 대 납입자본배율(IFRS),유동자산집중도(IFRS),비유동자산집중도(IFRS),투자집중도(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS),정상영업이익대비이자보상배율(IFRS),총자본회전률(IFRS),경영자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),재고자산회전기간(IFRS),"상품,제품회전률(IFRS)","원,부재료회전률(IFRS)",재공품회전률(IFRS),매출채권회전률(IFRS),매출채권회전기간(IFRS),비유동자산회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS),운전자본회전률(IFRS),1회전기간(IFRS),부가가치(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원),종업원1인당 매출액(IFRS)(백만원),종업원1인당 정상영업이익(IFRS)(백만원),종업원1인당 순이익(IFRS)(백만원),종업원1인당 인건비(IFRS)(백만원),노동장비율(IFRS),기계장비율(IFRS),자본집약도(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),부가가치(IFRS)(백만원).1,법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원).1,총자본투자효율(IFRS).1,기계투자효율(IFRS).1,부가가치율(IFRS).1,종업원수(IFRS),label
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,75100.9462978627,-26.254193808139917,-25.28576886904609,-26.714190405742073,-6043.01014938685,76.58504457365964,955.7315313102275,-25.375,-220.07842359972807,21.192799682317727,106.5611237954162,-1984.2084429948347,-33.80685277222139,-23.578303394203957,-15193.20773480802,632.1042945090616,860.8017939791919,-1385.0811910362963,-84.38295999001011,-149.42953813625525,-133.19802756552153,-30.364824656533088,-20.0526937855954,16.754839943765226,-24.94506215306096,-25.005380125571826,-18.954190041819356,-20.283829268063613,27.328957744280643,-23.4941376840996,4.923141938703709,-153.70660528943404,-491.4568966511969,-26.334773474472385,-33.002045899806376,15.738622961866277,4.48263401253044,-24.526610315155757,-25.48936542895565,-26.589419765258512,-101.98593082083245,-19.279565851427744,-44.997644411331564,-29.014311485084054,-24.752516233022586,-26.454653724673694,-25.077253309572615,-25.049494414782526,-21.44752556227416,6.617312147454825,-24.205786939953523,-50.35299533200473,-26.83364107479171,2014.9158672143794,-23.68340199856374,116.66628610212854,172.94522544187765,-26.448883990555608,-25.805956607273682,-265.3975688438572,-681.4851623009745,4415.042519714491,443.7617368547785,-12821.311814473962,-403.01687043260995,-26.792192600833012,-26.404527167570627,-1392.6704230635019,-24.866865429328215,-24.59450552599158,-27.278497454989463,-36.85516433009646,2026.3781777916224,-146.2059858603228,-24.05177649454174,-135.5706083259192,-121.49635684208371,-36.07076767484007,-109723.89796444772,-192.88610812694128,-1625.2296531064944,-249427.5713660793,-100687.10829525838,-271.4956205329976,-216.30705708875524,-17.8459273649337,-130.33830602178222,-66.22459250244776,-12.532635057819586,-33.992778435845814,-179.79430725159176,-4378210.185745984,-7148174.556327045,-3.371222647907821,-4.684892835589288,-93.25171764173535,-155.58638691479007,-208.9043401892019,7.961019074461518,570.3115307522118,-16.814579027430995,-5.84408396306215,-292.89298565284736,-25.232594556007843,-25.22856424320096,-25.392902893672996,-20.132884113187494,-25.214752945595052,-113.55799178431258,15.789722701476649,-25.24491278295156,-25.180724249865815,-100653.7913995909,-74.25604105194812,-12686.95089252642,-724.7380648749015,174112.5280304548,-27.18033720687371,41.73754555966639,-25.749552135891896,-568.7801521379193,-25.23920122867804,-38.10976883344681,-26.657368283962526,-11208.973712463805,-567.2042093794802,-4667.040010780071,-658.4172456662991,-646.8238234898649,-178.0100763826528,-136.03335981849625,-19.825680911996926,-7762.878024987988,-12.061237135386513,-9800.649124680967,293511081.2025416,15.600610712384189,-3032.9442505309817,2722.8726665108297,4777.252596066308,-11208.973712463805,119018.84818041492,-155098.66717424037,-21428.896337931998,74936.76537846404,4378.444843554122,-13868.401472972677,-567.2042093794802,-12.061237135386513,293511081.2025416,15.600610712384189,-638.768510812957,-26.125
std,218340.14413996617,43.310597381975526,-71.76536640547754,-67.91155627309841,-12945.79842743501,206.4897394672622,2430.970929822542,-71.77133829043458,-505.67277576657744,64.36134954562539,312.74887547447213,-5205.418869506646,-53.80618632507969,-22.0336914310854,-40665.98940780721,-1530.637134044312,-2541.805159211639,-18165.841193837794,-179.32684380738436,-315.06577357087133,-345.43643361411705,-70.40710904285677,-69.4203063728653,-126.78607402720114,-69.75435845049799,-69.74872800193978,-74.79234301704341,-69.85808597444202,-182.91901364458658,-70.12972864118892,-115.84979682348387,479.59335004415686,1892.1969454157752,-51.672440068878146,-42.235743942790386,-104.36387314073609,-67.71993347744944,-73.32060917145543,-71.8147110300826,-71.31970287621391,-290.2311476290209,-74.63635098712572,-74.05128125399557,-70.50730928727512,-70.49126879281496,-71.38070611502953,-72.12144061033221,-71.01187705725515,-65.01021938086274,61.0400589157241,-72.6140845579757,-86.18548665462919,-71.12025638772475,4939.973523803342,-60.82548013222985,-427.14967957283073,-394.75785308590247,-65.39242311320282,-71.59597435598198,-593.2754484564636,-3855.6987766870516,-15262.901111518102,1283.404694968658,-34121.42752439414,-2197.2197415073006,-63.45158011021252,-65.3755071824956,-3572.8561976130604,-64.33606876128258,-64.03383790472895,-62.78410643098139,-70.9062724678506,4988.277195264369,-347.46743263007863,-36.56337892939317,-227.08984402131958,-213.71859425949827,-42.66407115885055,-276718.37699972786,-435.0031509590708,-4122.557784605262,-652213.9100956029,-254331.554489209,-679.3160232462835,-549.1974746041725,-59.00483397579326,-289.9226824417235,-108.54028940732678,-92.54435357697704,-69.72089134986817,-415.38379858385565,328663.02236253023,-1912751.3441768885,-103.85813130967941,-30.76993234639133,-160.46571586615937,-321.38029526141327,-418.30703509440946,-86.00374939878319,-2532.623981708682,-76.07147339122261,-89.04798131744369,-1589.4691138801188,-71.8209310239728,-71.82228001107788,-71.70704546845116,-61.07496018544573,-71.75453725172292,-230.73888849317132,93.09002298513639,-71.80664453616436,-71.80406655085811,-267249.03064132755,-97.54470491894276,-32651.048168460267,-1953.772550572153,416135.7371539185,-67.73363558733396,202.16038811335278,-71.43018484840773,-1421.3353762566053,-71.81908856377842,-72.2440990928391,-71.31090154283997,-480225.70623669645,-1674.2209909140481,-12569.216743563706,-1885.580403706959,-1470.3035918678017,-431.1860174529185,-290.5175233640654,-12.812942898865316,-19942.520867395484,-88.33421319436272,-26162.601220174278,-885714210.2961541,-93.00309730583359,-8060.362309181553,-8185.7066120009695,-14349.478821687208,-480225.70623669645,-863752.4663836733,-399707.0628755135,-79516.0666133042,175834.38443359555,9379.728577284346,-44492.060704948526,-1674.2209909140481,-88.33421319436272,-885714210.2961541,-93.00309730583359,-1552.9605901394202,-71.46887925487411
min,-203.0,-0.3398567714246101,0.0,5.1638626427364915,-203.0,-20.809999999999995,3.5,0.0,8.740000000000009,19.53,-7.700000000000003,7.700000000000003,16.659999999999997,-12.810000000000002,1402.43,5174.37,7193.419999999999,29803.820000000003,22.77000000000001,4.040000000000006,142.02,36.06,52.56,290.69,6.600000000000001,6.409999999999997,54.47999999999999,55.239999999999995,448.23,19.840000000000003,232.91000000000003,-1472.1999999999998,-5201.8,0.0,-9.218958741607175,257.26,130.78,30.520000000000003,6.67,-0.08,205.41,53.2,35.99327435206086,15.31,0.0,0.0,13.67,0.13,0.35,0.0,18.22,0.0,0.0,56.99999999999999,0.0,1163.59,1341.1599999999999,0.0,0.0,0.0,38.76,42106.0,-1216.4299999999994,370.58,2861.3500000000004,6.670000000000001,0.0,8.27,3.630000000000001,10.93,9.16,3.1800000000000006,58.82,19.83,16.55,31.759999999999998,15.490000000000002,0.06,0.0,0.0,0.0,0.0,0.0,12.01,11.21,0.0,0.0,0.0,152.71,0.0,0.0,17366.25,2111.63,205.32,0.5700000000000001,1.8200000000000003,1.1400000000000006,21.739999999999995,213.67000000000002,6971.66,58.25,144.20999999999998,1972.23,0.010000000000000002,-0.010000000000000009,0.0,0.05000000000000002,0.020000000000000004,0.0,0.0,0.03,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,-0.43,1.2299999999999995,0.039999999999999994,0.05000000000000002,0.0,0.0,0.0,1087806.26,889.3400000000001,60.39,636.8199999999999,352.6600000000003,67.42,0.0,0.0,0.0,124.78,2036.3600000000006,2482019504.89,231.05,0.0,22967.36,40263.83,1087806.26,2086142.44,23956.64,49174.03,194.64,0.0,37.85,889.3400000000001,124.78,2482019504.89,231.05,0.0,0.0
25%,-5097.5,-50.75,-0.045040415671470546,1.4134637574161637,352.25,1.0818749999999997,-1.049375,0.0,0.0,-1.5537499999999997,-1.4825000000000008,-2.2031250000000004,4.97125,1.02875,0.24625,3.3079560810810804,-20.41814261842488,-32.157337529061294,0.5506249999999999,0.49187499999999984,-0.799375,-4.723750000000001,3.6243063426329556,16.139011551874457,1.229972755013078,1.246640148212729,4.966103421970358,2.918877506538797,10.077048005666956,1.4626501198779422,7.225187717959897,4.449999999999999,37.094636824324326,12.366526412723339,1.7937499999999886,11.050270270270271,1.8276089799476902,-0.06875000000000009,0.01772368134263297,-0.060000000000000005,10.747499999999999,5.052132465126418,-0.9326640075978219,-2.7920132457910523,0.0,0.0,0.016874999999999973,-0.5018750000000001,1.8281166884570776,2.40625,0.11749999999999994,-0.32589410169881816,-0.6138542298282439,-166.43312500000002,0.0,19.91694175021796,1.6946681560592793,0.0,0.0,0.0,1170.7825,225.0654307432432,13.476875000000007,233.5400000000002,16.816249999999997,1.1599060654075046,-1.2746735364714326,-4.050624999999997,-0.10101253549455791,3.359578565860481,-1.3082489967269524,2.704481169798335,-137.22437499999998,-6.02687499999999,13.238573118879316,-23.50125,-6.092956426378791,-1.2318749999999987,-20.878749999999997,-2.8425,-86.95500000000001,-149.76874999999995,11.6175,-10.659374999999997,17.980625000000003,15.296085719124903,10.807500000000001,-1.5525000000000002,-3.1106249999999998,-0.4051173897503233,17.655,0.5293749999999999,2.129375,-5.21385924326605,-1.0981249999999996,-11.338124999999998,-10.069999999999993,-45.485849729633316,0.105532094594595,5.338893581081083,1.1944594594594597,4.68441722972973,0.07749999999999996,0.0939539423289919,0.12858869247049137,0.3516113978064146,1.1768750000000008,0.08931771221871165,-0.6524999999999999,2.608750000000004,0.2474333036556,0.26496002608848146,2.716875,-18.387499999999996,3.495625000000002,4.638124999999999,0.65625,1.341875,-11.83928560437382,0.20562499999999995,0.22812500000000036,0.07001860483513883,0.0075,0.010000000000000002,4549.03375,23.992010952484755,-10.439999999999998,-3.477560483870967,12.607801874455092,-6.707802632849564,-5.872500000000002,-2.1075,48.716875000000016,4.574593504795116,16.25122983870967,2190373.982372857,7.319771959459461,-7.759375000000006,9.984581971083992,23.72283574905552,4549.03375,-964.397520161287,1319.6037500000002,133.08937500000002,0.0,0.0,81.87062500000025,23.992010952484755,4.574593504795116,2190373.982372857,7.319771959459461,-51.375,-1.0
50%,-7758.87844444676,-1.25,0.3869514675966288,1.2343795408311564,-3999.138933786875,7.014869768962512,38.429290540540535,0.0,-4.326629068584712,7.734964218250514,12.015300239755883,-23.217760280441738,5.722389566986343,7.568744551002613,-137.91698924731182,19.36510752688172,0.57,7.290000000000001,4.172059539378087,-4.0987133100842765,4.051380594303982,-8.245548626132367,0.5175000000000001,2.75125,1.36625,1.3425000000000002,2.2075,4.72875,6.029999999999999,1.321250000000001,2.9650000000000003,16.838932541412376,29.378723118279574,8.141603276663758,-6.03773648648648,1.6694354838709677,-0.20000000000000007,-0.719457829716843,-0.09625,-0.44046116681197334,-2.349070901847572,2.3275,-12.017195945945957,-5.6103676256902055,-0.28252288578901497,0.007488738738738759,-0.35348067668583605,0.12588260755140102,0.2374143739891963,3.587998589819321,-0.3626191700550172,-1.1429435483870982,0.33372747747747766,126.9061551874455,3.1658674803836098,19.92625,-16.498054042294356,5.458361123219996,0.10713911398236409,-9.587154715199071,3735.0406048387085,-57.25,-11.798673714036738,218.93122311827938,-114.76049731182786,-0.628582534147057,-2.5924929793015465,-91.5362004930136,1.6545633536762523,0.45782076431270724,-6.334991826503924,6.076630340017431,139.36094976024435,-29.021017972177987,3.555962837837825,-89.79939566926816,-60.58351351351352,-3.885259553908746,-30.36624999999998,-13.132215017436792,-60.64625000000001,518.8275,-30.193749999999994,-28.73029906342532,-12.734807166754251,14.648443403080506,7.439280913978486,9.097922297297316,-7.742881248183664,-0.009370277535602156,-15.604759699215336,-102.78999999999999,-118.82124999999999,-4.804401096120596,4.681904861134816,-19.47340522778957,-30.251934394071483,-87.29840717361105,2.1359139784946244,14.101895161290319,0.12173387096774224,-0.6067876344086027,-5.515601024411508,0.13296389131066544,0.18606564225515843,0.3827308267704037,9.653463547249999,0.09602640947399066,-2.376963818657373,-2.64812645306597,0.29171334641092694,0.3775463164777686,-97.205,-23.530906349898288,-94.88749999999999,-0.9410472972972741,13.54300675675674,0.7979175192221746,-9.974648358035466,-0.11945854356758456,-7.158787053182218,0.15565787561755284,-0.23228694420226684,-0.008433413251961654,8177.34375,4.0,112.43598909175506,5.607010135135141,24.496250000000003,-11.92445637169429,-63.35535345829703,8.21850515838419,-49.17588709677398,-3.528764135591974,-130.35375,-41.235000000000014,-0.8209543010752682,-37.755050675675676,18.825000000000003,10.98875,8177.34375,-391.9375,3033.44125,2250.9400000000005,55.48375000000004,-46.205,5636.768750000001,4.0,-3.528764135591974,-41.235000000000014,-0.8209543010752682,-33.0,-1.0
75%,-5575.705344213384,-1.14527027027043,0.0,-5.0,333.89750435919996,30.868323325768742,134.30937794056746,0.0,-122.72309799549164,-18.559398233469395,-3.538333976520036,-343.12488084944937,-52.19345098380785,-30.4691871917277,-1908.5615280461245,-193.03942082639884,-147.51551139015265,-780.4146898138042,-53.54022424912765,-103.89228385240519,-81.94961128458525,-21.059374999999996,-8.91421905620538,-8.17006088430967,-2.4209706733788092,-2.5589209016436794,-7.421243672886497,-8.052478114920454,-25.5658015399831,-3.104351224475563,-8.681336085737655,24.199491515799224,76.73246449400563,-14.394374999999997,-45.24520161290323,-10.960726265419623,12.267654554694374,-6.841725146359243,-2.212041255076514,-2.705826841333044,-86.00697857222349,-7.764527573692876,-58.25828629032259,-10.101249999999997,2.0986869305480127,-2.4591554561502487,-2.903923842406896,0.0873345999777495,6.841874999999998,-54.711875000000006,-2.0407928846386154,-52.94766256774899,-2.6418750000000006,661.4297438729479,3.6507867880421543,-52.54633559920467,-35.29373444135177,-3.3608456281636236,-0.9914483146156545,-163.4646809903444,735.5205216273425,-50.10343748543232,676.1821855665746,-1904.5929541181094,331.921507790694,-7.135000000000005,-2.5775000000000006,-265.7993251815722,2.4037500000000023,-3.160000000000011,-4.634999999999991,-26.484375,657.092885402553,-49.17126320367018,-56.149072580645154,-90.17830645161291,-81.03741435585319,-62.81609171817731,-26581.615953234315,-133.31935905391524,-346.71661495318085,-40405.206618201875,-24070.58803595412,-88.69014960284773,-76.32200678240008,-0.35875000000000057,-83.05625750166105,-154.53819991698515,-10.989613474642006,-18.739374999999995,-94.9312039607277,-13210669.405017823,-31007082.26862532,-6.258125,19.172160694762063,-65.44360766957588,-88.63791989763311,-86.66883064516128,-12.844538615567416,-251.48960060324873,0.9842155695029593,-5.012489556489733,-230.53105985323572,0.23562499999999997,0.29125000000000023,0.001875000000000071,6.511874999999996,0.21312500000000023,-80.66237192525185,-28.693224111541156,0.21812500000000012,0.22062500000000007,-12165.265700591277,-68.04238678684123,-2417.581220355082,-123.70198378932605,62672.97768925173,-4.492024520075546,-80.02032283352493,-0.7599999999999998,-233.972107247743,0.24999999999999978,-28.09268258437747,-2.841559583897214,-64739.188411559444,-156.6340890764556,-473.57848453816007,-227.52605766485553,-207.67087260454815,-70.19786583982666,-52.274042907844034,-41.12420085519547,-1412.6203023735359,-6.48887011372625,-1196.7243462451104,-36326.028125,-9.649676233541413,-381.4007405090714,-52.235000000000014,-61.879999999999995,-64739.188411559444,-37673.64899281005,-41789.94888858532,-1209.744290038645,31478.3114776488,2732.2204245392245,1450.0837212661645,-156.6340890764556,-6.48887011372625,-36326.028125,-9.649676233541413,-173.16452816471087,-1.0
max,624470.0,-2.0,-203.0,-203.0,-41593.0,626.64,6954.3099999999995,-203.0,-1461.7499999999998,278.83000000000004,933.8400000000001,-14859.619999999999,-100.20999999999998,-15.509999999999991,-115691.20999999999,196.65999999999985,-73.01103213215458,-38108.939999999995,-499.7600000000001,-915.77,-967.36,-203.0,-203.0,-200.01999999999998,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,170.0100000000001,770.4000000000001,-177.59,-82.0,-146.19,-146.33,-203.0,-203.0,-203.0,-775.66,-203.0,-171.14999999999998,-203.0,-203.0,-203.0,-203.0,-203.0,-203.0,244.58000000000004,-203.0,-203.0,-203.0,14191.96,-196.0,-159.45173256121862,176.68,-203.0,-203.0,-1723.46,-9580.190000000002,-5872.0,3284.0599999999995,-97535.20999999999,-5963.54,-203.0,-203.0,-10228.82,-203.0,-203.0,-203.0,-203.0,14326.71,-1002.23,-34.31,-681.54,-634.9699999999999,-60.00999999999999,-791471.1699999999,-1262.9500000000003,-11824.729999999998,-1860247.28,-727359.68,-1959.54,-1573.48,-196.29000000000002,-830.0799999999999,-326.3299999999999,-203.0,-203.0,-1200.05,0.0,0.0,-203.0,-93.1,-476.19999999999993,-942.0899999999999,-1241.56,-125.19,-1844.7799999999997,-203.0,-203.0,-3835.6199999999994,-203.0,-203.0,-203.0,-190.01999999999998,-203.0,-667.8700000000001,303.23,-203.0,-203.0,-761159.6,-286.37,-93270.60999999999,-5574.360000000001,1193227.94,-203.0,602.5899999999999,-203.0,-4089.03,-203.0,-203.0,-203.0,-983396.4999999998,-5113.44,-35802.07,-5405.099999999999,-5186.3,-1228.87,-862.96,-5.490000000000009,-57001.2,-203.0,-76011.36,-142543067.21165812,-119.35,-22967.36,-1056.9869957976955,-1940.3830744657528,-983396.4999999998,-986629.7199999999,-1141942.0,-214623.0,505089.27,27097.0,-125047.38,-5113.44,-203.0,-142543067.21165812,-119.35,-4477.0,-203.0
