Statistics,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),label
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,75100.9462978627,-26.254193808139917,-25.28576886904609,-26.714190405742073,-6043.01014938685,-296599233.34164846,-245389372.79800618,-614579128.3159541,-2792442.9456271245,37114636.693378866,15564447.179907978,-78348454.80107683,-151170342.7943437,-113054582.23042175,-34300884.28115748,-103004493.45502603,-117705603.09986213,-510969364.0847224,-154693080.63227412,-237912451.49996558,5387815.970254563,-20031250.763813987,3944722.8408831703,-13.75,-276047452.55366385,-27064283.689193353,-72691885.87262362,-161401368.4478093,-24706966.346492313,-162985531.26268464,-301491603.339971,104982584.43494749,-248463858.65509602,25819075.304378573,-70664152.5418593,-79961481.46839356,-102100297.25601788,-1475267053.0861256,-1861428925.0544515,-1241193007.217754,-155073319.55081195,-48742412.36814561,-3474560.0799738746,-19595029.740349997,-13849733.956247583,-5573364.81516104,-3594312.2028198317,-233146.8624772618,-6718653.571479845,-40851233.04544544,-1451680.2819137098,-29402091.589936055,-2312811.8907386214,-89029122.11853763,-5054557.963683889,-84127356.68869855,-27347435.49661108,50929709.20892304,-26.125
std,218340.14413996617,43.310597381975526,-71.76536640547754,-67.91155627309841,-12945.79842743501,-740111772.7148091,-618492183.9236116,-1486171520.9509232,-7099380.56205376,63158595.29944301,27093091.82127464,-207163116.2562516,-408456970.93181044,-298787694.5513664,-86489095.61656258,-246473360.00831056,-277367078.9170985,-1308975557.884197,-379713529.1435704,-567220445.3775253,9469740.85652265,-56326428.74148649,8359188.340741455,-38.890872965260115,-660149150.3495436,-90935256.28503639,-185142573.17998087,-438622003.98529154,-54903744.54790673,-439504274.3166063,-772697689.8846737,245529725.1519282,-643140960.0675633,-86647819.24925214,-186952767.18827528,-189161096.18038929,-983961047.6390663,-3660624509.3770256,-4730261068.479422,-3282136591.314808,-399718885.42404914,-117151537.08563082,-8332523.73378214,-52336772.03836483,-36953108.85793801,-13623624.331444867,-9696885.298649047,-807591.0410803049,-16366887.154604856,-98162653.36691558,-3658542.940629787,-70323075.34077278,-13037459.512982093,-313319915.170917,-13070927.196593167,-220495502.5424723,-73635014.52483147,-326605987.4295042,-71.46887925487411
min,-203.0,-0.3398567714246101,0.0,5.1638626427364915,-203.0,-203.0,0.0,-203.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57470.0,0.0,0.0,-203.0,0.0,237335605.0,19389366.0,0.0,1488910879.0,-203.0,0.0,46057142.0,23863728.0,93.0,-215567.0,0.0,0.0,0.0,484311.0,0.0,-5100.0,-515675.0,0.0,0.0,7068669.0,195645398.0,0.0,0.0,0.0,807256560.0,0.0
25%,-5097.5,-50.75,-0.045040415671470546,1.4134637574161637,352.25,806947.9375,-179721.5,4182003.25,0.0,2304800.6875,-21694.4375,-18004.25,43038.4375,22595.25,-152.25,-152.25,-123288.875,2118216.25,1297340.5,622462.0,-13219.8125,-265138.8125,-152.25,0.0,748188.625,363705.4375,-55495.25,30324.25,73818.1875,15762.0625,113111.25,1336602.75,-974568.5,2402672.79944057,23751.875,-152.25,2245683.75,24227696.0625,-152.25,-152.25,1393524.75,600197.5625,40808.5,50906.5,14120.5,-17269.8125,16357.375,45881.875,11208.0625,-2667.5,37052.3125,8013.75,16238.25,-152.25,22838.25,-2414.0,-589.0625,8436.125,-1.0
50%,-7758.87844444676,-1.25,0.3869514675966288,1.2343795408311564,-3999.138933786875,15613107.232526883,9330176.625,10634696.875,-61.5,-771770.5,1040205.5,969426.875,6517426.5,2186738.5,-206219.375,-1387958.875,27249.75,12002994.375,14349696.125,-3261385.375,147634.5,-1096521.0,714996.6469594594,0.0,8023783.75,11885044.5,1153334.875,8411713.25,859376.625,7498014.25,2349573.375,7591269.5,-2726011.25,-555911.5,-20889.5,-66737.5,7600027.793010753,161021206.0,-17591810.581989244,53670803.5,3033441.0,1617269.8911290318,196163.75,546759.625,114569.79704301077,-328586.01747311826,140378.25,122845.31438898575,49470.69623655919,-205093.0,18514.62634408602,-969274.9220430106,357232.375,-454350.25,1041182.75,281038.0,-14460.125,1164364.2795698922,-1.0
75%,-5575.705344213391,-1.14527027027043,0.0,-5.0,333.89750435919996,-91757311.49381705,-67778044.49747634,-238368791.14981747,-610674.1961322982,31664400.27824998,14501812.609143965,-11258360.003617624,-11840303.056411222,-16902456.331357136,-9023658.574538864,-38429429.58471058,-51025137.31409869,-115786072.42509373,-62635522.492734104,-94709689.66647065,5451334.930737259,1627423.8512044773,2130927.1271038153,0.0,-107825239.40480664,9969329.022950098,-18712610.087625884,-11293485.409767851,-15645918.018647756,-15170377.725438327,-67457427.80165447,32950728.453119338,-44414099.67453018,-50.75,-7205207.504017916,-31238535.42805058,-26868268.719351932,-553859968.0556607,-436840672.8483138,-181096738.17615378,-41789949.10647349,-19490498.24773411,-1423193.657096107,-2766037.271585633,-1556422.6877058602,-1620156.182396332,-655555.0270614875,77081.6178509834,-2242047.6532401326,-14418839.7709984,-380337.3128102734,-11001398.874256007,3693785.6793444697,-19272244.639520057,-1676015.8713629204,-13698860.610378072,-2739234.378611585,-18697364.438155092,-1.0
max,624470.0,-2.0,-203.0,-203.0,-41593.0,-2118588000.0,-1770507570.0,-4263377619.0,-20290987.0,184200537.0,79376000.0,-590676242.0,-1163173136.0,-852793179.0,-247587195.0,-708220197.0,-797162366.0,-3740128000.0,-1086125000.0,-1630506000.0,27950558.0,-161289625.0,24322000.0,-110.0,-1891953726.0,-254549000.0,-529530827.0,-1247381000.0,-158018876.0,-1250970574.0,-2210335286.0,706036350.0,-1841973345.0,-38658870.26273368,-552404239.0,-542794000.0,-2194965240.0,-10450984361.0,-13536694208.0,-9354157130.0,-1141942000.0,-336247000.0,-23927000.0,-149286435.0,-105194000.0,-39159000.0,-27612000.0,-2263405.0,-46952000.0,-281740902.0,-10469000.0,-202305000.0,-34905239.0,-842293647.0,-37175850.0,-629076434.0,-209847986.0,-336732296.0,-203.0
