기업명,거래소코드,기업유형,회계년도,이익 과대계상 (비용 과소계상)
(주)케이티앤지,33780,코스피,2017,1
(주)케이티앤지,33780,코스피,2018,1
대한전선(주),1440,코스피,2012,1
(주)위니아딤채(위니아),71460,코스닥,2015,1
(주)위니아딤채,71460,코스닥,2016,1
(주)위니아딤채,71460,코스닥,2017,1
(주)시큐브,131090,코스닥,2015,1
(주)시큐브,131090,코스닥,2016,1
(주)시큐브,131090,코스닥,2017,1
(주)시큐브,131090,코스닥,2018,1
(주)시큐브,131090,코스닥,2019,1
(주)녹원씨엔아이,65560,코스닥,2015,1
(주)녹원씨엔아이,65560,코스닥,2016,1
(주)녹원씨엔아이,65560,코스닥,2017,0
(주)녹원씨엔아이,65560,코스닥,2018,0
(주)에스디생명공학,217480,코스닥,2018,1
(주)에스디생명공학,217480,코스닥,2019,1
(주)지투알(HS에드),35000,코스피,2012,1
(주)지투알,35000,코스피,2013,1
(주)지투알,35000,코스피,2014,1
(주)지투알,35000,코스피,2015,1
(주)지투알,35000,코스피,2016,1
(주)지투알,35000,코스피,2017,1
(주)지투알,35000,코스피,2018,1
(주)셀트리온,68270,코스피,2012,1
(주)셀트리온,68270,코스피,2013,1
(주)셀트리온,68270,코스피,2014,1
(주)셀트리온,68270,코스피,2015,1
(주)셀트리온,68270,코스피,2016,1
(주)셀트리온,68270,코스피,2017,1
(주)셀트리온,68270,코스피,2018,1
(주)셀트리온,68270,코스피,2019,1
(주)셀트리온,68270,코스피,2020,1
(주)셀트리온헬스케어,91990,코스닥,2012,0
(주)셀트리온헬스케어,91990,코스닥,2013,1
(주)셀트리온헬스케어,91990,코스닥,2014,1
(주)셀트리온헬스케어,91990,코스닥,2015,1
(주)셀트리온헬스케어,91990,코스닥,2016,1
(주)셀트리온헬스케어,91990,코스닥,2017,1
(주)셀트리온헬스케어,91990,코스닥,2018,1
(주)셀트리온제약,68760,코스닥,2012,1
(주)셀트리온제약,68760,코스닥,2013,1
(주)셀트리온제약,68760,코스닥,2014,1
(주)셀트리온제약,68760,코스닥,2015,1
(주)셀트리온제약,68760,코스닥,2016,1
(주)셀트리온제약,68760,코스닥,2017,1
유네코(주),64510,코스닥,2014,1
유네코(주),64510,코스닥,2015,1
유네코(주),64510,코스닥,2016,1
유네코(주),64510,코스닥,2017,1
유네코(주),64510,코스닥,2018,1
유네코(주),64510,코스닥,2019,1
(주)서울제약,18680,코스닥,2016,1
(주)서울제약,18680,코스닥,2017,1
(주)서울제약,18680,코스닥,2018,1
(주)서울제약,18680,코스닥,2019,1
(주)엔에스엔,31860,코스닥,2017,1
(주)엔에스엔,31860,코스닥,2018,1
(주)에스에스알,275630,코스닥,2017,1
(주)에스에스알,275630,코스닥,2018,1
(주)에스에스알,275630,코스닥,2019,1
참존글로벌(주),158310,코스닥,2018,1
삼화전자공업(주),11230,코스피,2016,1
삼화전자공업(주),11230,코스피,2017,1
(주)신흥,4080,코스피,2014,1
(주)신흥,4080,코스피,2015,1
(주)신흥,4080,코스피,2016,1
(주)신흥,4080,코스피,2017,1
(주)신흥,4080,코스피,2018,1
(주)신흥,4080,코스피,2019,1
(주)다이나믹디자인,145210,코스피,2013,1
(주)다이나믹디자인,145210,코스피,2014,1
(주)다이나믹디자인,145210,코스피,2015,1
(주)다이나믹디자인,145210,코스피,2016,1
(주)다이나믹디자인,145210,코스피,2017,1
(주)골드퍼시픽(케이바이오),38530,코스닥,2016,1
(주)골드퍼시픽,38530,코스닥,2017,1
(주)골드퍼시픽,38530,코스닥,2018,1
(주)골드퍼시픽,38530,코스닥,2019,1
(주)디에이테크놀러지(타이거일렉),219130,코스닥,2018,1
(주)디에이테크놀러지,219130,코스닥,2019,1
(주)광림,14200,코스닥,2019,1
퀀타피아(주)(코드네이처(주)),78940,코스닥,2018,1
두산에너빌리티(주),34020,코스피,2017,1
두산에너빌리티(주),34020,코스피,2018,1
두산에너빌리티(주),34020,코스피,2019,1
(주)씨엔플러스,115530,코스닥,2018,1
(주)씨엔플러스,115530,코스닥,2019,1
(주)씨엔플러스,115530,코스닥,2020,1
계양전기(주),12200,코스피,2016,1
계양전기(주),12200,코스피,2017,1
계양전기(주),12200,코스피,2018,1
계양전기(주),12200,코스피,2019,1
계양전기(주),12200,코스피,2020,1
(주)지란지교시큐리티,208350,코스닥,2017,1
(주)지란지교시큐리티,208350,코스닥,2018,1
(주)지란지교시큐리티,208350,코스닥,2019,1
(주)지란지교시큐리티,208350,코스닥,2020,1
에스비더블유생명과학(주)(퓨처코어),151910,코스닥,2018,1
에스비더블유생명과학(주),151910,코스닥,2019,1
에스비더블유생명과학(주),151910,코스닥,2020,1
에스비더블유생명과학(주),151910,코스닥,2021,1
한솔아이원스(주),114810,코스닥,2013,1
한솔아이원스(주),114810,코스닥,2014,1
한솔아이원스(주),114810,코스닥,2015,1
한솔아이원스(주),114810,코스닥,2016,1
한솔아이원스(주),114810,코스닥,2017,1
한솔아이원스(주),114810,코스닥,2018,1
한솔아이원스(주),114810,코스닥,2019,1
한솔아이원스(주),114810,코스닥,2020,1
한솔아이원스(주),114810,코스닥,2021,1
아시아나항공(주),20560,코스피,2015,0
아시아나항공(주),20560,코스피,2016,0
아시아나아이디티(주)(아시아나IDT),267850,코스피,2015,0
에어부산(주),298690,코스피,2015,0
동양물산기업(주)(TYM),2900,코스피,2015,1
(주)와이오엠,66430,코스닥,2014,1
(주)와이오엠,66430,코스닥,2015,1
(주)와이오엠,66430,코스닥,2016,0
제이비어뮤즈먼트(주)(글로앤웰),35480,코스닥,2012,1
제이비어뮤즈먼트(주),35480,코스닥,2013,1
제이비어뮤즈먼트(주),35480,코스닥,2014,1
제이비어뮤즈먼트(주),35480,코스닥,2015,1
제이비어뮤즈먼트(주),35480,코스닥,2016,1
제이비어뮤즈먼트(주),35480,코스닥,2017,1
현대건설(주),720,코스피,2013,1
현대건설(주),720,코스피,2014,1
현대건설(주),720,코스피,2015,1
현대건설(주),720,코스피,2016,1
삼성바이오로직스(주),207940,코스피,2012,1
삼성바이오로직스(주),207940,코스피,2013,1
삼성바이오로직스(주),207940,코스피,2014,1
삼성바이오로직스(주),207940,코스피,2015,1
삼성바이오로직스(주),207940,코스피,2016,1
삼성바이오로직스(주),207940,코스피,2017,1
(주)제낙스,65620,코스닥,2012,1
(주)제낙스,65620,코스닥,2013,1
(주)제낙스,65620,코스닥,2014,1
(주)제낙스,65620,코스닥,2015,1
(주)제낙스,65620,코스닥,2016,1
(주)제낙스,65620,코스닥,2017,1
(주)제낙스,65620,코스닥,2018,1
나노캠텍(주),91970,코스닥,2018,0
유진기업(주),23410,코스닥,2014,1
유진기업(주),23410,코스닥,2015,1
(주)청호컴넷(청호ICT),12600,코스피,2015,0
(주)씨씨에스충북방송(씨씨에스),66790,코스닥,2014,1
(주)씨씨에스충북방송,66790,코스닥,2015,1
(주)씨씨에스충북방송,66790,코스닥,2016,1
(주)씨씨에스충북방송,66790,코스닥,2017,1
(주)리젠,38340,코스닥,2014,1
(주)리젠,38340,코스닥,2015,1
(주)에이모션,31860,코스닥,2013,0
(주)에이모션,31860,코스닥,2014,0
(주)로켓모바일,43710,코스닥,2012,0
한솔아트원제지(주),7190,코스피,2012,1
한솔아트원제지(주),7190,코스피,2013,1
(주)씨젠,96530,코스닥,2012,1
(주)씨젠,96530,코스닥,2013,1
(주)씨젠,96530,코스닥,2014,1
(주)씨젠,96530,코스닥,2015,1
(주)씨젠,96530,코스닥,2016,1
(주)씨젠,96530,코스닥,2017,1
(주)씨젠,96530,코스닥,2018,1
(주)에스마크,30270,코스닥,2016,1
(주)에스마크,30270,코스닥,2017,1
삼성바이오로직스(주),207940,코스피,2012,0
삼성바이오로직스(주),207940,코스피,2013,0
삼성바이오로직스(주),207940,코스피,2014,0
삼성바이오로직스(주),207940,코스피,2015,0
씨앤티85(주),56730,코스닥,2015,1
씨앤티85(주),56730,코스닥,2016,1
조선내화(주),462520,코스피,2012,1
조선내화(주),462520,코스피,2013,1
에스엘(주),5850,코스피,2013,0
에스엘(주),5850,코스피,2014,0
에스엘(주),5850,코스피,2015,0
에스엘(주),5850,코스피,2016,0
에스엘(주),5850,코스피,2017,0
에스엘(주),5850,코스피,2018,1
(주)디오,39840,코스닥,2012,1
(주)디오,39840,코스닥,2013,1
