현금및현금성자산(*)(IFRS)(천원),유동금융자산(*)(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),이연법인세자산(IFRS)(천원),상각후원가측정 유가증권(IFRS)(천원),매출채권(IFRS)(천원),미수금(IFRS)(천원),단기대여금(IFRS)(천원),선급금(IFRS)(천원),기타유동자산(*)(IFRS)(천원),상품(IFRS)(천원),제품(IFRS)(천원),반제품(IFRS)(천원),재공품(IFRS)(천원),원재료(부재료)(IFRS)(천원),저장품(소모품)(IFRS)(천원),미착품(IFRS)(천원),완성건물(IFRS)(천원),용지(IFRS)(천원),미완성공사(IFRS)(천원),미완성건물(IFRS)(천원),기타재고자산(IFRS)(천원),장기대여금(IFRS)(천원),장기당기손익인식금융자산(IFRS)(천원),투자부동산(*)(IFRS)(천원),토지(IFRS)(천원),건물 및 부속설비(IFRS)(천원),구축물(IFRS)(천원),기계장치(IFRS)(천원),중장비(IFRS)(천원),시설장치(IFRS)(천원),제설비(IFRS)(천원),미착자산(IFRS)(천원),차량운반구(IFRS)(천원),선박(IFRS)(천원),항공기(IFRS)(천원),"공구,기구,비품(IFRS)(천원)",리스개량자산(IFRS)(천원),임대(주택)자산(IFRS)(천원),임차개량자산(IFRS)(천원),건설중인자산(IFRS)(천원),유형탐사평가자산(IFRS)(천원),임대주택용지(IFRS)(천원),미완성임대주택(IFRS)(천원),임대주택토지(IFRS)(천원),완성임대주택(IFRS)(천원),임대주택(IFRS)(천원),기타임대주택자산(IFRS)(천원),기타유형자산(IFRS)(천원),영업권(IFRS)(천원),개발비(IFRS)(천원),특허권(IFRS)(천원),기타산업재산권(IFRS)(천원),컴퓨터소프트웨어(IFRS)(천원),브랜드(IFRS)(천원),라이선스와 프랜차이즈(IFRS)(천원),저작권(IFRS)(천원),회원권(IFRS)(천원),제이용권(사용권)(IFRS)(천원),개발중인 무형자산(IFRS)(천원),무형탐사평가자산(IFRS)(천원),제호와 출판표제(IFRS)(천원),"조리법, 공식, 모형, 설계 및 시제품(IFRS)(천원)",배출권자산(IFRS)(천원),기타무형자산(IFRS)(천원),장기매출채권(IFRS)(천원),*특수관계자장기매출채권(IFRS)(천원),장기공사미수금(IFRS)(천원),장기분양미수금(IFRS)(천원),장기미수금(IFRS)(천원),*특수관계자 장기미수금(IFRS)(천원),장기임대미수금(IFRS)(천원),장기미청구공사(IFRS)(천원),장기임대주택채권(IFRS)(천원),장기대출채권(IFRS)(천원),장기미수수익(IFRS)(천원),장기보증금(IFRS)(천원),기타장기채권(IFRS)(천원),매입채무(IFRS)(천원),미지급금(*)(IFRS)(천원),보증금(*)(IFRS)(천원),미지급배당금(IFRS)(천원),미지급비용(IFRS)(천원),단기차입금(IFRS)(천원),단기매입채무 및 기타유동채무(IFRS)(천원),선수금(*)(IFRS)(천원),장기당기법인세부채(미지급법인세)(IFRS)(천원),(추정공사손실)(IFRS)(천원),이연법인세부채(IFRS)(천원),기타유동부채(*)(IFRS)(천원),사채(*)(IFRS)(천원),전환사채(IFRS)(천원),신주인수권부사채(IFRS)(천원),장기차입금(*)(IFRS)(천원),장기매입채무(*)(IFRS)(천원),기타장기충당부채(*)(IFRS)(천원),장기공사선수금(IFRS)(천원),기타비유동부채(IFRS)(천원),보통주자본금(IFRS)(천원),우선주자본금(IFRS)(천원),주식발행초과금(IFRS)(천원),감자차익(IFRS)(천원),합병차익(IFRS)(천원),재평가적립금(2001년 이전)(IFRS)(천원),기타자본잉여금(IFRS)(천원),주식할인발행차금(IFRS)(천원),배당건설이자(IFRS)(천원),자기주식(IFRS)(천원),매도가능금융자산평가손익(IFRS)(천원),환산 관련 외환차이 적립금(환율변동차이)(IFRS)(천원),파생상품평가이익(IFRS)(천원),파생상품평가손실(IFRS)(천원),기타포괄손익누계액(*)(IFRS)(천원),주식매입선택권(IFRS)(천원),이익준비금(IFRS)(천원),기업합리화적립금(IFRS)(천원),재무구조개선적립금(IFRS)(천원),기업발전적립금(IFRS)(천원),기타법정적립금(IFRS)(천원),재평가손익(IFRS)(천원),보험수리적손익(IFRS)(천원),기술개발준비금(IFRS)(천원),연구및인력개발준비금(IFRS)(천원),사업손실준비금(IFRS)(천원),퇴직급여적립금(IFRS)(천원),기타임의적립금(IFRS)(천원),기타이익잉여금(IFRS)(천원),미처분이익잉여금(결손금)(IFRS)(천원),*전기이월미처분이익잉여금(결손금)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),상품매출액(IFRS)(천원),제품매출액(IFRS)(천원),건설계약으로 인한 수익(공사수익)(IFRS)(천원),임대수익(IFRS)(천원),분양수익(IFRS)(천원),수수료수익(IFRS)(천원),기타수익(IFRS)(천원),당기상품매입액(IFRS)(천원),기초제품재고액(IFRS)(천원),(기말제품재고액)(IFRS)(천원),(대체)(IFRS)(천원),종업원 급여비용(IFRS)(천원),급여(IFRS)(천원),퇴직급여(IFRS)(천원),복리후생비(IFRS)(천원),보험료(IFRS)(천원),여비교통비(IFRS)(천원),임차료(IFRS)(천원),접대비(IFRS)(천원),감가상각비(IFRS)(천원),세금과공과(IFRS)(천원),광고선전비(IFRS)(천원),차량유지비(IFRS)(천원),연구개발비(IFRS)(천원),경상연구개발비(IFRS)(천원),대손상각비(IFRS)(천원),미분양주택관리비(IFRS)(천원),기타(IFRS)(천원),이자수익(IFRS)(천원),배당금수익(IFRS)(천원),외환차손(IFRS)(천원),외화환산손실(IFRS)(천원),지분법이익(IFRS)(천원),투자자산처분이익(IFRS)(천원),"유형,리스자산처분이익(IFRS)(천원)",무형자산처분이익(IFRS)(천원),사채상환이익(IFRS)(천원),법인세환급액(IFRS)(천원),대손충당금환입액(IFRS)(천원),전기오류수정이익(IFRS)(천원),채무면제이익(IFRS)(천원),보험차익(IFRS)(천원),이자비용(IFRS)(천원),기타대손상각비(IFRS)(천원),재고자산감모손실(IFRS)(천원),외환차손(IFRS)(천원).1,외화환산손실(IFRS)(천원).1,지분법적용투자주식손상차손(IFRS)(천원),기부금(IFRS)(천원),투자자산처분손실(IFRS)(천원),보상비(IFRS)(천원),법인세추납액(IFRS)(천원),전기오류수정손실(IFRS)(천원),법인세비용(IFRS)(천원)
389.0,389.0,389.0,389.0,136.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,356.0,356.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,136.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,357.0,357.0,389.0,389.0,389.0,389.0,389.0,389.0,356.0,389.0,389.0,389.0,389.0,389.0,357.0,388.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0
49559480.3907455,45526636.05141388,213920413.6452442,15667137.740359897,331.9852941176471,76093618.44730078,28213202.40359897,12731202.709511569,28907845.786632393,50707169.96143959,2919467.640102828,8481245.850899743,8404737.776349615,8092979.658097686,25028581.357326478,2312221.8431876604,7623160.971722365,1347867.6838046273,14598900.49614396,544497.3316195373,626193.0437017995,4061137.7506426736,16945024.071979433,531955.9280205655,17159963.092544988,63836141.42159383,51803884.203084834,11402407.228791773,69708395.46529563,296025.17223650386,1065010.416452442,6574274.745501285,37084.09254498714,2361662.974293059,1792894.1131105397,6892419.0899742935,17841243.719794344,0.0,3358.308988764045,546.814606741573,11641899.984575836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31398219.593830336,1980564.1696658097,23865564.640102826,38571.98971722365,646701.205655527,1993640.619537275,0.0,19540.758354755784,69867.53984575835,848341.7994858612,973370.3573264781,403036.3496143959,1028.2776349614396,0.0,0.0,0.0,5522392.077120823,3238791.3136246786,0.0,6891929.213367609,0.0,7084540.298200514,0.0,0.0,264111.8354755784,0.0,0.0,199786.66838046274,7835908.912596401,9187144.455012854,61079253.77892031,25628921.807197943,816205.9562982005,504.46786632390746,11011046.046272494,8805.061696658098,0.0,26408311.562982004,0.0,0.0,0.0,28765431.133676093,50854099.51156812,2494525.1568123396,4160215.205655527,34325375.946015425,0.0,9888592.380462725,1878953.7275064266,1381118.1516709512,85654128.29562981,537016.205655527,83852842.44987147,11671539.393316196,70275.97429305913,6178564.172236504,4695832.678663239,-37730.28277634962,0.0,-10806499.822622107,1218212.0102827763,-4076.910025706941,0.0,0.0,12583057.789203085,10563.892030848328,13476139.089974293,324137.881748072,684784.354755784,247110.84832904884,1107165.7840616966,336881.5269922879,-4313.259640102828,9183640.642673522,16267206.357326478,2832030.848329049,0.0,118676364.00257069,-65728.28277634962,33677117.501285344,97303.77634961439,605288051.5989717,12727658.246786632,149392109.80205655,139881373.89974293,2757274.23907455,2231620.9614395886,2393107.730077121,171353365.36760926,1278385.8817480719,777173.9254498715,846348.2622107969,0.0,60862875.28791774,14709127.784061696,1445089.380462725,2571766.305912596,179977.21079691517,745002.9820051414,1177573.562982005,241303.35989717222,1352425.0745501285,609536.354755784,3490082.9023136245,213069.90488431876,4556239.987146529,3323142.825192802,3513427.2236503856,0.0,5140603.935732648,5191.249299719888,241745.60224089635,4100938.912596401,2709777.568123393,140574.6092544987,0.0,0.0,0.0,1105.626404494382,0.0,37456.714652956296,0.0,41421.42159383033,3169.185089974293,5899.428571428572,4650685.054123712,0.0,2780375.4807197945,1089787.35218509,0.0,0.0,0.0,7479.285347043702,0.0,0.0,4107935.6272493573
156058932.76746282,186137629.6914911,761592000.7897263,91312146.92513372,3321.5718768552138,276715003.09588146,124665525.47497554,50748996.757362545,135078516.98053044,207568250.38310066,10140088.68996051,20625004.864263743,106400381.67226565,35799832.66426743,110498434.28782795,14549912.192963982,57465193.19656092,11311030.606249481,98963096.31670462,7663957.041849894,7028313.838558815,53783777.285776205,78431313.23785473,5394026.367264457,68792576.36543722,261896133.2167188,144978756.88175538,92918122.34733841,197575593.00116017,4005314.299453195,3129567.0693959235,43291170.00692609,394280.8999953734,14339657.604104102,16089499.042463522,97832948.60539734,60543299.68217363,0.0,38463.4470899251,10317.277365465909,43708890.86544288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306247250.4344111,6561846.731950893,139817627.82746997,298787.029390285,2375798.4418684156,6106480.16937332,0.0,259690.28869398872,973146.1347818539,2797228.70025176,5860012.743083614,3704174.328994745,20280.805062535754,0.0,0.0,0.0,20807877.089860413,20772543.338939983,0.0,96300223.95821036,0.0,47997475.232316665,0.0,0.0,5209099.63211403,0.0,0.0,2367879.572083352,44568255.99838884,131406177.58371504,226582893.20050386,87080343.71797119,4836565.928769436,2409.492846094856,39732332.96901121,173662.96198810136,0.0,153638937.6095288,0.0,0.0,0.0,154470453.07792342,222471408.77799776,8411996.597131623,36968837.77602095,137124243.9561117,0.0,49217441.231544994,27525536.291636232,13728032.20366567,249971955.15130088,5654746.138986943,234569403.19764543,64391751.63812324,601379.6612247312,52497298.81066842,37788532.92368741,744157.4959181055,0.0,47287117.25090452,9372489.181451105,43776.23167990136,0.0,0.0,85626555.4892903,128134.11315031687,80361607.18990661,1748065.054392314,6249825.810379186,2431784.482953316,11962079.672720559,2482318.8202623865,61982.459359644985,89808273.34344988,142474901.7948242,55772028.67213306,0.0,570709402.702868,3873169.9563538153,405150548.1446248,1919130.4496952419,1913932463.8584654,55646216.1052068,802189186.1069008,866423397.3378948,20204184.175910853,22774721.25422389,23592960.219508775,1223866581.0846539,5859797.1507394845,3280962.2167927143,3352273.3745483244,0.0,171505183.96293905,39102511.72596267,3977884.9354408463,7036963.507813437,674622.4796712112,1447435.270933745,3379523.341873628,434255.21044021845,4502456.738872343,4412494.260800303,17563964.170951888,840313.8019643049,16351467.400703177,18459971.89468761,22988584.809511907,0.0,53206476.43430778,43844.23779715549,1493176.6393281703,33014743.05783959,18482829.16649193,1426785.817583351,0.0,0.0,0.0,10129.242127192972,0.0,383310.5268168979,0.0,404207.5490678587,38110.9629779934,76876.65253240599,27069627.11891043,0.0,13151514.907762222,6132057.908148553,0.0,0.0,0.0,59064.16197058012,0.0,0.0,70271826.51812074
195.0,0.0,3561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294331.0,0.0,0.0,0.0,0.0,0.0,-19681366.0,-14677080.0,0.0,-339058605.0,-45128000.0,-669395.0,0.0,0.0,-102164147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1051369.0,0.0,0.0,0.0,0.0,0.0,-67792092.0,-5185922988.0,0.0,844632.0,0.0,0.0,0.0,0.0,0.0,0.0,-78340655.0,0.0,-5903506.0,0.0,0.0,-8512168.0,0.0,-266612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19599000.0,0.0,-200790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7367819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1034523372.0
1430727.0,565712.0,7076827.0,0.0,0.0,5867094.0,379870.0,0.0,148866.0,350982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062196.0,1282043.0,0.0,151467.0,0.0,0.0,0.0,0.0,16218.0,0.0,0.0,153712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382166.0,841393.0,0.0,0.0,155623.0,0.0,0.0,38158.0,0.0,0.0,0.0,67677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6467850.0,0.0,10855278.0,0.0,0.0,0.0,0.0,0.0,0.0,-2986273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20904166.0,0.0,22187201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4256854.0,1442211.0,135536.0,234052.0,4690.0,68892.0,66807.0,32151.0,127036.0,0.0,1300.0,11324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0
5547269.0,3950445.0,19846425.0,110686.0,0.0,14644385.0,1211881.0,876251.0,1231209.0,1324087.0,61000.0,990506.0,0.0,112745.0,1001818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33118.0,0.0,0.0,7245911.0,6594562.0,44955.0,6848088.0,0.0,0.0,0.0,0.0,166015.0,0.0,0.0,1263398.0,0.0,0.0,0.0,26091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,2045.0,0.0,0.0,0.0,149285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8642.0,0.0,5326016.0,2029596.0,0.0,0.0,646120.0,0.0,0.0,310668.0,0.0,0.0,0.0,481100.0,0.0,0.0,0.0,1125000.0,0.0,0.0,0.0,0.0,12306960.0,0.0,30618852.0,0.0,0.0,0.0,2570.0,0.0,0.0,-185798.0,0.0,0.0,0.0,0.0,0.0,0.0,144884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3144735.0,0.0,69141343.0,69800.0,8146434.0,0.0,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,9502334.0,3377573.0,325300.0,474856.0,43385.0,217181.0,198443.0,111425.0,296788.0,0.0,62280.0,58451.0,255140.0,0.0,81859.0,0.0,7292.0,0.0,0.0,1523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54608.0
18967189.0,13781719.0,45888604.0,2256911.0,0.0,31942964.0,5482313.0,5873927.0,5192369.0,4967996.0,1147310.0,6167472.0,0.0,2772749.0,4494443.0,62385.0,140313.0,0.0,0.0,0.0,0.0,0.0,1169610.0,0.0,1931000.0,23627827.0,27176009.0,2021230.0,34363141.0,0.0,180725.0,0.0,0.0,631233.0,0.0,0.0,6769559.0,0.0,0.0,0.0,3648979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086262.0,0.0,2638141.0,0.0,224652.0,771478.0,0.0,0.0,0.0,827196.0,0.0,0.0,0.0,0.0,0.0,0.0,746157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792548.0,0.0,14701395.0,6848033.0,0.0,0.0,2438118.0,0.0,0.0,2585428.0,0.0,0.0,0.0,3649124.0,6000000.0,0.0,0.0,10000000.0,0.0,152437.0,0.0,0.0,26430000.0,0.0,58897704.0,0.0,0.0,0.0,852119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499631.0,0.0,2112832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0,0.0,38955565.0,0.0,174795155.0,6220291.0,54148588.0,0.0,0.0,0.0,0.0,5144180.0,0.0,0.0,0.0,0.0,19154000.0,8704974.0,887714.0,1234429.0,125731.0,723034.0,552750.0,272929.0,875519.0,0.0,479182.0,133820.0,2047545.0,0.0,660782.0,0.0,413614.0,0.0,0.0,308960.0,103137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700328.0,0.0,264149.0,57553.0,0.0,0.0,0.0,0.0,0.0,0.0,2015219.0
1374706000.0,2072716023.0,5225435000.0,1419954000.0,38150.0,3587764000.0,1099663000.0,739920892.0,1745086000.0,1893955384.0,77861030.0,155062585.0,1541211063.0,377857000.0,865759026.0,195783133.0,800047000.0,154224000.0,1020963443.0,125225000.0,128397859.0,827521105.0,769785000.0,65648770.0,606679331.0,2573606380.0,1105922000.0,1280961000.0,1176110000.0,56695000.0,18859588.0,392225787.0,5424560.0,168946000.0,204060000.0,1603114184.0,487297000.0,0.0,518913.0,194666.0,476431000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4216639420.0,52053673.0,1522078128.0,4091147.0,21444696.0,59990422.0,0.0,3622780.0,13641173.0,34408000.0,69525088.0,46862396.0,400000.0,0.0,0.0,0.0,158569676.0,264349000.0,0.0,1447510464.0,0.0,426375000.0,0.0,0.0,102739504.0,0.0,0.0,33902000.0,546293000.0,2240589241.0,1852152000.0,675864000.0,52471936.0,18134.0,473172000.0,3425169.0,0.0,1354355000.0,0.0,0.0,0.0,1354355000.0,1900484286.0,56600000.0,499883000.0,1415351520.0,0.0,541874433.0,484256000.0,254202395.0,2078113190.0,64521050.0,2496583409.0,532974000.0,5324104.0,594262000.0,397605464.0,0.0,0.0,0.0,102246570.0,0.0,0.0,0.0,924551891.0,1768915.0,602937000.0,12851000.0,61810000.0,45710120.0,138118000.0,31903000.0,0.0,1000000000.0,1875878961.0,1100000000.0,0.0,4880360290.0,31573842.0,2880580888.0,37851169.0,13948547762.0,669013000.0,13948547762.0,10161584000.0,190002566.0,324505000.0,287224949.0,13802894508.0,59214601.0,38476561.0,38476561.0,0.0,1332300000.0,244627000.0,34277000.0,44260000.0,6763000.0,11106000.0,29382000.0,4244222.0,33428000.0,59338000.0,173520000.0,9253000.0,168118598.0,214394775.0,346278000.0,0.0,811009763.0,514000.0,16934458.0,542054000.0,241937000.0,23317398.0,0.0,0.0,0.0,149936.0,0.0,5910754.0,0.0,6421716.0,575056.0,1070870.0,419466000.0,0.0,174838000.0,73852000.0,0.0,0.0,0.0,745141.0,0.0,0.0,326146225.0
