회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,부가가치(IFRS)(백만원),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS)
(주)에이치제이중공업,97230,2015,1,41,64102,  종합 건설업 ,2007-08-31,,292787.0,-317241.0,283054.0,146576.0,52543.0,26448.0,101407.0,2632.0
(주)예스코홀딩스,15360,2018,1,71,137105,  전문 서비스업 ,1996-12-24,,94618.75,8523.4,66316.74,-21550.81,0.0,6344.93,35003.32,10.0
(주)웅진,16880,2013,1,71,137105,  전문 서비스업 ,1994-11-05,,744738.73,584400.41,70404.84,43429.82,5406.36,3584.3,37584.12,1017.0
(주)웅진,16880,2014,1,71,137105,  전문 서비스업 ,1994-11-05,,193742.1,94045.53,76625.99,-2866.64,4470.09,2635.92,20388.75,968.0
(주)웅진,16880,2015,1,71,137105,  전문 서비스업 ,1994-11-05,,150606.42,35903.76,75622.48,10891.16,4492.01,4793.61,22327.81,1112.0
(주)웅진,16880,2016,1,71,137105,  전문 서비스업 ,1994-11-05,,77404.42,5577.79,58483.02,121.7,4421.86,3546.93,5253.13,1201.0
(주)이수화학,5950,2012,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1988-04-28,,124320.41,30484.55,51008.87,25830.94,0.0,0.0,16996.04,360.0
(주)이수화학,5950,2013,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1988-04-28,,50537.24,-58646.98,68772.73,30442.59,0.0,0.0,9968.91,382.0
(주)이수화학,5950,2014,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1988-04-28,,19697.32,-90346.99,68291.5,30750.79,0.0,0.0,11002.01,379.0
(주)이수화학,5950,2015,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1988-04-28,,56815.32,-42558.57,66896.05,21841.61,0.0,0.0,10636.24,379.0
(주)이수화학,5950,2016,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1988-04-28,,119677.41,18244.88,73591.1,16158.3,0.0,0.0,11705.81,377.0
(주)이수화학,5950,2017,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1988-04-28,,112594.18,1458.34,81236.99,17116.17,0.0,0.0,12782.67,394.0
(주)청호ICT,12600,2015,1,29,32901,  기타 기계 및 장비 제조업 ,1990-07-10,,5691.75,-12350.78,11582.38,2356.28,0.0,0.0,4355.89,113.0
(주)케이티앤지,33780,2012,1,12,31201,  담배 제조업 ,1999-10-08,,1751731.96,1014367.63,606363.0,-40818.67,0.0,0.0,171820.0,4313.0
(주)케이티앤지,33780,2013,1,12,31201,  담배 제조업 ,1999-10-08,,1629602.95,882092.95,612254.0,-35180.0,0.0,0.0,170436.0,4235.0
(주)케이티앤지,33780,2014,1,12,31201,  담배 제조업 ,1999-10-08,,1882963.27,1146962.98,628153.0,-47676.71,0.0,0.0,155524.0,4158.0
(주)케이티앤지,33780,2015,1,12,31201,  담배 제조업 ,1999-10-08,,2209372.8,1429857.73,667611.0,-41923.93,0.0,0.0,153828.0,4102.0
(주)케이티앤지,33780,2016,1,12,31201,  담배 제조업 ,1999-10-08,,2355831.77,1571030.13,681218.0,-50383.36,0.0,0.0,153967.0,4145.0
(주)케이티앤지,33780,2017,1,12,31201,  담배 제조업 ,1999-10-08,,2193126.18,1399152.18,685036.0,-54363.0,0.0,0.0,163301.0,4295.0
(주)케이티앤지,33780,2018,1,12,31201,  담배 제조업 ,1999-10-08,,2185943.41,1322483.57,742597.0,-30965.16,0.0,0.0,151828.0,4433.0
STX조선해양(주),67250,2012,4,31,33101,  기타 운송장비 제조업 ,2003-10-27,2014/04/15,506773.0,-1038219.0,889135.0,244876.0,150864.0,35565.0,276532.0,3091.0
계룡건설산업(주),13580,2012,1,41,64102,  종합 건설업 ,1996-01-30,,183731.49,10269.0,143240.96,22155.47,0.0,0.0,8066.07,956.0
계양전기(주),12200,2016,1,29,32901,  기타 기계 및 장비 제조업 ,1988-07-06,,88467.59,20637.13,59159.05,24.88,0.0,0.0,8646.54,693.0
계양전기(주),12200,2017,1,29,32901,  기타 기계 및 장비 제조업 ,1988-07-06,,82589.63,9677.24,63169.75,-27.57,0.0,0.0,9791.79,707.0
계양전기(주),12200,2018,1,29,32901,  기타 기계 및 장비 제조업 ,1988-07-06,,85869.18,8083.16,66284.37,-7.53,0.0,0.0,11509.19,755.0
계양전기(주),12200,2019,1,29,32901,  기타 기계 및 장비 제조업 ,1988-07-06,,79012.22,-4236.42,70003.08,571.25,0.0,0.0,12674.31,749.0
계양전기(주),12200,2020,1,29,32901,  기타 기계 및 장비 제조업 ,1988-07-06,,91069.83,10854.36,67113.3,585.72,0.0,0.0,12516.46,735.0
대한전선(주),1440,2012,1,28,32803,  전기장비 제조업 ,1968-12-27,,-174437.99,-455675.99,106024.0,125780.0,16714.0,0.0,32720.0,1021.0
두산에너빌리티(주),34020,2017,1,29,32901,  기타 기계 및 장비 제조업 ,2000-10-25,,3041385.78,22412.78,2055868.0,449994.0,0.0,0.0,513111.0,7609.0
두산에너빌리티(주),34020,2018,1,29,32901,  기타 기계 및 장비 제조업 ,2000-10-25,,2857981.49,-106330.51,2012912.0,459499.0,0.0,0.0,499052.0,7294.0
