,회사명,거래소코드,회계년도,소속코드_df1,통계청 한국표준산업분류 코드 10차(대분류)_df1,산업코드_df1,산업명_df1,상장일_df1,상장폐지일_df1,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),총자본증가율(IFRS),유형자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),정상영업이익증가율(IFRS),순이익증가율(IFRS),총포괄이익증가율(IFRS),종업원1인당 부가가치증가율(IFRS),종업원수증가율(IFRS),종업원1인당 매출액증가율(IFRS),종업원1인당 인건비증가율(IFRS),매출액총이익률(IFRS),매출액정상영업이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본정상영업이익률(IFRS),총자본순이익률(IFRS),자기자본정상영업이익률(IFRS),자기자본순이익률(IFRS),경영자본정상영업이익률(IFRS),경영자본순이익률(IFRS),자본금정상영업이익률(IFRS),자본금순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),기타손익비률(IFRS),금융손익비율(IFRS),금융비용부담률(IFRS),외환이익 대 매출액비율(IFRS),광고선전비 대 매출액비율(IFRS),세금과공과 대 세금과공과 차감전순이익률(IFRS),기업순이익률(IFRS),수지비율(관계기업투자손익 제외)(IFRS),인건비 대 총비용비율(IFRS),R & D 투자효율(IFRS),세금과공과 대 총비용비율(IFRS),금융비용 대 총비용비율(IFRS),감가상각비 대 총비용비율(IFRS),감가상각률(IFRS),누적감가상각률(IFRS),이자부담률(IFRS),지급이자율(IFRS),차입금평균이자율(IFRS),유보율(IFRS),사내유보율(IFRS),사내유보 대 자기자본비율(IFRS),적립금비율(재정비율)(IFRS),평균배당률(IFRS),자기자본배당률(IFRS),배당성향(IFRS),1주당매출액(IFRS)(원),1주당순이익(IFRS)(원),1주당 CASH FLOW(IFRS)(원),1주당순자산(IFRS)(원),1주당정상영업이익(IFRS)(원),유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),비유동장기적합률(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매출채권비율(IFRS),재고자산 대 순운전자본비율(IFRS),매출채권 대 매입채무비율(IFRS),"매출채권 대 상,제품비율(IFRS)",매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),비유동부채비율(IFRS),비유동부채 대 순운전자본비율(IFRS),순운전자본비율(IFRS),차입금의존도(IFRS),차입금비율(IFRS),이자보상배율(이자비용)(IFRS),이자보상배율(순금융비용)(IFRS),유보액대비율(IFRS),유보액 대 납입자본배율(IFRS),유동자산집중도(IFRS),비유동자산집중도(IFRS),투자집중도(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS),정상영업이익대비이자보상배율(IFRS),총자본회전률(IFRS),경영자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),재고자산회전기간(IFRS),"상품,제품회전률(IFRS)","원,부재료회전률(IFRS)",재공품회전률(IFRS),매출채권회전률(IFRS),매출채권회전기간(IFRS),비유동자산회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS),운전자본회전률(IFRS),1회전기간(IFRS),부가가치(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원),종업원1인당 매출액(IFRS)(백만원),종업원1인당 정상영업이익(IFRS)(백만원),종업원1인당 순이익(IFRS)(백만원),종업원1인당 인건비(IFRS)(백만원),노동장비율(IFRS),기계장비율(IFRS),자본집약도(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS),label_df2
95,코스모신소재(주),5070,2012,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-09-28,0,4390295.0,0.0,15724807.0,0.0,16285920.0,828190.0,0.0,111338.0,286706.0,273504.0,5840549.0,6944560.0,88937003.0,41954899.0,15021341.0,144250.0,0.0,1470450.0,0.0,8866206.0,3821492.0,755594.0,121857.0,0.0,121857.0,22361000.0,69939840.0,931181.0,0.0,0.0,0.0,17176577.0,129110920.0,125813766.0,0.0,15032839.0,3407773.0,432241.0,617109.0,58541.0,343061.0,64839.0,327526.0,114957.0,24608.0,124635.0,149225.0,206581.0,139482.0,0.0,0.0,0.0,0.0,7.05,13.6,0.0,13.56,-13.47,5.06,-15.4,-18.07,0.0,0.0,-5830.88,-54.92,9.01,-24.84,-4.51,0.38,-8.26,-11.58,-4.65,-4.72,-6.61,-11.1,-15.56,-5.12,-7.17,-15.25,-21.37,99.62,108.26,-3.31,-4.12,4.12,-0.3,0.02,0.0,-4.26,111.23,10.15,0.0,0.0,3.59,4.47,8.65,0.0,4.09,4.65,5.35,25.89,0.0,19.51,20.57,0.0,0.0,0.0,9230.14,-1069.0,-669.46,6168.38,-762.63,19.47,55.19,24.17,8.72,80.53,37.65,62.35,125.89,213.91,140.33,45.69,20.47,4.41,59.34,0.0,168.15,243.84,35.29,165.61,113.18,72.84,52.43,0.0,-23.14,50.38,133.81,-1.95,-1.81,7.74,0.26,38.01,137.16,158.48,-5.63,-6.96,-3.51,-6.36,-2.01,0.57,0.62,1.34,1.85,0.99,14.37,25.4,2.63,5.26,5.27,69.32,17.88,21.7,172.46,8.62,42.36,0.73,0.74,0.92,0.0,0.01,12013.38,33.09,355.68,-29.39,-41.18,41.41,433.31,41.38,644.25,5.14,7.64,79.98,9.3,125.13,-25.13,-124.42,-14947.18,15032.84,5320.24,0.0,0.0,6615.84,363.0,0
96,코스모신소재(주),5070,2013,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-09-28,0,1043143.0,0.0,24281914.0,0.0,23751522.0,2128276.0,0.0,7439088.0,7578144.0,87211.0,8634431.0,7448120.0,101580458.0,56688249.0,30571304.0,218344.0,0.0,1470450.0,0.0,11937344.0,1987209.0,698868.0,182006.0,0.0,182006.0,15699360.0,74939840.0,6164242.0,0.0,9861895.0,0.0,8735617.0,153281703.0,152137895.0,0.0,20193521.0,3377573.0,513834.0,472533.0,44342.0,242992.0,87848.0,331153.0,75358.0,16679.0,121186.0,105949.0,199937.0,169835.0,0.0,0.0,0.0,0.0,17.22,10.81,0.0,12.84,35.34,14.28,13.24,18.72,0.0,0.0,0.0,56.42,-0.83,19.71,35.45,5.13,-2.14,-5.64,-1.29,-1.29,-3.4,-3.5,-9.2,-1.4,-3.68,-4.53,-11.93,94.87,102.14,-3.5,-3.6,0.0,-0.29,0.01,0.0,-3.4,105.48,12.13,0.0,0.0,0.0,4.29,7.68,0.0,0.0,0.0,0.0,33.04,0.0,8.76,14.94,0.0,0.0,0.0,10226.98,-600.0,-948.94,6524.01,-218.95,22.48,46.6,28.99,12.0,77.52,36.37,63.63,133.04,213.16,134.92,52.83,28.21,0.89,77.24,0.0,185.75,254.24,41.58,174.95,116.96,72.04,57.99,0.0,-20.06,48.66,133.8,999999999.0,999999999.0,9.03,0.33,34.95,130.76,173.09,-6.76,-8.84,-4.3,-7.69,0.0,0.6,0.65,1.63,2.12,0.96,14.74,24.77,2.86,5.75,5.69,64.09,20.66,21.3,179.57,8.27,44.15,0.76,0.78,0.95,0.0,0.01,18635.99,51.77,425.78,-9.12,-24.0,56.09,560.38,84.92,761.48,6.8,9.24,60.96,12.16,108.36,-8.36,-46.37,-8641.11,20193.52,0.0,0.0,0.0,7136.49,360.0,0
97,코스모신소재(주),5070,2014,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-09-28,0,5979075.0,0.0,19993943.0,0.0,21047697.0,1758947.0,0.0,5814372.0,5956685.0,34300.0,4751614.0,6517286.0,101738025.0,54640845.0,27369518.0,162884.0,0.0,1470450.0,0.0,15644684.0,2299486.0,1420095.0,480543.0,0.0,480543.0,9889490.0,74939840.0,6164242.0,0.0,9861895.0,0.0,-15674798.0,149343499.0,148231535.0,0.0,18600664.0,3530211.0,422359.0,718776.0,32999.0,349340.0,271605.0,218475.0,63438.0,109111.0,76840.0,100708.0,1205574.0,974448.0,0.0,1983681.0,512564.0,0.0,-3.27,-1.63,0.0,-1.85,-8.16,-14.04,-24.48,-2.57,0.0,0.0,-1840.35,-28.97,-5.56,3.16,-2.47,0.06,-8.85,-15.61,-4.84,-4.9,-8.65,-15.11,-26.65,-5.09,-8.98,-17.64,-31.12,99.94,108.85,-6.76,-6.15,5.81,0.27,0.07,0.0,-5.43,115.2,10.53,0.0,0.0,4.91,4.84,8.0,0.0,4.76,6.43,6.53,0.47,0.0,-20.82,-12.63,0.0,0.0,0.0,9964.23,-1556.0,281.9,4904.1,-882.19,21.34,43.62,27.13,12.03,78.66,28.39,71.61,100.47,277.04,159.96,41.99,23.67,4.42,74.01,0.0,116.75,381.64,63.39,252.19,179.0,78.92,73.19,0.0,-29.49,51.91,182.84,-1.49,-1.69,0.13,0.0,39.57,140.99,170.22,-2.63,-3.63,-1.89,-3.35,-1.53,0.55,0.57,1.71,1.99,0.82,10.83,33.71,2.53,4.61,5.59,65.24,22.11,21.39,192.9,7.39,49.42,0.71,0.73,0.81,0.46,0.01,12501.85,36.77,439.25,-38.89,-68.58,54.71,576.02,80.5,779.91,4.71,6.38,45.68,8.37,148.78,-48.78,-186.52,-23318.69,18600.66,8669.88,0.0,0.0,8549.99,340.0,0
98,코스모화학(주),5420,2012,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,0,604124.0,31725000.0,19941570.0,0.0,17852322.0,2048258.0,25420000.0,2901901.0,5819480.0,136153.0,38476561.0,15308262.0,212449500.0,61549591.0,309518009.0,0.0,0.0,2911796.0,0.0,17251968.0,1380513.0,7018238.0,423560.0,0.0,423560.0,48096930.0,65510795.0,14549876.0,-177050.0,150346179.0,0.0,-3751594.0,180206642.0,176510128.0,256918.0,16803142.0,4149772.0,511226.0,740240.0,187086.0,306934.0,929143.0,367736.0,77870.0,45810.0,108851.0,57087.0,81859.0,300.0,0.0,0.0,0.0,0.0,-1.46,-0.68,0.0,-3.91,6.86,23.94,-7.42,4.55,-73.77,0.0,-224.51,-49.7,10.16,-5.09,0.72,14.17,3.09,-9.79,1.59,1.06,-3.37,2.27,-7.19,1.18,-3.75,8.49,-26.94,85.83,96.91,-12.88,-5.46,5.46,-0.1,0.03,0.0,-1.49,109.41,8.19,0.0,0.0,4.8,8.87,12.19,177.74,3.54,6.12,6.46,260.3,0.0,-1.59,8.55,0.0,0.0,0.0,13753.97,-1350.0,-164.55,17778.92,424.43,24.7,54.4,32.8,11.26,75.3,45.37,54.63,360.03,165.98,109.23,79.52,36.26,0.37,24.55,0.0,99.39,44.41,24.7,120.43,68.47,64.9,51.96,0.0,-6.36,39.69,87.49,0.44,-0.79,32.8,2.6,68.98,221.66,262.63,-2.26,-3.11,-1.23,-3.56,0.56,0.34,0.38,0.73,2.75,0.65,9.04,40.39,1.45,2.95,2.86,127.83,7.02,7.26,25.87,10.77,33.91,0.45,0.53,0.65,0.22,0.01,27186.81,78.35,519.33,16.03,-50.86,48.42,984.82,216.16,1498.26,5.23,7.96,36.25,15.09,61.81,38.19,-64.92,-17648.89,16803.14,9845.62,0.0,0.0,18188.13,347.0,0
99,코스모화학(주),5420,2013,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,0,1985518.0,35802000.0,44401849.0,0.0,39858977.0,4225262.0,27920000.0,7515806.0,497.0,2426561.0,37842566.0,13257299.0,333728111.0,144899956.0,426930361.0,0.0,0.0,4568135.0,0.0,30588189.0,7293214.0,9533689.0,771276.0,49749.0,771276.0,39195360.0,65510795.0,14549876.0,-177050.0,141273214.0,0.0,11336444.0,315361574.0,309961432.0,34284.0,36984029.0,7499524.0,935383.0,1108884.0,231913.0,598417.0,1119808.0,702139.0,193347.0,18179.0,245044.0,256217.0,463250.0,174108.0,2543201.0,1258893.0,146522.0,642731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,3.75,-13.02,-3.68,5.32,-4.46,-1.83,-1.48,-1.84,-0.76,-4.62,-0.21,-1.87,-0.77,-21.45,-0.8,94.68,104.46,2.83,-5.13,4.69,-0.18,0.01,0.0,1.18,101.47,10.46,0.0,0.0,4.18,7.48,9.94,151.86,3.22,5.09,5.09,272.43,0.0,0.9,15.26,0.0,0.0,0.0,24069.44,-40.0,529.68,16889.45,-1072.61,23.44,47.12,30.62,12.4,76.56,39.84,60.16,372.16,192.17,128.08,58.28,30.82,0.65,44.2,0.0,121.98,92.66,36.24,151.02,100.98,74.67,50.03,0.0,-16.79,45.13,113.29,-0.8,0.65,31.29,3.65,56.81,185.51,238.78,1.51,2.01,0.91,2.2,-0.95,0.41,0.42,1.04,4.81,0.69,10.31,35.4,1.76,3.33,3.74,97.7,7.83,23.79,11.58,8.45,43.19,0.54,0.55,0.65,0.53,0.01,73053.05,137.66,451.69,-31.02,9.77,46.64,984.77,189.49,1426.87,9.56,12.85,73.95,23.16,50.63,49.37,-7.91,-5134.13,36984.03,14790.64,0.0,0.0,26465.42,360.0,0
100,코스모화학(주),5420,2014,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,0,8172284.0,33804138.0,38183975.0,0.0,32894381.0,4867771.0,27170000.0,7628906.0,6348411.0,1856189.0,24065786.0,10196996.0,369430049.0,106117931.0,121439054.0,0.0,0.0,4031680.0,0.0,44441401.0,28019996.0,18933549.0,8868201.0,0.0,10497355.0,23450640.0,65510795.0,14549876.0,-177050.0,169862916.0,0.0,-34392054.0,281848632.0,276189966.0,431484.0,35725472.0,6584507.0,770889.0,1113393.0,218252.0,615560.0,986263.0,435375.0,319615.0,109639.0,152414.0,356165.0,1950485.0,968597.0,2569236.0,815026.0,601630.0,0.0,5.86,10.28,0.0,10.03,-7.76,-20.1,-6.47,-10.63,0.0,0.0,-356.93,-98.34,10.56,-24.25,-7.75,-2.6,-12.82,-20.02,-4.23,-4.6,-7.17,-12.5,-17.91,-4.68,-7.31,-55.17,-64.49,102.6,112.82,-7.2,-8.3,6.38,-0.02,0.04,0.0,-4.89,119.19,10.19,0.0,0.0,5.13,7.78,9.82,0.0,3.62,6.12,6.09,248.36,0.0,-21.03,-3.14,0.0,0.0,0.0,21511.62,-3231.0,4432.43,15987.9,-2758.63,20.43,40.81,25.67,12.09,79.57,33.85,66.15,348.09,235.08,148.66,43.96,26.02,2.17,42.1,0.0,63.9,109.55,65.89,195.43,137.3,80.73,58.13,0.0,-26.05,42.09,124.35,-1.73,-2.14,25.77,3.18,61.1,217.97,280.32,6.07,9.55,4.02,11.53,-2.01,0.36,0.37,0.97,4.3,0.57,7.51,48.58,1.64,2.93,3.71,98.33,8.52,24.03,11.86,8.58,42.55,0.46,0.47,0.55,0.21,0.01,24266.61,2.28,342.14,-57.6,-110.47,43.03,1066.11,236.36,1403.71,3.0,3.87,19.98,8.61,147.22,-47.22,-232.54,-56428.51,35725.47,17990.8,0.0,0.0,27269.46,398.0,0
101,코스모화학(주),5420,2015,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,0,4783063.0,7174204.0,25095201.0,0.0,27482180.0,3931090.0,8100000.0,2752804.0,3557486.0,31743.0,13693287.0,7168704.0,209817277.0,92481009.0,89849290.0,0.0,0.0,2017166.0,0.0,26322955.0,22318317.0,24391445.0,3038719.0,0.0,5132148.0,8514800.0,66642220.0,14761753.0,-177050.0,166138322.0,0.0,-138108718.0,250018823.0,242268793.0,0.0,39074580.0,6364590.0,844799.0,868745.0,172385.0,419775.0,747194.0,397252.0,339556.0,29724.0,114981.0,174010.0,1576246.0,466842.0,1737099.0,1366638.0,53585.0,-614353.0,-22.06,-33.52,0.0,-33.89,24.02,-47.84,-45.26,-11.29,0.0,0.0,0.0,-5213.3,-1.51,-9.66,26.55,-5.06,-15.7,-48.75,-5.19,-5.45,-16.94,-18.33,-60.57,-6.1,-18.95,-59.4,-161.72,105.06,115.7,-33.3,-14.2,7.35,-0.27,0.01,0.0,-14.38,145.95,10.04,0.0,0.0,4.73,7.45,10.99,0.0,3.64,6.61,6.27,87.58,0.0,-117.18,-86.33,0.0,0.0,0.0,18758.29,-8075.0,-155.61,8813.14,-2944.67,32.51,17.17,48.16,26.93,67.49,24.49,75.51,187.32,275.57,151.94,58.49,48.45,1.36,60.86,0.0,81.35,156.01,74.82,308.3,226.93,88.56,81.37,0.0,-23.07,48.76,199.07,-1.93,-5.66,13.95,1.32,74.04,213.82,198.61,5.88,9.11,4.44,11.2,-2.13,0.35,0.39,1.17,3.78,0.49,7.07,51.65,1.35,1.87,4.87,74.91,12.61,28.79,15.87,10.04,36.36,0.47,0.48,0.46,0.13,0.02,-36308.4,-116.66,309.08,-82.22,-250.24,54.45,696.29,166.95,1076.39,-5.76,-8.71,-40.41,-14.52,0.0,0.0,0.0,-122499.62,39074.58,18388.58,0.0,0.0,28993.6,392.0,0
102,코스모화학(주),5420,2016,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,0,7206424.0,2860000.0,37421096.0,0.0,22843776.0,20206573.0,14300000.0,2160870.0,3632690.0,86272.0,4385239.0,12014361.0,170376460.0,79088550.0,65968488.0,0.0,0.0,1214873.0,0.0,28706759.0,13342902.0,30932298.0,5186747.0,0.0,5186747.0,4603960.0,66642220.0,14761753.0,-177050.0,81495236.0,0.0,-105076685.0,286513279.0,283700636.0,0.0,38440206.0,5616181.0,5222116.0,1057603.0,140017.0,340029.0,874959.0,387496.0,232381.0,4691.0,180087.0,88163.0,734521.0,110874.0,490809.0,831052.0,409844.0,0.0,-24.17,-17.81,0.0,-17.18,-38.68,-15.5,-40.63,14.6,0.0,0.0,0.0,0.0,-54.85,75.92,117.72,5.13,-4.88,-25.31,-2.43,-2.52,-13.08,-10.76,-73.74,-3.03,-15.73,-20.98,-110.07,94.87,104.88,-20.43,-8.66,5.97,-0.37,0.0,0.0,-9.99,123.68,10.15,0.0,0.0,4.52,4.79,8.45,0.0,4.03,7.97,6.67,11.48,0.0,-161.3,-99.63,0.0,0.0,0.0,21496.38,-5514.0,-1264.17,4883.26,-1048.92,26.29,23.65,35.66,20.07,73.71,22.06,77.94,111.21,334.13,195.36,42.22,32.23,2.42,58.01,0.0,60.08,385.7,96.56,353.29,282.25,93.48,71.04,0.0,-35.98,46.22,209.5,-0.79,-3.24,8.16,0.59,57.7,135.76,148.39,-2.54,-4.28,-1.98,-3.3,-0.82,0.52,0.62,2.2,4.3,0.68,10.41,35.05,1.73,2.16,8.83,41.35,31.49,29.87,28.82,14.82,24.62,0.74,0.75,0.59,0.08,0.03,685.17,-186.99,543.72,-107.44,-421.19,118.55,1155.22,259.16,1481.37,0.14,0.2,1.04,0.24,5610.33,-5510.33,-10582.59,-72508.54,38440.21,17115.05,0.0,0.0,18161.25,177.0,0
103,코스모화학(주),5420,2017,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,0,4305346.0,2000000.0,34077413.0,0.0,33112234.0,5640529.0,0.0,1870140.0,2699096.0,566169.0,8223834.0,21532966.0,173817136.0,77808037.0,54916218.0,0.0,0.0,1214873.0,0.0,32810642.0,5804011.0,9500391.0,390422.0,395261.0,390422.0,3118120.0,74792220.0,17534873.0,-177050.0,81393606.0,0.0,-84329973.0,431646980.0,411853554.0,0.0,34462630.0,6763523.0,673281.0,1025745.0,266724.0,460454.0,1227254.0,157392.0,823289.0,23651.0,204059.0,3083188.0,-571757.0,165309.0,395377.0,622540.0,240717.0,-2930048.0,-4.87,-0.54,0.0,-0.37,-17.48,98.78,42.61,50.66,0.0,0.0,0.0,0.0,3.39,11.09,-30.69,11.27,4.79,6.33,4.52,4.43,5.86,15.67,23.85,4.8,6.34,29.24,30.32,88.73,95.21,0.86,-1.05,2.86,0.38,0.01,-12.01,8.51,94.74,7.84,0.0,0.0,2.81,3.3,7.98,0.0,3.69,6.62,6.17,41.55,0.0,-91.32,-47.6,0.0,0.0,0.0,28856.41,1537.0,-2334.98,6222.76,1382.2,22.8,56.98,29.54,9.81,77.2,34.81,65.19,141.32,221.74,150.64,46.77,20.12,1.94,50.7,0.0,91.32,340.88,55.52,187.23,140.04,88.89,47.19,0.0,-25.95,42.36,121.67,1.62,2.97,18.41,1.12,26.57,81.5,101.18,-8.73,-13.44,-5.69,-6.0,1.67,0.93,1.0,3.27,6.1,1.29,14.03,26.01,3.76,6.14,9.72,37.55,65.1,25.73,36.75,18.29,19.96,1.23,1.26,1.15,0.07,0.03,94333.3,298.35,604.01,64.51,112.38,82.17,898.05,166.47,1316.97,20.74,28.82,171.78,21.85,36.53,63.47,28.98,24406.79,34462.63,12359.46,0.0,0.0,14517.36,183.0,0
104,티와이엠(주),2900,2015,1,29,32902,  기타 기계 및 장비 제조업 ,1973-06-26,0,29667977.0,5302184.0,97373886.0,0.0,99631794.0,2029899.0,707638.0,3342520.0,3604440.0,36458557.0,25687794.0,13323460.0,25660515.0,61927219.0,22235946.0,0.0,0.0,0.0,0.0,41102694.0,2805955.0,8497466.0,3193089.0,1774905.0,3193088.0,16797000.0,32694450.0,14101762.0,0.0,-599848.0,14500000.0,-24150246.0,357489527.0,0.0,0.0,49930204.0,21752773.0,2206229.0,2114286.0,0.0,3206880.0,0.0,0.0,1303705.0,1254335.0,0.0,0.0,2567278.0,9830497.0,738176.0,5430366.0,64883.0,2093527.0,-2.22,-2.05,0.0,-3.12,-1.74,-1.5,1.19,4.01,304.79,0.0,0.0,-31.14,0.0,4.34,4.94,19.16,1.48,0.74,1.77,1.53,0.77,4.08,2.04,1.64,0.82,16.17,8.1,80.84,98.52,-0.13,-0.52,1.17,0.68,0.35,61.95,1.98,98.51,13.74,0.0,0.65,1.16,2.61,10.87,47.68,1.94,3.87,3.79,298.79,0.0,-12.14,75.38,3.0,0.73,0.0,54671.29,405.0,2810.26,19590.37,808.67,64.96,35.27,185.36,42.05,35.04,38.14,61.86,398.79,91.87,59.3,158.8,102.8,21.22,121.64,95.25,231.74,160.97,52.49,162.17,107.24,60.52,54.93,87.11,24.05,37.97,99.53,1.05,2.15,28.58,2.99,62.66,34.05,89.11,4.59,7.47,2.84,2.71,1.26,1.03,1.11,2.76,10.93,1.65,8.27,44.13,1.6,2.46,4.53,80.56,6.31,21.09,0.0,3.74,97.61,2.94,3.59,0.96,0.0,0.01,70811.11,66.17,521.41,16.6,-29.33,69.71,140.73,12.4,499.22,20.72,72.35,833.37,19.81,70.51,29.49,3.74,4826.91,49930.2,4198.52,0.0,2356.21,9499.27,685.0,1
105,한국전력기술(주),52690,2015,1,72,137201,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업 ",2009-12-14,0,15287585.0,7483937.0,250821649.0,0.0,36304268.0,67449384.0,7143842.0,15502067.0,23538849.0,0.0,0.0,0.0,55543766.0,177855703.0,95638275.0,1369293.0,59072408.0,0.0,0.0,96173334.0,26589733.0,22345901.0,9585022.0,0.0,9585022.0,30000000.0,7644000.0,0.0,-10300329.0,154211.0,3822000.0,15486706.0,657603285.0,0.0,0.0,156725526.0,20251796.0,3797487.0,3181060.0,0.0,371795.0,2319334.0,0.0,1396895.0,457917.0,24446.0,72356403.0,0.0,15004740.0,0.0,573.0,146597.0,344324.0,7.91,16.4,0.0,22.83,-9.82,0.0,-1.57,-21.89,-78.57,-72.59,-65.78,-17.38,-1.61,-20.61,3.6,21.47,2.17,2.28,2.06,1.76,1.86,3.53,3.72,2.39,2.51,186.6,196.39,78.53,97.83,0.17,0.27,-0.28,-0.01,0.07,11.55,1.63,96.35,24.07,11.0,0.25,-0.28,2.36,8.38,16.88,-0.45,0.61,1.18,5277.42,0.0,71.29,100.62,99.54,1.9,50.68,17205.74,395.0,295.12,9077.72,373.19,38.18,0.0,61.77,38.18,61.82,47.76,52.24,5242.67,129.44,104.41,93.6,93.6,4.47,0.0,0.0,37.75,0.0,0.0,109.39,85.42,66.04,23.97,0.0,-2.61,10.53,22.05,26.31,999999999.0,48.07,52.77,51.38,71.55,106.68,3.19,15.84,1.67,2.13,0.0,0.81,1.1,1.63,86.03,1.63,6.11,59.74,1.95,1.95,822286.77,0.0,0.0,0.0,0.0,16.07,22.72,1.4,2.09,0.99,0.0,0.0,194277.75,85.96,290.97,6.31,6.64,69.35,149.04,40.91,371.29,23.15,57.68,210.14,29.54,80.67,19.33,7.73,15356.38,156725.53,-1818.73,11297.88,1616.62,15383.26,2260.0,1
