현금및현금성자산(*)(IFRS연결)(천원),유동금융자산(*)(IFRS연결)(천원),매출채권 및 기타유동채권(*)(IFRS연결)(천원),이연법인세자산(IFRS연결)(천원),상각후원가측정 유가증권(IFRS연결)(천원),매출채권(IFRS연결)(천원),미수금(IFRS연결)(천원),단기대여금(IFRS연결)(천원),선급금(IFRS연결)(천원),기타유동자산(IFRS연결)(천원),상품(IFRS연결)(천원),제품(IFRS연결)(천원),반제품(IFRS연결)(천원),재공품(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),저장품(소모품)(IFRS연결)(천원),미착품(IFRS연결)(천원),완성건물(IFRS연결)(천원),용지(IFRS연결)(천원),미완성공사(IFRS연결)(천원),미완성건물(IFRS연결)(천원),기타재고자산(IFRS연결)(천원),장기대여금(IFRS연결)(천원),장기당기손익인식금융자산(IFRS연결)(천원),투자부동산(*)(IFRS연결)(천원),토지(IFRS연결)(천원),건물 및 부속설비(IFRS연결)(천원),구축물(IFRS연결)(천원),기계장치(IFRS연결)(천원),중장비(IFRS연결)(천원),시설장치(IFRS연결)(천원),제설비(IFRS연결)(천원),미착자산(IFRS연결)(천원),차량운반구(IFRS연결)(천원),선박(IFRS연결)(천원),항공기(IFRS연결)(천원),공구,리스개량자산(IFRS연결)(천원),임대(주택)자산(IFRS연결)(천원),임차개량자산(IFRS연결)(천원),건설중인자산(IFRS연결)(천원),유형탐사평가자산(IFRS연결)(천원),임대주택용지(IFRS연결)(천원),미완성임대주택(IFRS연결)(천원),임대주택토지(IFRS연결)(천원),완성임대주택(IFRS연결)(천원),임대주택(IFRS연결)(천원),기타임대주택자산(IFRS연결)(천원),기타유형자산(IFRS연결)(천원),영업권(IFRS연결)(천원),개발비(IFRS연결)(천원),특허권(IFRS연결)(천원),기타산업재산권(IFRS연결)(천원),컴퓨터소프트웨어(IFRS연결)(천원),브랜드(IFRS연결)(천원),라이선스와 프랜차이즈(IFRS연결)(천원),저작권(IFRS연결)(천원),회원권(IFRS연결)(천원),제이용권(사용권)(IFRS연결)(천원),개발중인 무형자산(IFRS연결)(천원),무형탐사평가자산(IFRS연결)(천원),제호와 출판표제(IFRS연결)(천원),조리법,배출권자산(IFRS연결)(천원),기타무형자산(IFRS연결)(천원),장기매출채권(IFRS연결)(천원),*특수관계자장기매출채권(IFRS연결)(천원),장기공사미수금(IFRS연결)(천원),장기분양미수금(IFRS연결)(천원),장기미수금(IFRS연결)(천원),*특수관계자 장기미수금(IFRS연결)(천원),장기임대미수금(IFRS연결)(천원),장기미청구공사(IFRS연결)(천원),장기임대주택채권(IFRS연결)(천원),장기대출채권(IFRS연결)(천원),장기미수수익(IFRS연결)(천원),장기보증금(IFRS연결)(천원),기타장기채권(IFRS연결)(천원),매입채무(IFRS연결)(천원),미지급금(*)(IFRS연결)(천원),보증금(*)(IFRS연결)(천원),미지급배당금(IFRS연결)(천원),미지급비용(*)(IFRS연결)(천원),단기차입금(IFRS연결)(천원),단기매입채무 및 기타유동채무(IFRS연결)(천원),선수금(*)(IFRS연결)(천원),당기법인세부채(미지급법인세)(IFRS연결)(천원),(추정공사손실)(IFRS연결)(천원),이연법인세부채(IFRS연결)(천원),기타유동부채(*)(IFRS연결)(천원),사채(*)(IFRS연결)(천원),전환사채(IFRS연결)(천원),신주인수권부사채(IFRS연결)(천원),장기차입금(*)(IFRS연결)(천원),장기매입채무(*)(IFRS연결)(천원),기타장기충당부채(*)(IFRS연결)(천원),장기공사선수금(IFRS연결)(천원),기타비유동부채(IFRS연결)(천원),보통주자본금(IFRS연결)(천원),우선주자본금(IFRS연결)(천원),주식발행초과금(IFRS연결)(천원),감자차익(IFRS연결)(천원),합병차익(IFRS연결)(천원),재평가적립금(2001년 이전)(IFRS연결)(천원),기타자본잉여금(IFRS연결)(천원),주식할인발행차금(IFRS연결)(천원),배당건설이자(IFRS연결)(천원),자기주식(IFRS연결)(천원),매도가능금융자산평가손익(IFRS연결)(천원),환산 관련 외환차이 적립금(환율변동차이)(IFRS연결)(천원),파생상품평가이익(IFRS연결)(천원),파생상품평가손실(IFRS연결)(천원),기타포괄손익누계액(*)(IFRS연결)(천원),주식매입선택권(IFRS연결)(천원),이익준비금(IFRS연결)(천원),기업합리화적립금(IFRS연결)(천원),재무구조개선적립금(IFRS연결)(천원),기업발전적립금(IFRS연결)(천원),기타법정적립금(IFRS연결)(천원),재평가손익(IFRS연결)(천원),보험수리적손익(IFRS연결)(천원),기술개발준비금(IFRS연결)(천원),연구및인력개발준비금(IFRS연결)(천원),사업손실준비금(IFRS연결)(천원),퇴직급여적립금(IFRS연결)(천원),기타임의적립금(IFRS연결)(천원),기타이익잉여금(IFRS연결)(천원),미처분이익잉여금(결손금)(IFRS연결)(천원),*전기이월미처분이익잉여금(결손금)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),상품매출액(IFRS연결)(천원),제품매출액(IFRS연결)(천원),건설계약으로 인한 수익(공사수익)(IFRS연결)(천원),임대수익(IFRS연결)(천원),분양수익(IFRS연결)(천원),수수료수익(IFRS연결)(천원),기타수익(IFRS연결)(천원),당기상품매입액(IFRS연결)(천원),기초제품재고액(IFRS연결)(천원),(기말제품재고액)(IFRS연결)(천원),(대체)(IFRS연결)(천원),종업원 급여비용(IFRS연결)(천원),급여(IFRS연결)(천원),퇴직급여(IFRS연결)(천원),복리후생비(IFRS연결)(천원),보험료(IFRS연결)(천원),여비교통비(IFRS연결)(천원),임차료(IFRS연결)(천원),접대비(IFRS연결)(천원),감가상각비(IFRS연결)(천원),세금과공과(IFRS연결)(천원),광고선전비(IFRS연결)(천원),차량유지비(IFRS연결)(천원),연구개발비(IFRS연결)(천원),경상연구개발비(IFRS연결)(천원),대손상각비(IFRS연결)(천원),미분양주택관리비(IFRS연결)(천원),기타(IFRS연결)(천원),이자수익(IFRS연결)(천원),배당금수익(IFRS연결)(천원),외환차손(IFRS연결)(천원),외화환산손실(IFRS연결)(천원),지분법이익(IFRS연결)(천원),투자자산처분이익(IFRS연결)(천원),유형,무형자산처분이익(IFRS연결)(천원),사채상환이익(IFRS연결)(천원),법인세환급액(IFRS연결)(천원),대손충당금환입액(IFRS연결)(천원),전기오류수정이익(IFRS연결)(천원),채무면제이익(IFRS연결)(천원),보험차익(IFRS연결)(천원),이자비용(IFRS연결)(천원),기타대손상각비(IFRS연결)(천원),재고자산감모손실(IFRS연결)(천원),외환차손(IFRS연결)(천원).1,외화환산손실(IFRS연결)(천원).1,지분법적용투자주식손상차손(IFRS연결)(천원),기부금(IFRS연결)(천원),투자자산처분손실(IFRS연결)(천원),보상비(IFRS연결)(천원),법인세추납액(IFRS연결)(천원),전기오류수정손실(IFRS연결)(천원),법인세비용(IFRS연결)(천원)
312.0,312.0,312.0,312.0,104.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,290.0,290.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,104.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,290.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0
98641868.66025642,69862987.96794872,348903229.1858974,25585173.660256412,232779.21153846153,138602616.5929487,37442073.34294872,15528619.64423077,46169398.63782051,13258914.528846154,7922680.496794872,27411285.384615384,12733516.391025642,26604741.157051284,40250454.10897436,2921420.8525641025,12844001.612179488,2127655.246794872,23135984.814102564,1364105.8365384615,1644154.6666666667,8208033.836538462,31596279.262820512,453695.67307692306,21749138.397435896,111667705.25320514,100577478.33974358,25721128.394230768,132601639.65064102,370746.016025641,1235125.1538461538,6142474.926282051,46158.07692307692,5714003.166666667,9327756.916666666,8593432.775641026,28901718.067307692,0.0,39301.644827586206,1910.3793103448277,19203767.35897436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60964480.81089743,56915975.90384615,32387248.596153848,40061.320512820515,12241142.528846154,2683278.0865384615,30413.46153846154,51141.92307692308,24277.46794871795,1116842.6698717948,2854640.5384615385,180949.66346153847,6714.464743589743,0.0,0.0,0.0,20215004.048076924,1066402.701923077,0.0,8900911.39423077,0.0,8293137.115384615,0.0,0.0,329293.28205128206,0.0,347223.88141025644,29596.19871794872,14598257.365384616,8204841.666666667,117833037.37820514,42879827.73076923,960291.4807692308,6994.464743589743,37474445.35576923,22173.9391025641,2886.5,47199530.60576923,8524250.10576923,0.0,15295836.903846154,53433944.57371795,80150822.00641026,3202502.1185897435,6174342.512820513,84471202.59294872,35486.567307692305,15903767.740384616,2274195.512820513,6048838.971153846,102038897.41666667,645510.0769230769,84630106.17948718,10294210.89423077,87619.72435897436,7310033.048076923,14379337.301282052,-1042.1570512820513,0.0,-13648730.23076923,1835769.8653846155,-5862507.233974359,0.0,0.0,10688893.830128206,792021.7980769231,16375676.086538462,390901.13141025644,832100.625,20833.333333333332,1706398.3621794872,273582.33974358975,-1605.224358974359,18281526.314102564,20282296.814102564,5320.51282051282,0.0,129093407.17948718,2824929.673076923,47737204.33974359,0.0,1057382959.1442307,18287888.371794872,152138307.1346154,232734748.39102563,781226.3397435897,6412655.977564103,3577838.7852564105,420825964.13141024,1205196.4166666667,622617.641025641,634217.9903846154,0.0,113622644.51602565,28880359.669871796,2594941.7115384615,5377509.583333333,607814.0384615385,1640104.5961538462,2573339.1634615385,378762.23076923075,2558463.2403846155,1001842.6955128205,8389673.46474359,362808.9711538461,8061705.179487179,4565343.092948718,3723985.2884615385,0.0,7902646.105769231,4360234.605769231,429522.0641025641,0.0,0.0,826120.9487179487,0.0,0.0,0.0,1704.6241379310345,0.0,154120.2371794872,1810.0064102564102,0.0,0.0,0.0,0.0,0.0,7757016.375,5037522.243589744,0.0,0.0,0.0,10831.240384615385,0.0,0.0,11014156.326923076
322236897.18489367,239405910.83251572,1136220976.8003638,108517138.61740811,2012765.041119887,450114220.0758464,138793687.69616452,58661302.80191044,171074087.6292518,126885401.92002137,29312391.125011098,105502479.58415255,129900376.805896,99429927.61896877,146371096.18215558,16232194.141531177,69935414.06359056,14684519.54070081,126557168.96446426,17807580.216560073,10717179.925146185,95146111.7499662,184739431.19440573,4329131.347320741,70144147.32803997,447944505.92742485,290789093.07937753,144918934.52172408,375659001.79416233,4471071.368833224,3385035.824066128,49642828.566702895,439917.8411231308,28059091.116476927,66458342.72937519,109207879.12737146,85499201.10944912,0.0,474429.80066428677,32532.587381333964,63917448.24676516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505480803.65377766,429396406.26052463,171158399.70264325,310860.10044383013,108031440.38571076,7625409.916144114,309158.7676460368,409224.2667582422,163964.8625296846,3442520.42063939,17417383.166367237,1124075.8699689128,88715.5034672753,0.0,0.0,0.0,57574795.29281481,4847337.222139713,0.0,98323085.71074665,0.0,53512625.00834076,0.0,0.0,5816479.043930334,0.0,6133196.575387151,346280.69637185306,83419342.25080216,107840691.9885512,427772063.0737096,136182435.41216433,5695081.586878455,53896.20111381097,151417185.35716707,391669.8552367272,35932.59965197615,266220577.45809883,30690554.13345394,0.0,50105826.76695319,269628801.87789613,321453904.6317323,10034477.22417795,73722778.68006223,318982507.7449507,622696.1439074823,67625389.11393936,29654767.38761808,37517787.3754413,276380215.99557465,6304974.834149063,173354014.04156357,64023421.827616684,670578.2324512713,58494897.140122645,77028473.15061061,9732.89395357772,0.0,52847799.92855816,10408759.243990272,43508118.57808335,0.0,0.0,77186122.45741019,4434039.46700652,89570434.05574451,1973145.8301715269,6971026.059809986,303646.55865506694,13492380.769041264,2628196.2463298524,28353.915350531897,196267941.82591453,158881134.43061805,66346.2598920654,0.0,599591137.7615693,24094094.95893788,384403235.692102,0.0,3062427905.0838113,82092434.84660952,797862982.033041,1330060762.5931396,5630843.322373814,66629687.11355809,36539994.70534736,1870773314.1964018,6713022.600533299,3741147.8152443715,3265704.5396017395,0.0,317937390.2961767,75767056.3487663,6878771.493912135,16790075.560805414,6299925.933250274,5098008.971620867,6963712.574876817,588063.0831920954,7803116.356924368,5732022.942895059,40808232.56770204,1277067.7297146604,26319310.97855223,24738717.087486193,17850199.30088142,0.0,62818626.84101221,11877369.854213169,2257003.0725319474,0.0,0.0,4797314.963221467,0.0,0.0,0.0,16366.54314717503,0.0,1715416.3689946746,25730.670153593233,0.0,0.0,0.0,0.0,0.0,52549196.74618895,26945311.33784707,0.0,0.0,0.0,71475.54441444103,0.0,0.0,83485018.85542732
879.0,0.0,618564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294331.0,0.0,0.0,0.0,0.0,0.0,-15481497.0,-107465.0,0.0,-339058605.0,-30635000.0,-455988000.0,0.0,0.0,-131992443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500830.0,0.0,0.0,0.0,0.0,0.0,-88883019.0,-2442226792.0,0.0,3490600.0,0.0,0.0,0.0,0.0,0.0,0.0,-46057142.0,0.0,0.0,0.0,0.0,-23863635.0,0.0,-215567.0,0.0,0.0,0.0,-484311.0,0.0,-5100.0,0.0,-515675.0,0.0,0.0,0.0,-9150000.0,0.0,-5144602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-950633560.0
2577936.75,1548929.75,9332007.25,0.0,0.0,7460967.0,389348.0,27089.25,429556.5,0.0,0.0,0.0,0.0,0.0,195039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672200.0,1779272.0,0.0,735148.0,0.0,0.0,0.0,0.0,54484.0,0.0,0.0,232412.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2641234.75,1380437.5,0.0,0.0,417480.5,0.0,0.0,48201.25,0.0,0.0,0.0,105262.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6733070.0,0.0,14934958.5,0.0,0.0,0.0,0.0,0.0,0.0,-4583672.5,0.0,0.0,0.0,0.0,-271436.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25989419.75,0.0,31499290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5794364.0,2436828.25,194480.5,361907.25,15795.25,114054.75,140212.5,54724.0,192876.25,0.0,15668.75,22426.25,71900.25,0.0,0.0,0.0,0.0,118686.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10704445.5,6121410.5,23003087.0,523528.5,0.0,18359982.5,1936490.0,992367.0,1941359.0,0.0,467884.5,1685233.0,0.0,1021228.5,2081458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,10326055.0,11291609.5,254240.5,10001147.0,0.0,0.0,0.0,0.0,277599.5,0.0,0.0,2284980.0,0.0,0.0,0.0,297822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821049.0,285659.5,0.0,18205.0,107365.0,0.0,0.0,0.0,165564.0,0.0,0.0,0.0,0.0,0.0,0.0,206905.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80371.5,0.0,7593747.0,3337621.5,0.0,0.0,954103.0,0.0,0.0,498958.0,169931.5,0.0,0.0,1006894.0,0.0,0.0,0.0,3662544.0,0.0,0.0,0.0,0.0,12983261.0,0.0,36277541.5,0.0,0.0,0.0,3008.0,0.0,0.0,-594437.0,0.0,0.0,0.0,0.0,11227.5,0.0,120829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91313515.5,262258.5,5803059.5,0.0,0.0,0.0,0.0,325630.0,0.0,0.0,0.0,0.0,14682343.5,6228141.5,541504.5,891821.0,68214.0,439117.0,415502.5,205779.0,445092.5,0.0,143777.0,89204.0,932313.5,0.0,142774.5,0.0,41632.0,394652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43008.0,3116.5,0.0,0.0,0.0,0.0,0.0,0.0,301979.0
38014063.25,22682575.25,89526678.25,5638897.0,0.0,61343445.25,8333523.5,6698507.0,7640908.0,0.0,4114342.0,8483650.75,0.0,4913546.0,7340757.75,205078.75,618409.5,0.0,0.0,0.0,0.0,0.0,1079068.75,0.0,3403825.0,29662436.25,36465631.5,3198749.0,51895594.5,0.0,367676.0,0.0,0.0,1143202.25,0.0,0.0,10262713.25,0.0,0.0,0.0,5191936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3044207.0,10091246.25,5272540.0,0.0,320103.0,1157364.75,0.0,0.0,0.0,998612.0,0.0,0.0,0.0,0.0,0.0,0.0,2859309.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855311.75,0.0,41483416.25,13147429.5,0.0,0.0,6090315.5,0.0,0.0,4717337.5,1779773.5,0.0,2720607.0,6779029.75,10141059.0,0.0,0.0,20811712.75,0.0,763036.75,0.0,0.0,33253726.75,0.0,62165758.5,0.0,0.0,0.0,1124942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004770.5,113144.75,1573931.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4676852.25,0.0,36294701.5,0.0,391188342.0,7971346.25,51814517.5,0.0,0.0,0.0,0.0,27528421.5,0.0,0.0,0.0,0.0,52352202.5,18096949.75,1410290.75,2665613.0,278802.5,1236614.25,1224656.75,447671.0,1620224.0,0.0,1261606.0,216326.75,3778138.25,203529.0,727645.75,0.0,879210.5,1942779.0,7626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816864.75,370584.5,0.0,0.0,0.0,0.0,0.0,0.0,4270256.75
2542381000.0,2099634374.0,7980449000.0,1335461250.0,20291000.0,3595024000.0,1095078000.0,759898242.0,1743728000.0,1752560590.0,321464000.0,792856000.0,1672321563.0,696827000.0,1046853464.0,196870260.0,820482000.0,154225000.0,1060753000.0,284796000.0,128398383.0,1198198771.0,1869330268.0,50285359.0,505206000.0,4523955000.0,2148534000.0,1451272000.0,2836325000.0,56695000.0,25271229.0,594139801.0,5424560.0,279721558.0,902902000.0,1603114184.0,609007000.0,0.0,6221170.0,554010.0,575619000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6218617025.0,4482002000.0,1551845624.0,4091147.0,1154687000.0,59990422.0,3163000.0,3622780.0,1628756.0,33657000.0,187060000.0,14446861.0,1413136.0,0.0,0.0,0.0,381140000.0,59131000.0,0.0,1243259000.0,0.0,437533000.0,0.0,0.0,102739504.0,0.0,108333851.0,5110000.0,845185000.0,1744612801.0,3082932726.0,961688000.0,62552507.0,615987.0,1355877827.0,6918269.0,603658.0,2512608000.0,224835607.0,0.0,373209052.0,2516302000.0,2725117685.0,56600000.0,1286218000.0,3043437045.0,10999000.0,537422168.0,462892000.0,367138922.0,2078113190.0,64521050.0,1377025703.0,532974000.0,5324104.0,594262000.0,729478795.0,0.0,0.0,0.0,101998208.0,4857447.0,0.0,0.0,728803239.0,55188428.0,603145000.0,12851000.0,61810000.0,5300000.0,138118000.0,31903000.0,0.0,3150000000.0,1875878961.0,830000.0,0.0,4880360000.0,266107506.0,3019298486.0,0.0,19233180000.0,926164517.0,8313935000.0,16864243000.0,74557000.0,1087674000.0,443135911.0,15575355130.0,69689303.0,44317110.0,37842566.0,0.0,2055868000.0,486484000.0,45422000.0,196776000.0,111072000.0,47359000.0,58111000.0,5074554.0,62488000.0,62921000.0,308238000.0,11984000.0,219528000.0,268487229.0,207130239.0,0.0,894221532.0,78772000.0,20509000.0,0.0,0.0,53398903.0,0.0,0.0,0.0,252280.0,0.0,28941000.0,449505.0,0.0,0.0,0.0,0.0,0.0,732848000.0,339172000.0,0.0,0.0,0.0,745141.0,0.0,0.0,419124403.0
