기업명,기업코드,기업유형,결산기,이익 과대계상 (비용 과소계상),유형,유형,유형,유형,유형
(주)셀루메드,049180,코스닥,2017,1,A-1,,,,
(주)에스엘에스바이오,246250,코넥스,2016,0,,,,,
(주)엠젠플러스,032790,코스닥,2012,0,,,,,
(주)엠젠플러스,032790,코스닥,2013,0,,,,,
(주)엠젠플러스,032790,코스닥,2014,1,A-1,A-2,,,
(주)엠젠플러스,032790,코스닥,2015,,A-1,A-2,,,
(주)엠젠플러스,032790,코스닥,2014,0,,,,,
(주)엠젠플러스,032790,코스닥,2015,0,,,,,
(주)엠젠플러스,032790,코스닥,2016,0,,,,,
(주)엠젠플러스,032790,코스닥,2017,1,A-1,,,,
(주)아난티,025980,코스닥,2012,1,A-5,,,,
(주)아난티,025980,코스닥,2013,1,A-5,,,,
(주)아난티,025980,코스닥,2014,1,A-5,,,,
(주)아난티,025980,코스닥,2015,1,A-5,,,,
(주)아난티,025980,코스닥,2014,1,A-5,,,,
(주)아난티,025980,코스닥,2015,1,A-5,,,,
일호주택(주),,비상장,2016,1,A-2,A-7,,,
일호주택(주),,비상장,2017,1,A-2,A-7,,,
에코바이오홀딩스(주),038870,코스닥,2015,1,A-1,,,,
에코바이오홀딩스(주),038870,코스닥,2016,1,A-1,,,,
에코바이오홀딩스(주),038870,코스닥,2017,1,A-1,,,,
(주)엘엠에스,073110,코스닥,2012,1,A-6,,,,
신화실업,001770,코스피,2012,1,A-1,,,,
신화실업,001770,코스피,2013,1,A-1,,,,
신화실업,001770,코스피,2014,1,A-1,,,,
신화실업,001770,코스피,2015,1,A-1,,,,
신화실업,001770,코스피,2014,1,A-1,,,,
신화실업,001770,코스피,2015,1,A-1,,,,
신화실업,001770,코스피,2016,1,A-1,,,,
신화실업,001770,코스피,2017,1,A-1,,,,
신화실업,001770,코스피,2018,1,A-1,,,,
(주)트레이스,052290,코스닥,2016,1,A-1,,,,
 (주)한일진공,123840,코스닥,2016,0,,,,,
 (주)한일진공,123840,코스닥,2017,0,,,,,
한국전력기술(주),052690,코스피,2015,1,A-1,A-6,,,
한국전력기술(주),052690,코스피,2016,1,A-1,A-6,,,
한국전력기술(주),052690,코스피,2017,1,A-1,A-6,,,
(주)포스코건설,,비상장,2015,1,A-7,,,,
(주)에스엔드케이월드코리아,,비상장,2012,0,,,,,
(주)에스엔드케이월드코리아,,비상장,2013,0,,,,,
(주)에스엔드케이월드코리아,,비상장,2014,0,,,,,
(주)위니아딤채,071460,코스닥,2015,1,A-1,,,,
(주)위니아딤채,071460,코스닥,2016,1,A-1,,,,
(주)위니아딤채,071460,코스닥,2017,1,A-1,,,,
(주)시큐브,131090,코스닥,2015,1,,,,,
(주)시큐브,131090,코스닥,2016,1,,,,,
(주)시큐브,131090,코스닥,2017,1,A-1,A-7,,,
(주)시큐브,131090,코스닥,2018,1,A-1,A-7,,,
(주)시큐브,131090,코스닥,2019,1,A-1,A-7,,,
(주)씨에스에이코스믹,083660,코스닥,2013,1,A-1,,,,
(주)동림,,비상장,2014,0,,,,,
(주)동림,,비상장,2015,0,,,,,
(주)동림,,비상장,2016,0,,,,,
(주)세원,,비상장,2014,0,,,,,
(주)세원,,비상장,2015,0,,,,,
(주)에스제이케이,080440,코스닥,2013,1,A-1,A-7,A-4,,
(주)에스제이케이,080440,코스닥,2014,1,A-1,A-7,A-4,,
(주)뉴아세아조인트,,비상장,2012,1,A-1,A-3,,,
(주)씨에스,065770,코스닥,2014,1,A-5,A-4,,,
(주)엠제이비,,비상장,2014,0,,,,,
(주)넥스모,,비상장,2014,1,A-7,,,,
(주)심석,,비상장,2014,0,,,,,
(주)와이오엠,066430,코스닥,2014,1,A-3,,,,
(주)와이오엠,066430,코스닥,2015,1,A-3,,,,
(주)와이오엠,066430,코스닥,2016,0,,,,,
나노스(주),151910,코스닥,2015,1,A-2,A-7,A-9,,
(주)신한,055550,코스피,2012,1,A-3,,,,
(주)신한,055550,코스피,2013,1,A-3,,,,
삼양기전(주),,비상장,2012,0,,,,,
삼양기전(주),,비상장,2013,0,,,,,
삼양기전(주),,비상장,2014,0,,,,,
삼양기전(주),,비상장,2015,0,,,,,
위트러스트에셋(주),,비상장,2012,0,,,,,
위트러스트에셋(주),,비상장,2013,0,,,,,
위트러스트에셋(주),,비상장,2014,0,,,,,
(주)에스에프씨,112240,코스닥,2016,0,,,,,
(주)에스에프씨,112240,코스닥,2017,1,A-13,,,,
뉴프라이드코퍼레이션(애머릿지),900100,코스닥,2018,0,,,,,
에스엘(주),005850,코스피,2013,0,,,,,
에스엘(주),005850,코스피,2014,0,,,,,
