,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),label
count,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,123.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,123.0,296.0,296.0,296.0,296.0,145.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,291.0,296.0,296.0,296.0,296.0
mean,63965.57432432433,2015.527027027027,3.554054054054054,35.810810810810814,56392.16891891892,90382914.985,59302416.81094595,295110715.2158109,43782.23252032545,110565906.48310813,27626448.547297303,11524760.266891891,29189392.371621646,36231163.26054056,5639913.451351352,27107369.121351354,39273103.37432432,81833068.70256756,91126593.97972973,115946789.29135136,2785186.9493243243,21982252.59756757,655880.7060810811,0.0,105148430.11635137,31677613.30743243,29452118.89027027,25367807.030405436,16013244.342344826,31377389.748378407,72503828.29283784,82734339.16216215,74224139.4767568,-13250396.18472973,4010268.6740540694,16907529.875,55575564.79445946,903896372.7774324,185630503.67513543,239163766.65891936,94987370.1608108,25516283.919729732,2312865.6655405406,4128743.371621622,230741.99662162163,1330649.7804054054,2023767.4054054054,303187.45310810814,2385804.2195945946,7997205.945945946,314159.37500000006,7745132.240540544,2005809.507972973,3321780.9301351355,3572759.1237113425,6124605.158783785,4062553.7429729733,13177089.486486487,1.0
std,54043.455813624685,2.129521139602241,1.8695917574275769,18.34614497033534,40874.21265004624,310564341.92019933,200638693.74859402,981594720.4859893,303989.76412217616,352218877.0086589,105297750.80162564,40632684.30931057,106814900.12493391,139986810.5338444,14549358.694398727,100965645.96438086,142077811.57302526,268881449.2959191,262598471.8169986,297421128.68537635,11430210.719791522,66852797.32766234,1327364.5084298274,0.0,412849350.05104154,114623113.1494206,118287914.48180747,153933703.59668112,42093070.6281847,160000322.8450482,269394535.62696606,213348443.14115518,155346168.89232102,52979872.96088369,32430841.166552674,91814765.44010691,309392691.7217413,2884271261.92578,567803506.1447209,1056737104.9951943,285981297.397291,70216555.57156008,6557877.820028455,11514180.308405582,610757.8867857874,2999640.092681567,5326683.895439562,447184.65798481164,7486951.618420661,39257926.15403564,990933.6130547534,21721703.40484327,9036794.547033235,9402933.562972765,10928165.956886996,20465391.38215506,15214797.168038633,59066724.86204909,0.0
min,720.0,2012.0,1.0,10.0,31201.0,36379.32,0.0,1209466.88,0.0,589137.9999999999,0.0,0.0,0.0,648.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,0.0,0.0,2247805.8,0.0,-329225857.92,-97494120.0,0.0,-961131523.44,4812597.08,0.0,0.0,222028.39999999997,447379.07999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3993632.16,-14698.800000000014,0.0,0.0,0.0,-124291254.64,1.0
25%,27580.0,2014.0,1.0,24.0,32401.0,2156675.75,1096252.0,8592366.0,0.0,7906126.75,392467.25,24000.0,336806.75,252815.0,0.0,0.0,169633.5,1672200.0,1698385.0,539010.0,40119.75,353512.75,0.0,0.0,1891836.5,1014976.75,306055.0,60100.0,168601.0,109666.25,0.0,6074390.0,10855278.0,-3265876.75,-125340.5,0.0,-23761503.0,31632561.25,0.0,0.0,5047376.0,1937227.25,162296.0,293878.0,9155.0,97838.75,103465.5,43147.5,164738.25,9000.0,9513.25,0.0,0.0,0.0,11017.5,3336.0,779.75,-34353.5,1.0
50%,49180.0,2015.5,4.5,29.0,32902.0,7850119.5,4146659.0,20332249.5,0.0,17816097.0,1414303.5,690654.0,1671859.5,915458.5,293274.5,1961682.5,1765039.0,8973944.0,9446145.0,10703630.5,235719.5,1869819.5,138432.0,0.0,6533014.5,2646855.0,952064.5,455798.5,982664.0,929901.0,3187493.5,11243372.0,31190308.0,-101290.0,0.0,154797.5,701324.5,71791653.0,19679962.0,173234.0,12481364.5,4503241.5,421550.0,764824.0,53533.0,387638.0,312970.5,140165.0,385186.5,102794.5,81930.5,625369.5,108075.0,97504.0,201058.0,258846.5,71791.0,135596.0,1.0
75%,86250.0,2017.0,5.0,46.0,74605.0,22449167.25,14041023.75,62230918.75,0.0,45589967.0,6723412.5,4860168.25,5739850.5,3728270.5,2574272.25,8322379.25,7667442.5,22691946.25,31547690.75,48796811.25,908406.5,9669042.5,734978.5,0.0,19944951.0,7407063.0,4713898.75,2587265.0,4990852.0,4185820.5,17957301.75,22521169.0,59055827.5,0.0,1398593.0,2289548.5,29204037.0,191806785.0,68317868.25,13289564.0,33109894.5,12223216.75,1076236.5,1888609.75,211316.75,1276142.25,890110.0,377477.25,1247200.0,860352.5,203037.0,3418853.0,713884.25,1061347.5,757049.0,1390740.5,593068.25,2311918.0,1.0
max,275630.0,2021.0,6.0,91.0,189102.0,1973417964.4,1259635676.7600007,5726569180.560003,2356513.300000015,3036579815.0000014,753076800.0000007,227337560.0,668859120.000002,933537761.6800013,79283506.40000005,621414891.4800003,776120497.2,1849004641.2400002,1570233920.0,1379208376.5600007,97998160.00000003,363953319.4400004,9335000.0,0.0,2686202780.3600006,730073080.0000001,777754735.8400003,1324749160.0000021,201173552.31999993,1325398454.8800023,1703565213.9200003,1012587426.4000001,878569173.2800025,0.0,205915918.88000113,603145000.0,1558957447.4800003,15571020002.72,3242124640.9600215,7099878592.760034,1617072960.0000002,368034520.0000001,36109360.0,66157920.00000002,4918480.000000001,18680800.000000004,29707880.000000004,2428969.040000001,44571000.00000001,259298360.00000003,6624560.000000004,120512366.80000027,65162680.00000001,53674982.28000007,59407550.00000019,128992160.00000013,110279666.96000005,326616867.4800001,1.0
