,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),label
count,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,123.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,123.0,296.0,296.0,296.0,296.0,145.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,291.0,296.0,296.0,296.0,296.0
mean,63965.57432432433,2015.527027027027,3.554054054054054,35.810810810810814,56392.16891891892,93326673.26351352,66582066.8445946,319016388.0371622,197131.60975609755,113752234.48986487,29007551.25,13520226.094594594,37587633.99324324,42523915.95608108,7621595.797297297,28276182.847972974,40505618.9222973,105006225.85135135,95813794.38513513,130396534.2027027,3816952.760135135,23556135.574324325,655880.7060810811,0.0,108347612.91216215,32944338.5777027,33159535.239864863,36824075.13851351,16238772.055172414,42876957.925675675,79515682.77702703,83945047.29054055,88486020.90878378,-13376526.033783784,9375726.10135135,16907529.875,55252391.62162162,933029255.6283784,268814220.5608108,342885931.3952703,99157749.92905405,26728827.256756756,2365499.314189189,4770876.209459459,596233.7533783783,1618290.9966216215,2213615.543918919,318197.6722972973,2461658.9493243243,8387870.0,357340.9966216216,8709019.81081081,2464125.0743243243,7735041.334459459,3735476.649484536,9680150.293918919,5225427.614864865,10715890.182432432,1.0
std,54043.455813624685,2.129521139602241,1.8695917574275769,18.34614497033534,40874.21265004624,329858576.29434013,250094834.98828217,1127594096.1452234,1851301.9552608996,379238438.65896946,115769505.71735133,59019096.450134665,168291583.67886835,185603826.2607916,29842840.078329254,108271952.92891996,149226770.05883592,456218397.47747594,291642436.9961569,380315768.6707494,22018547.765454497,76913947.13289052,1327364.5084298274,0.0,433467604.7805155,122960114.42984451,145536503.65077767,253779174.08158696,43131527.3567166,257625112.1132114,319976985.1140364,219592877.1753838,257573896.95715305,53740305.34769611,76570791.12462905,91814765.44010691,388068663.8816738,3044199185.730656,1197674617.2902176,1829295537.4038587,310568058.94205964,76773118.63432407,6850321.863494096,16590950.499256559,6472039.954714351,5201001.728431732,6652467.938473524,544301.6249275552,7974139.536334861,41862401.520050555,1308937.5082553606,27606451.9784794,14544102.857706018,65575229.11547197,11825758.386864956,54888652.31061634,26470414.354149487,84800543.5351695,0.0
min,720.0,2012.0,1.0,10.0,31201.0,879.0,0.0,618564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,1262713.0,0.0,-339058605.0,-131992443.0,0.0,-2442226792.0,3490600.0,0.0,-46057142.0,-23863635.0,0.0,0.0,0.0,0.0,0.0,-484311.0,0.0,0.0,0.0,0.0,0.0,-9150000.0,-200790000.0,0.0,0.0,0.0,-950633560.0,1.0
25%,27580.0,2014.0,1.0,24.0,32401.0,2156675.75,1096252.0,8592366.0,0.0,7906126.75,392467.25,24000.0,336806.75,252815.0,0.0,0.0,169633.5,1672200.0,1698385.0,539010.0,40119.75,353512.75,0.0,0.0,1891836.5,1014976.75,306055.0,60100.0,168601.0,109666.25,0.0,6074390.0,10855278.0,-3265876.75,-125340.5,0.0,-23761503.0,31632561.25,0.0,0.0,5047376.0,1937227.25,162296.0,293878.0,9155.0,97838.75,103465.5,43147.5,164738.25,9000.0,9513.25,0.0,0.0,0.0,11017.5,3336.0,779.75,-34353.5,1.0
50%,49180.0,2015.5,4.5,29.0,32902.0,7850119.5,4146659.0,20332249.5,0.0,17816097.0,1414303.5,690654.0,1671859.5,915458.5,293274.5,1961682.5,1765039.0,8973944.0,9446145.0,10703630.5,235719.5,1869819.5,138432.0,0.0,6533014.5,2646855.0,952064.5,455798.5,982664.0,929901.0,3187493.5,11243372.0,31190308.0,-101290.0,0.0,154797.5,701324.5,71791653.0,19679962.0,173234.0,12481364.5,4503241.5,421550.0,764824.0,53533.0,387638.0,312970.5,140165.0,385186.5,102794.5,81930.5,625369.5,108075.0,97504.0,201058.0,258846.5,71791.0,135596.0,1.0
75%,86250.0,2017.0,5.0,46.0,74605.0,22449167.25,14041023.75,62230918.75,0.0,45589967.0,6723412.5,4860168.25,5739850.5,3728270.5,2574272.25,8322379.25,7667442.5,22691946.25,31547690.75,48796811.25,908406.5,9669042.5,734978.5,0.0,19944951.0,7407063.0,4713898.75,2587265.0,4990852.0,4185820.5,17957301.75,22521169.0,59055827.5,0.0,1398593.0,2289548.5,29204037.0,191806785.0,68317868.25,13289564.0,33109894.5,12223216.75,1076236.5,1888609.75,211316.75,1276142.25,890110.0,377477.25,1247200.0,860352.5,203037.0,3418853.0,713884.25,1061347.5,757049.0,1390740.5,593068.25,2311918.0,1.0
max,275630.0,2021.0,6.0,91.0,189102.0,2542381000.0,2099634374.0,7980449000.0,20291000.0,3410823463.0,1015702000.0,759898242.0,1743728000.0,1752560590.0,321464000.0,792856000.0,1046853464.0,4523955000.0,2148534000.0,2836325000.0,251771000.0,609007000.0,9335000.0,0.0,3082932726.0,961688000.0,1355877827.0,2512608000.0,224835607.0,2516302000.0,3043437045.0,1372076840.0,2496583409.0,0.0,728803239.0,603145000.0,3019298486.0,19233180000.0,13948547762.0,15575355130.0,2055868000.0,486484000.0,45422000.0,196776000.0,111072000.0,47359000.0,58111000.0,5074554.0,62488000.0,308238000.0,11984000.0,219528000.0,207130239.0,894221532.0,78772000.0,732848000.0,339172000.0,419124403.0,1.0
