,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),label
count,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,13.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,13.0,93.0,93.0,93.0,93.0,52.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,87.0,93.0,93.0,93.0,93.0
mean,51815.69892473118,2014.3333333333333,3.827956989247312,37.27956989247312,56836.36559139785,47326885.18623655,36539978.666666664,182227225.99870968,0.0,115489011.03225808,30846456.172043025,10016529.666666666,43547882.182795696,36742659.84731183,2777897.3978494625,7937138.623655914,10641563.193548387,60662608.21505377,61467094.05376344,74527482.49462366,5271668.376344087,23312543.364301085,1339597.2288172068,0.0,59432589.817204304,45993078.50537635,22330217.966021508,44583939.86021505,5646127.365384615,46501495.15053763,47824609.40860215,68061190.52473119,69150792.43010753,-4700031.086021505,11303467.913978495,2812545.8924731184,30121659.086021505,678079743.7427957,51909049.086021505,345085191.9139785,80878454.41935484,15340520.194408601,1571688.494623656,3556332.7526881723,341679.9247311828,711168.2150537635,1858618.6344086023,412162.8391397849,1261228.7311827957,1625440.0322580645,186580.75268817204,1715119.6559139786,4285590.451612903,1586425.08172043,3070092.011494253,4532999.827956989,3877484.9668817213,2993494.627526882,0.0
std,95013.90159611941,1.7896643681776307,1.8095378698656164,15.163862642736493,32774.93478247249,83584394.07575575,69108921.53216067,584513176.0969523,0.0,440650446.6419685,114542695.60246666,24496745.71944795,103049626.88456607,135337773.7104958,8279300.978517292,15571367.263028793,34718387.98868788,126104960.68599397,144140448.0193355,169084165.12910387,19628791.972630672,70274782.64343795,2289396.1649418026,0.0,148911716.4461625,123691210.73862395,97470512.16165641,185325638.27741098,12328614.221942239,186069989.53687224,145220494.01269314,201691598.27792186,137923183.6950611,15081435.084962428,42001935.8681247,9145575.675485244,239408380.86913094,1593643793.8667495,92025910.57939486,1098310803.1431193,198246149.04526335,28908696.643216617,3544824.281015396,9170431.78322789,739198.6459546587,1319936.9887112684,5021589.151742418,509715.78492233297,2099383.4019196806,4488619.350076801,223503.24687913212,3133354.913887799,11042998.778239144,7072787.840474382,7117848.815384125,15534661.266989846,16487599.938544994,22809723.59278075,0.0
min,1390.0,2012.0,1.0,18.0,32001.0,36379.32,0.0,1209466.88,0.0,589137.9999999999,0.0,0.0,0.0,648.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,0.0,0.0,2247805.8,0.0,-101723000.0,-97494120.0,0.0,-953315913.0,4812597.08,0.0,0.0,252305.0,447379.07999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2081331.0,-14698.800000000014,0.0,0.0,0.0,-124291254.64,0.0
25%,20560.0,2013.0,1.0,26.0,32604.0,3223593.0,856691.0,14280213.0,0.0,10979262.0,363609.0,0.0,394259.0,282875.0,0.0,0.0,5316.0,4496556.0,3428240.0,1369027.0,22561.0,0.0,0.0,0.0,2889489.0,1499985.0,232129.0,100600.0,267231.25,130750.0,151080.0,8179321.0,9555921.0,-2954478.0,-30612.0,0.0,-14778159.0,63928638.0,0.0,0.0,6821406.0,2652979.0,216775.0,361821.0,28050.0,74880.0,125343.0,104391.0,179750.0,5511.0,58984.0,10950.0,21916.0,0.0,41536.5,185.0,0.0,0.0,0.0
50%,35890.0,2014.0,5.0,30.0,33003.0,14198707.0,4009577.0,26096525.0,0.0,22590683.0,1806134.0,800000.0,1870140.0,1914378.0,341626.0,271622.0,2318277.0,11095774.0,15052383.0,8865720.0,281774.0,1791893.0,768543.0,0.0,11937344.0,5804011.0,954395.0,1012850.0,2263908.0,1149554.0,4760682.0,15507255.0,27161178.0,-1213113.0,146570.0,198039.0,14983758.0,153993870.0,905160.0,3505004.0,14674112.0,4622559.0,494623.0,699667.0,141992.0,295440.0,319770.0,287781.0,470154.0,116545.0,135416.0,390553.0,199937.0,25427.0,448710.0,227982.0,53585.0,1987971.0,0.0
75%,53610.0,2016.0,5.0,46.0,74608.0,53074968.0,32838459.0,77736037.0,0.0,39271840.0,8411993.0,6689676.0,18576423.0,7102828.0,2113482.0,7236522.0,7168704.0,44576105.0,54640845.0,44111951.0,1157621.0,7553927.0,1455763.0,0.0,30588189.0,28019996.0,7018238.0,18853640.0,5428361.25,18962196.0,21083260.0,33439825.0,57632935.0,0.0,1210540.0,2112832.0,68981461.0,431646980.0,54909559.0,117299401.0,36984029.0,16695940.0,1395491.0,3047286.0,409240.0,751771.0,1164067.0,485891.0,1430503.0,436416.0,212036.0,2198187.0,1336487.0,224724.0,2591762.5,1983681.0,582354.0,6045896.0,0.0
max,900100.0,2019.0,6.0,71.0,147509.0,423793000.0,329126804.0,3717071381.0,0.0,3036579815.0000014,753076800.0000007,169222000.0,580554864.0,899767411.0,73876805.0,84635803.0,249691098.0,783827000.0,1062409000.0,1205819000.0,97998160.00000003,363953319.4400004,10969335.320000062,0.0,1190979000.0,707139000.0,777754735.8400003,1265227000.0,66816731.0,1265331426.0,833101759.0,1012587426.4000001,654610064.0,0.0,176399000.0,60351000.0,824333246.0,8782195639.0,411853554.0,6221198000.0,913926000.0,150237000.0,21495000.0,47489565.0,4918480.000000001,8200000.0,29707880.000000004,2428969.040000001,15536000.0,26497098.0,1515000.0,17223000.0,65162680.00000001,51927885.0,41596150.0,103771566.0,110279666.96000005,82392107.0,0.0
